repeat,alpha,delta,arm,label,fdp,pool_risk,correct,total,units,supp_units,frontier,frontier_all
2,0.05,0.1,goco-N,top2648,0.0373465728864984,0.039005380052421,589,751,455,388,382,382
2,0.1,0.5,global-coarse,global_37.7842,0.0811551444464146,0.0834117787456179,790,1566,399,268,790,792
2,0.1,0.5,global-dense,global_34.9736,0.0920268797078892,0.0963077556400773,903,1831,452,300,903,903
2,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0887492455138297,0.0938233954546549,1030,2031,467,336,845,852
2,0.1,0.5,goco-N,top5736,0.0841496411004065,0.089783484093044,1240,1648,864,715,814,825
2,0.1,0.1,global-coarse,global_37.7842,0.0811551444464146,0.0834117787456179,790,1566,399,268,790,792
2,0.1,0.1,global-dense,global_36.1117,0.0904202047665018,0.09267173140466,874,1752,438,290,874,874
2,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.6,0.0827826703705892,0.0858245661390922,947,1863,433,310,814,823
2,0.1,0.1,goco-N,top5736,0.0841496411004065,0.089783484093044,1240,1648,864,715,814,825
2,0.2,0.5,global-coarse,global_27.1593,0.1377788464466164,0.1471648295451578,1383,2841,693,476,1383,1392
2,0.2,0.5,global-dense,global_23.4366,0.187849238985492,0.1957458661247205,1735,3832,865,563,1735,1743
2,0.2,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1551072930925202,0.1640456767943573,1735,3762,762,536,1557,1557
2,0.2,0.5,goco-N,top12426,0.1771557672778193,0.1834277576931736,2374,3541,1328,1048,1704,1714
2,0.2,0.1,global-coarse,global_27.1593,0.1377788464466164,0.1471648295451578,1383,2841,693,476,1383,1392
2,0.2,0.1,global-dense,global_23.8149,0.1765824016532843,0.1854050320840658,1704,3705,833,553,1704,1704
2,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1551072930925202,0.1640456767943573,1735,3762,762,536,1557,1557
2,0.2,0.1,goco-N,top12426,0.1771557672778193,0.1834277576931736,2374,3541,1328,1048,1704,1714
3,0.05,0.5,global-coarse,global_62.0008,0.0336909194790866,0.0388805680914937,418,628,216,153,418,418
3,0.05,0.5,global-dense,global_56.5397,0.0444318025099986,0.0477057590866392,476,765,245,162,476,476
3,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0389384715408712,0.0432478371400981,494,799,228,160,433,434
3,0.05,0.5,goco-N,top3012,0.0431573161817266,0.045999790208322,660,882,474,395,454,467
3,0.05,0.1,global-coarse,global_62.0008,0.0336909194790866,0.0388805680914937,418,628,216,153,418,418
3,0.05,0.1,global-dense,global_58.3796,0.041724786728924,0.0447089582142692,454,716,235,156,454,455
3,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0389384715408712,0.0432478371400981,494,799,228,160,433,434
3,0.05,0.1,goco-N,top2648,0.0379834515229633,0.0403449208629233,587,780,425,357,433,433
3,0.1,0.5,global-coarse,global_37.7842,0.0837056957661012,0.0832994479807833,782,1555,390,251,801,807
3,0.1,0.5,global-dense,global_34.418,0.0968171877770553,0.0983537411837867,929,1890,457,297,929,931
3,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0935558224242543,0.0932755366366899,979,2000,450,303,851,853
3,0.1,0.5,goco-N,top5736,0.0852883594374786,0.0887731247454185,1236,1735,798,643,801,807
3,0.1,0.1,global-coarse,global_37.7842,0.0837056957661012,0.0832994479807833,782,1555,390,251,801,807
3,0.1,0.1,global-dense,global_36.1117,0.0922005831707941,0.0922419512707828,851,1733,421,266,851,851
3,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0935558224242543,0.0932755366366899,979,2000,450,303,851,853
3,0.1,0.1,goco-N,top5736,0.0852883594374786,0.0887731247454185,1236,1735,798,643,801,807
3,0.2,0.5,global-coarse,global_27.1593,0.1421299566520915,0.1479408438161369,1336,2825,689,451,1336,1343
3,0.2,0.5,global-dense,global_23.4366,0.1904176803486197,0.196576782690566,1663,3776,875,548,1663,1663
3,0.2,0.5,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1611454083896989,0.1686437101584274,1677,3746,790,534,1496,1500
3,0.2,0.5,goco-N,top14135,0.1942739928743162,0.1977167060401287,2729,4287,1336,1046,1713,1714
3,0.2,0.1,global-coarse,global_27.1593,0.1421299566520915,0.1479408438161369,1336,2825,689,451,1336,1343
3,0.2,0.1,global-dense,global_23.8149,0.1782052157571729,0.1861812371867297,1639,3664,842,542,1639,1639
3,0.2,0.1,goco-M,adapt_27.1593_to_23.0262_q0.75,0.1611454083896989,0.1686437101584274,1677,3746,790,534,1496,1500
3,0.2,0.1,goco-N,top12426,0.1712244946517533,0.1733018899782523,2464,3781,1243,983,1566,1600
4,0.05,0.5,global-coarse,global_62.0008,0.0390478160647792,0.0398150155358046,462,682,252,176,462,462
4,0.05,0.5,global-dense,global_55.6416,0.0511530429300392,0.0497470915528578,538,862,289,193,538,542
4,0.05,0.5,goco-M,adapt_62.0008_to_52.5656_q0.75,0.0485095651831274,0.0475722431336998,557,906,284,197,501,507
4,0.05,0.5,goco-N,top2328,0.0485450282719624,0.0446774267715087,551,705,543,439,501,507
4,0.05,0.1,global-coarse,global_62.0008,0.0390478160647792,0.0398150155358046,462,682,252,176,462,462
4,0.05,0.1,global-dense,global_58.3796,0.0465315128947731,0.0458977921421017,501,776,271,182,501,501
4,0.05,0.1,goco-M,adapt_62.0008_to_52.5656_q0.6,0.0444411608251078,0.0433118853832055,551,872,272,192,479,480
4,0.05,0.1,goco-N,top2328,0.0485450282719624,0.0446774267715087,551,705,543,439,501,507
4,0.1,0.5,global-coarse,global_37.7842,0.0879634007788745,0.0850322540383238,912,1800,440,307,912,936
4,0.1,0.5,global-dense,global_34.418,0.1058967236046259,0.1007651849078252,1058,2147,511,347,1058,1061
4,0.1,0.5,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0930725482856223,0.0913222294481778,1120,2252,488,361,936,956
4,0.1,0.5,goco-N,top5043,0.1077151919932226,0.1001060901667882,1130,1537,921,714,1058,1061
4,0.1,0.1,global-coarse,global_37.7842,0.0879634007788745,0.0850322540383238,912,1800,440,307,912,936
4,0.1,0.1,global-dense,global_36.1117,0.0975934353882223,0.0941994736000806,992,1988,475,325,992,993
4,0.1,0.1,goco-M,adapt_37.7842_to_32.0342_q0.75,0.0930725482856223,0.0913222294481778,1120,2252,488,361,936,956
4,0.1,0.1,goco-N,top4433,0.0975973757314262,0.0907913406775318,987,1342,857,664,992,993
4,0.2,0.5,global-coarse,global_23.0262,0.2094283655087641,0.2017619222402693,1920,4257,959,619,1920,1932
4,0.2,0.5,global-dense,global_23.0262,0.2094283655087641,0.2017619222402693,1920,4257,959,619,1920,1932
4,0.2,0.5,goco-M,adapt_23.0262_to_19.5221_q0.4,0.2075659272061561,0.2006781646282419,2168,4793,974,655,1861,1875
4,0.2,0.5,goco-N,top10925,0.190474126969296,0.1914583334791395,2256,3341,1352,1059,1792,1796
4,0.2,0.1,global-coarse,global_27.1593,0.1538555661228396,0.1486142641405436,1492,3115,754,510,1492,1497
