repeat,alpha,delta,method,threshold,fdp,pool_risk,supp_genes,supp_terms,calls,genes
1,0.05,0.1,Empirical Bernstein,35.538059,0.03856347924199297,0.03696618350054369,425,870,1186,487
1,0.05,0.1,Platt calibration,40.394661,0.026700771854245197,0.025568993933922844,334,687,913,375
1,0.05,0.1,Isotonic calibration,36.111663,0.03794279047106187,0.03628199736019641,414,839,1138,476
1,0.1,0.5,Multilabel,27.159271,0.08586339974869864,0.08861037593265081,608,1353,2096,757
1,0.1,0.5,Hoeffding/LTT,28.401465,0.0784321870913147,0.080759396606553,570,1260,1911,710
1,0.1,0.5,Hoeffding-Bentkus,27.506363,0.0835186039951791,0.08615393953071677,592,1318,2031,738
1,0.1,0.5,IID-normal,27.159271,0.08586339974869864,0.08861037593265081,608,1353,2096,757
1,0.1,0.5,Empirical Bernstein,27.950331,0.08047452368130882,0.0829974593600186,581,1286,1963,723
1,0.1,0.5,Platt calibration,30.768736,0.06406531271636279,0.06329907914623555,528,1137,1649,638
1,0.1,0.5,Isotonic calibration,28.401465,0.0784321870913147,0.080759396606553,570,1260,1911,710
1,0.1,0.1,Multilabel,27.950331,0.08047452368130882,0.0829974593600186,581,1286,1963,723
1,0.1,0.1,Hoeffding/LTT,29.325694,0.07351027002077083,0.0753043724311497,560,1222,1820,691
1,0.1,0.1,Hoeffding-Bentkus,27.950331,0.08047452368130882,0.0829974593600186,581,1286,1963,723
1,0.1,0.1,IID-normal,27.950331,0.08047452368130882,0.0829974593600186,581,1286,1963,723
1,0.1,0.1,Empirical Bernstein,28.401465,0.0784321870913147,0.080759396606553,570,1260,1911,710
1,0.1,0.1,Platt calibration,30.768736,0.06406531271636279,0.06329907914623555,528,1137,1649,638
1,0.1,0.1,Isotonic calibration,28.401465,0.0784321870913147,0.080759396606553,570,1260,1911,710
1,0.2,0.5,Multilabel,17.851759,0.16602722353933985,0.17433187294777128,873,2187,3904,1156
1,0.2,0.5,Hoeffding/LTT,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.5,Hoeffding-Bentkus,18.139896,0.16379987271748175,0.17109644657845863,867,2154,3839,1146
1,0.2,0.5,IID-normal,17.851759,0.16602722353933985,0.17433187294777128,873,2187,3904,1156
1,0.2,0.5,Empirical Bernstein,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.5,Platt calibration,19.032514,0.15127197430105346,0.15670621087467276,839,2048,3559,1098
1,0.2,0.5,Isotonic calibration,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.1,Multilabel,18.139896,0.16379987271748175,0.17109644657845863,867,2154,3839,1146
1,0.2,0.1,Hoeffding/LTT,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.1,Hoeffding-Bentkus,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.1,IID-normal,18.139896,0.16379987271748175,0.17109644657845863,867,2154,3839,1146
1,0.2,0.1,Empirical Bernstein,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
1,0.2,0.1,Platt calibration,19.032514,0.15127197430105346,0.15670621087467276,839,2048,3559,1098
1,0.2,0.1,Isotonic calibration,18.432684,0.15727027953199196,0.1631654530782062,854,2111,3716,1120
2,0.05,0.5,Multilabel,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.5,Hoeffding/LTT,36.111663,0.03677282867912917,0.03642219418285769,404,823,1108,462
2,0.05,0.5,Hoeffding-Bentkus,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.5,IID-normal,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.5,Empirical Bernstein,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.5,Platt calibration,40.394661,0.02397799830756212,0.024932594393494864,311,668,860,348
2,0.05,0.5,Isotonic calibration,35.538059,0.03790830063851065,0.03717203346942683,412,853,1156,470
2,0.05,0.1,Multilabel,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.1,Hoeffding/LTT,37.784172,0.029473036387414414,0.030686391675728165,360,758,998,406
2,0.05,0.1,Hoeffding-Bentkus,35.538059,0.03790830063851065,0.03717203346942683,412,853,1156,470
2,0.05,0.1,IID-normal,34.973566,0.04004769597661358,0.039324182926078664,421,871,1188,483
2,0.05,0.1,Empirical Bernstein,35.538059,0.03790830063851065,0.03717203346942683,412,853,1156,470
2,0.05,0.1,Platt calibration,40.394661,0.02397799830756212,0.024932594393494864,311,668,860,348
2,0.05,0.1,Isotonic calibration,35.538059,0.03790830063851065,0.03717203346942683,412,853,1156,470
2,0.1,0.5,Multilabel,27.159271,0.0863231787060543,0.08846449429980235,585,1310,2022,737
2,0.1,0.5,Hoeffding/LTT,28.401465,0.07723286406646665,0.08033743836468955,556,1222,1857,690
2,0.1,0.5,Hoeffding-Bentkus,27.506363,0.08281867835987383,0.08577865657249543,576,1283,1971,721
2,0.1,0.5,IID-normal,27.159271,0.0863231787060543,0.08846449429980235,585,1310,2022,737
2,0.1,0.5,Empirical Bernstein,27.950331,0.08007615970459266,0.08256652510207012,568,1248,1906,707
2,0.1,0.5,Platt calibration,30.768736,0.060714285714285714,0.06330976487967009,510,1104,1600,607
2,0.1,0.5,Isotonic calibration,27.950331,0.08007615970459266,0.08256652510207012,568,1248,1906,707
2,0.1,0.1,Multilabel,27.950331,0.08007615970459266,0.08256652510207012,568,1248,1906,707
2,0.1,0.1,Hoeffding/LTT,29.325694,0.07314793445649666,0.07464903777107569,543,1187,1775,670
2,0.1,0.1,Hoeffding-Bentkus,27.950331,0.08007615970459266,0.08256652510207012,568,1248,1906,707
2,0.1,0.1,IID-normal,27.950331,0.08007615970459266,0.08256652510207012,568,1248,1906,707
2,0.1,0.1,Empirical Bernstein,28.401465,0.07723286406646665,0.08033743836468955,556,1222,1857,690
2,0.1,0.1,Platt calibration,30.768736,0.060714285714285714,0.06330976487967009,510,1104,1600,607
2,0.1,0.1,Isotonic calibration,27.950331,0.08007615970459266,0.08256652510207012,568,1248,1906,707
2,0.2,0.5,Multilabel,17.851759,0.16789168917601874,0.17417321506345634,828,2092,3748,1137
2,0.2,0.5,Hoeffding/LTT,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
2,0.2,0.5,Hoeffding-Bentkus,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
2,0.2,0.5,IID-normal,17.851759,0.16789168917601874,0.17417321506345634,828,2092,3748,1137
2,0.2,0.5,Empirical Bernstein,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
2,0.2,0.5,Platt calibration,19.522089,0.14630689540221042,0.15187415330133985,782,1930,3314,1049
2,0.2,0.5,Isotonic calibration,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
2,0.2,0.1,Multilabel,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
2,0.2,0.1,Hoeffding/LTT,18.730198,0.15362879895190074,0.15930751085048803,795,1984,3470,1074
2,0.2,0.1,Hoeffding-Bentkus,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
2,0.2,0.1,IID-normal,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
2,0.2,0.1,Empirical Bernstein,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
2,0.2,0.1,Platt calibration,19.522089,0.14630689540221042,0.15187415330133985,782,1930,3314,1049
2,0.2,0.1,Isotonic calibration,18.432684,0.15963858525247865,0.16317869561622253,803,2015,3568,1095
3,0.05,0.5,Multilabel,34.973566,0.04317460317460317,0.040629295664840685,403,870,1205,483
3,0.05,0.5,Hoeffding/LTT,36.111663,0.0394266225607098,0.03766934750347073,382,828,1123,457
3,0.05,0.5,Hoeffding-Bentkus,34.973566,0.04317460317460317,0.040629295664840685,403,870,1205,483
3,0.05,0.5,IID-normal,34.973566,0.04317460317460317,0.040629295664840685,403,870,1205,483
3,0.05,0.5,Empirical Bernstein,35.538059,0.04071210605944047,0.038671028155625314,392,850,1168,466
3,0.05,0.5,Platt calibration,40.394661,0.025385414262635585,0.025882256895290067,304,691,904,346
3,0.05,0.5,Isotonic calibration,36.111663,0.0394266225607098,0.03766934750347073,382,828,1123,457
3,0.05,0.1,Multilabel,34.973566,0.04317460317460317,0.040629295664840685,403,870,1205,483
3,0.05,0.1,Hoeffding/LTT,38.500168,0.030448239608174988,0.029223301053869773,343,756,999,397
3,0.05,0.1,Hoeffding-Bentkus,35.538059,0.04071210605944047,0.038671028155625314,392,850,1168,466
3,0.05,0.1,IID-normal,34.973566,0.04317460317460317,0.040629295664840685,403,870,1205,483
3,0.05,0.1,Empirical Bernstein,36.111663,0.0394266225607098,0.03766934750347073,382,828,1123,457
3,0.05,0.1,Platt calibration,40.394661,0.025385414262635585,0.025882256895290067,304,691,904,346
3,0.05,0.1,Isotonic calibration,36.111663,0.0394266225607098,0.03766934750347073,382,828,1123,457
3,0.1,0.5,Multilabel,27.069447,0.09638061902197605,0.09192786873474078,574,1288,2075,756
3,0.1,0.5,Hoeffding/LTT,28.401465,0.08568607841628843,0.0827365992354144,541,1205,1885,706
3,0.1,0.5,Hoeffding-Bentkus,27.950331,0.08717106444085441,0.08486977082948645,549,1227,1931,714
3,0.1,0.5,IID-normal,27.069447,0.09638061902197605,0.09192786873474078,574,1288,2075,756
3,0.1,0.5,Empirical Bernstein,27.950331,0.08717106444085441,0.08486977082948645,549,1227,1931,714
3,0.1,0.5,Platt calibration,30.768736,0.06943854655486319,0.06506098561785767,499,1092,1626,632
3,0.1,0.5,Isotonic calibration,28.401465,0.08568607841628843,0.0827365992354144,541,1205,1885,706
3,0.1,0.1,Multilabel,27.950331,0.08717106444085441,0.08486977082948645,549,1227,1931,714
3,0.1,0.1,Hoeffding/LTT,28.85988,0.08302356591532682,0.07947112458368381,538,1193,1846,698
3,0.1,0.1,Hoeffding-Bentkus,27.950331,0.08717106444085441,0.08486977082948645,549,1227,1931,714
3,0.1,0.1,IID-normal,27.950331,0.08717106444085441,0.08486977082948645,549,1227,1931,714
3,0.1,0.1,Empirical Bernstein,28.401465,0.08568607841628843,0.0827365992354144,541,1205,1885,706
3,0.1,0.1,Platt calibration,30.768736,0.06943854655486319,0.06506098561785767,499,1092,1626,632
3,0.1,0.1,Isotonic calibration,28.401465,0.08568607841628843,0.0827365992354144,541,1205,1885,706
