repeat,alpha,K,yield_M_T,yield_N_T,choose_N,label_M,label_N
29,0.05,10,274,260,0,adapt_37.7842_to_32.0342_q0.75,top3352
29,0.1,10,446,442,0,adapt_27.1593_to_23.0262_q0.6,top6383
29,0.2,10,746,740,0,adapt_16.5512_to_14.0325_q0.4,top12156
30,0.05,10,340,381,1,adapt_37.7842_to_32.0342_q0.75,top4337
30,0.1,10,512,557,1,adapt_27.1593_to_23.0262_q0.4,top7261
30,0.2,10,740,908,1,adapt_19.5221_to_16.5512_q0.75,top13828
31,0.05,10,360,376,1,adapt_37.7842_to_32.0342_q0.75,top4337
31,0.1,10,566,574,1,adapt_27.1593_to_23.0262_q0.75,top7261
31,0.2,10,888,927,1,adapt_16.5512_to_14.0325_q0.5,top13828
32,0.05,10,305,365,1,adapt_37.7842_to_32.0342_q0.75,top4933
32,0.1,10,463,533,1,adapt_27.1593_to_23.0262_q0.6,top8259
32,0.2,10,643,856,1,adapt_19.5221_to_16.5512_q0.75,top15729
33,0.05,10,326,339,1,adapt_37.7842_to_32.0342_q0.75,top4337
33,0.1,10,512,547,1,adapt_27.1593_to_23.0262_q0.75,top7261
33,0.2,10,715,905,1,adapt_19.5221_to_16.5512_q0.75,top13828
34,0.05,10,308,315,1,adapt_37.7842_to_32.0342_q0.75,top3813
34,0.1,10,400,437,1,adapt_32.0342_to_27.1593_q0.75,top5612
34,0.2,10,741,713,0,adapt_19.5221_to_16.5512_q0.75,top10687
35,0.05,10,389,414,1,adapt_32.0342_to_27.1593_q0.35,top4933
35,0.1,10,538,649,1,adapt_27.1593_to_23.0262_q0.75,top8259
35,0.2,10,853,926,1,adapt_16.5512_to_14.0325_q0.4,top13828
36,0.05,10,332,395,1,adapt_37.7842_to_32.0342_q0.75,top4933
36,0.1,10,495,600,1,adapt_27.1593_to_23.0262_q0.75,top8259
36,0.2,10,825,916,1,adapt_16.5512_to_14.0325_q0.75,top13828
37,0.05,10,390,450,1,adapt_37.7842_to_32.0342_q0.75,top4933
37,0.1,10,620,768,1,adapt_27.1593_to_23.0262_q0.75,top9395
37,0.2,10,975,1087,1,adapt_16.5512_to_14.0325_q0.6,top15729
38,0.05,10,348,485,1,adapt_37.7842_to_32.0342_q0.75,top5612
38,0.1,10,529,666,1,adapt_27.1593_to_23.0262_q0.75,top8259
38,0.2,10,873,1050,1,adapt_16.5512_to_14.0325_q0.75,top15729
39,0.05,10,274,329,1,adapt_37.7842_to_32.0342_q0.75,top3813
39,0.1,10,474,552,1,adapt_27.1593_to_23.0262_q0.6,top7261
39,0.2,10,778,933,1,adapt_16.5512_to_14.0325_q0.5,top15729
40,0.05,10,337,357,1,adapt_37.7842_to_32.0342_q0.75,top4337
40,0.1,10,518,553,1,adapt_27.1593_to_23.0262_q0.5,top7261
40,0.2,10,770,922,1,adapt_19.5221_to_16.5512_q0.75,top13828
41,0.05,10,324,425,1,adapt_37.7842_to_32.0342_q0.75,top4933
41,0.1,10,528,658,1,adapt_27.1593_to_23.0262_q0.75,top8259
41,0.2,10,855,968,1,adapt_16.5512_to_14.0325_q0.4,top13828
42,0.05,10,296,381,1,adapt_37.7842_to_32.0342_q0.75,top4337
42,0.1,10,493,580,1,adapt_27.1593_to_23.0262_q0.75,top7261
42,0.2,10,736,977,1,adapt_19.5221_to_16.5512_q0.75,top13828
43,0.05,10,341,366,1,adapt_37.7842_to_32.0342_q0.75,top4337
43,0.1,10,508,596,1,adapt_27.1593_to_23.0262_q0.6,top8259
43,0.2,10,837,894,1,adapt_16.5512_to_14.0325_q0.5,top13828
44,0.05,10,323,360,1,adapt_37.7842_to_32.0342_q0.75,top4933
44,0.1,10,521,534,1,adapt_27.1593_to_23.0262_q0.75,top8259
44,0.2,10,808,810,1,adapt_16.5512_to_14.0325_q0.6,top13828
45,0.05,10,328,342,1,adapt_37.7842_to_32.0342_q0.75,top4337
45,0.1,10,516,536,1,adapt_27.1593_to_23.0262_q0.6,top7261
45,0.2,10,846,911,1,adapt_16.5512_to_14.0325_q0.35,top13828
46,0.05,10,313,376,1,adapt_37.7842_to_32.0342_q0.75,top4337
46,0.1,10,515,603,1,adapt_27.1593_to_23.0262_q0.75,top7261
46,0.2,10,761,961,1,adapt_19.5221_to_16.5512_q0.75,top13828
47,0.05,10,301,365,1,adapt_37.7842_to_32.0342_q0.75,top4933
47,0.1,10,468,550,1,adapt_27.1593_to_23.0262_q0.6,top8259
47,0.2,10,685,818,1,adapt_19.5221_to_16.5512_q0.75,top13828
48,0.05,10,287,369,1,adapt_37.7842_to_32.0342_q0.75,top4337
48,0.1,10,479,624,1,adapt_27.1593_to_23.0262_q0.75,top8259
48,0.2,10,692,914,1,adapt_19.5221_to_16.5512_q0.75,top13828
49,0.05,10,341,422,1,adapt_37.7842_to_32.0342_q0.75,top4933
49,0.1,10,539,640,1,adapt_27.1593_to_23.0262_q0.75,top8259
49,0.2,10,741,977,1,adapt_19.5221_to_16.5512_q0.75,top15729
50,0.05,10,332,405,1,adapt_37.7842_to_32.0342_q0.75,top4933
50,0.1,10,523,553,1,adapt_27.1593_to_23.0262_q0.75,top7261
50,0.2,10,820,865,1,adapt_16.5512_to_14.0325_q0.5,top13828
51,0.05,10,289,367,1,adapt_37.7842_to_32.0342_q0.75,top4933
51,0.1,10,461,531,1,adapt_27.1593_to_23.0262_q0.75,top7261
51,0.2,10,798,930,1,adapt_16.5512_to_14.0325_q0.75,top15729
52,0.05,10,278,277,0,adapt_37.7842_to_32.0342_q0.75,top3813
52,0.1,10,440,483,1,adapt_27.1593_to_23.0262_q0.6,top7261
52,0.2,10,675,832,1,adapt_19.5221_to_16.5512_q0.75,top13828
53,0.05,10,283,355,1,adapt_37.7842_to_32.0342_q0.75,top4337
53,0.1,10,517,522,1,adapt_23.0262_to_19.5221_q0.35,top7261
53,0.2,10,767,847,1,adapt_16.5512_to_14.0325_q0.75,top13828
54,0.05,10,266,277,1,adapt_37.7842_to_32.0342_q0.75,top3813
54,0.1,10,441,478,1,adapt_27.1593_to_23.0262_q0.75,top7261
54,0.2,10,788,790,1,adapt_16.5512_to_14.0325_q0.75,top13828
55,0.05,10,289,312,1,adapt_37.7842_to_32.0342_q0.75,top3813
55,0.1,10,474,540,1,adapt_27.1593_to_23.0262_q0.75,top7261
55,0.2,10,755,856,1,adapt_16.5512_to_14.0325_q0.4,top13828
56,0.05,10,389,389,0,adapt_32.0342_to_27.1593_q0.6,top4933
56,0.1,10,540,548,1,adapt_23.0262_to_19.5221_q0.35,top7261
56,0.2,10,782,880,1,adapt_16.5512_to_14.0325_q0.6,top13828
57,0.05,10,295,396,1,adapt_37.7842_to_32.0342_q0.75,top4933
57,0.1,10,448,609,1,adapt_27.1593_to_23.0262_q0.6,top8259
57,0.2,10,671,914,1,adapt_19.5221_to_16.5512_q0.75,top13828
58,0.05,10,243,276,1,adapt_37.7842_to_32.0342_q0.75,top3813
58,0.1,10,403,485,1,adapt_27.1593_to_23.0262_q0.6,top7261
58,0.2,10,633,759,1,adapt_19.5221_to_16.5512_q0.75,top13828
59,0.05,10,309,395,1,adapt_37.7842_to_32.0342_q0.75,top4933
59,0.1,10,489,549,1,adapt_27.1593_to_23.0262_q0.5,top7261
59,0.2,10,736,871,1,adapt_19.5221_to_16.5512_q0.75,top13828
60,0.05,10,358,443,1,adapt_37.7842_to_32.0342_q0.75,top4933
60,0.1,10,544,661,1,adapt_27.1593_to_23.0262_q0.75,top8259
60,0.2,10,774,945,1,adapt_16.5512_to_14.0325_q0.02,top13828
61,0.05,10,297,347,1,adapt_37.7842_to_32.0342_q0.75,top4337
61,0.1,10,456,488,1,adapt_27.1593_to_23.0262_q0.75,top6383
61,0.2,10,653,840,1,adapt_19.5221_to_16.5512_q0.75,top13828
62,0.05,10,277,395,1,adapt_37.7842_to_32.0342_q0.75,top4933
62,0.1,10,484,567,1,adapt_27.1593_to_23.0262_q0.75,top8259
62,0.2,10,820,843,1,adapt_16.5512_to_14.0325_q0.6,top13828
63,0.05,10,264,332,1,adapt_37.7842_to_32.0342_q0.75,top4337
63,0.1,10,454,508,1,adapt_27.1593_to_23.0262_q0.75,top7261
63,0.2,10,669,805,1,adapt_19.5221_to_16.5512_q0.75,top13828
64,0.05,10,351,347,0,adapt_37.7842_to_32.0342_q0.75,top3813
64,0.1,10,523,575,1,adapt_27.1593_to_23.0262_q0.75,top7261
64,0.2,10,838,926,1,adapt_16.5512_to_14.0325_q0.6,top13828
65,0.05,10,292,315,1,adapt_37.7842_to_32.0342_q0.75,top3813
65,0.1,10,461,552,1,adapt_27.1593_to_23.0262_q0.6,top7261
65,0.2,10,783,873,1,adapt_16.5512_to_14.0325_q0.5,top13828
66,0.05,10,373,402,1,adapt_37.7842_to_32.0342_q0.75,top4337
66,0.1,10,541,564,1,adapt_27.1593_to_23.0262_q0.5,top6383
66,0.2,10,782,989,1,adapt_19.5221_to_16.5512_q0.75,top13828
67,0.05,10,325,365,1,adapt_37.7842_to_32.0342_q0.75,top4933
67,0.1,10,482,578,1,adapt_27.1593_to_23.0262_q0.75,top8259
67,0.2,10,749,921,1,adapt_16.5512_to_14.0325_q0.6,top15729
68,0.05,10,335,424,1,adapt_37.7842_to_32.0342_q0.75,top4933
68,0.1,10,433,561,1,adapt_32.0342_to_27.1593_q0.75,top7261
68,0.2,10,754,883,1,adapt_19.5221_to_16.5512_q0.75,top13828
69,0.05,10,302,255,0,adapt_37.7842_to_32.0342_q0.6,top2946
69,0.1,10,422,451,1,adapt_32.0342_to_27.1593_q0.75,top5612
69,0.2,10,730,970,1,adapt_19.5221_to_16.5512_q0.75,top13828
70,0.05,10,304,300,0,adapt_37.7842_to_32.0342_q0.75,top3813
70,0.1,10,487,480,0,adapt_27.1593_to_23.0262_q0.75,top6383
70,0.2,10,770,861,1,adapt_16.5512_to_14.0325_q0.5,top13828
71,0.05,10,317,287,0,adapt_37.7842_to_32.0342_q0.75,top3352
71,0.1,10,389,495,1,adapt_32.0342_to_27.1593_q0.75,top6383
71,0.2,10,671,787,1,adapt_19.5221_to_16.5512_q0.75,top12156
72,0.05,10,367,344,0,adapt_37.7842_to_32.0342_q0.75,top3352
72,0.1,10,571,572,1,adapt_27.1593_to_23.0262_q0.75,top6383
72,0.2,10,762,879,1,adapt_19.5221_to_16.5512_q0.75,top12156
73,0.05,10,314,333,1,adapt_37.7842_to_32.0342_q0.75,top4337
73,0.1,10,508,505,0,adapt_27.1593_to_23.0262_q0.75,top7261
73,0.2,10,722,850,1,adapt_19.5221_to_16.5512_q0.75,top13828
74,0.05,10,348,368,1,adapt_37.7842_to_32.0342_q0.75,top4337
74,0.1,10,578,583,1,adapt_27.1593_to_23.0262_q0.75,top7261
74,0.2,10,892,942,1,adapt_16.5512_to_14.0325_q0.5,top13828
75,0.05,10,314,294,0,adapt_37.7842_to_32.0342_q0.75,top3352
75,0.1,10,507,506,0,adapt_27.1593_to_23.0262_q0.75,top6383
75,0.2,10,720,899,1,adapt_19.5221_to_16.5512_q0.75,top13828
76,0.05,10,329,295,0,adapt_37.7842_to_32.0342_q0.75,top3813
76,0.1,10,499,527,1,adapt_27.1593_to_23.0262_q0.5,top7261
76,0.2,10,840,874,1,adapt_16.5512_to_14.0325_q0.6,top13828
77,0.05,10,350,386,1,adapt_37.7842_to_32.0342_q0.75,top4337
77,0.1,10,499,584,1,adapt_27.1593_to_23.0262_q0.4,top7261
77,0.2,10,754,924,1,adapt_19.5221_to_16.5512_q0.75,top13828
