repeat,alpha,yield_M_T,yield_N_T,choose_N,label_M,label_N
28,0.1,255,299,1,adapt_44.5662_to_37.7842_q0.75,top3897
28,0.2,546,608,1,adapt_27.1593_to_23.0262_q0.75,top9604
29,0.05,164,177,1,adapt_62.0008_to_52.5656_q0.75,top2648
29,0.1,327,299,0,adapt_37.7842_to_32.0342_q0.75,top4433
29,0.2,544,654,1,adapt_27.1593_to_23.0262_q0.75,top10925
30,0.05,184,219,1,adapt_62.0008_to_52.5656_q0.75,top2648
30,0.1,340,354,1,adapt_37.7842_to_32.0342_q0.6,top4433
30,0.2,617,707,1,adapt_27.1593_to_23.0262_q0.75,top9604
31,0.05,183,235,1,adapt_62.0008_to_52.5656_q0.75,top3012
31,0.1,394,352,0,adapt_37.7842_to_32.0342_q0.75,top4433
31,0.2,749,698,0,adapt_23.0262_to_19.5221_q0.4,top10925
32,0.05,190,214,1,adapt_62.0008_to_52.5656_q0.75,top2328
32,0.1,354,366,1,adapt_37.7842_to_32.0342_q0.6,top4433
32,0.2,625,830,1,adapt_27.1593_to_23.0262_q0.75,top10925
33,0.05,183,148,0,adapt_62.0008_to_52.5656_q0.75,top1582
33,0.1,346,308,0,adapt_37.7842_to_32.0342_q0.75,top3897
33,0.2,587,581,0,adapt_27.1593_to_23.0262_q0.75,top8443
34,0.05,193,229,1,adapt_52.5656_to_44.5662_q0.35,top2648
34,0.1,326,377,1,adapt_37.7842_to_32.0342_q0.75,top5043
34,0.2,664,746,1,adapt_23.0262_to_19.5221_q0.6,top10925
35,0.05,174,135,0,adapt_62.0008_to_52.5656_q0.75,top1390
35,0.1,314,240,0,adapt_37.7842_to_32.0342_q0.6,top3426
35,0.2,554,570,1,adapt_27.1593_to_23.0262_q0.75,top8443
36,0.05,202,210,1,adapt_62.0008_to_52.5656_q0.75,top2046
36,0.1,369,407,1,adapt_37.7842_to_32.0342_q0.75,top5043
36,0.2,772,854,1,adapt_23.0262_to_19.5221_q0.6,top12426
37,0.05,172,159,0,adapt_62.0008_to_52.5656_q0.75,top1799
37,0.1,338,355,1,adapt_37.7842_to_32.0342_q0.75,top4433
37,0.2,691,632,0,adapt_23.0262_to_19.5221_q0.6,top9604
38,0.05,204,145,0,adapt_52.5656_to_44.5662_q0.5,top2648
38,0.1,344,332,0,adapt_37.7842_to_32.0342_q0.75,top5043
38,0.2,693,652,0,adapt_23.0262_to_19.5221_q0.5,top10925
39,0.05,197,181,0,adapt_62.0008_to_52.5656_q0.75,top2328
39,0.1,413,318,0,adapt_37.7842_to_32.0342_q0.75,top4433
39,0.2,796,608,0,adapt_23.0262_to_19.5221_q0.5,top9604
40,0.05,145,233,1,adapt_62.0008_to_52.5656_q0.75,top2046
40,0.1,325,468,1,adapt_37.7842_to_32.0342_q0.75,top5043
40,0.2,681,863,1,adapt_23.0262_to_19.5221_q0.6,top10925
41,0.05,145,160,1,adapt_52.5656_to_44.5662_q0.6,top2328
41,0.1,261,299,1,adapt_37.7842_to_32.0342_q0.75,top4433
41,0.2,569,597,1,adapt_23.0262_to_19.5221_q0.6,top9604
42,0.05,146,174,1,adapt_62.0008_to_52.5656_q0.5,top2046
42,0.1,374,380,1,adapt_37.7842_to_32.0342_q0.75,top4433
42,0.2,656,689,1,adapt_27.1593_to_23.0262_q0.75,top9604
43,0.05,135,251,1,adapt_62.0008_to_52.5656_q0.6,top3012
43,0.1,321,464,1,adapt_37.7842_to_32.0342_q0.6,top5736
43,0.2,601,785,1,adapt_27.1593_to_23.0262_q0.75,top10925
44,0.05,166,282,1,adapt_62.0008_to_52.5656_q0.75,top3012
44,0.1,336,492,1,adapt_37.7842_to_32.0342_q0.75,top5736
44,0.2,571,780,1,adapt_27.1593_to_23.0262_q0.75,top10925
45,0.05,160,155,0,adapt_62.0008_to_52.5656_q0.75,top2328
45,0.1,285,299,1,adapt_37.7842_to_32.0342_q0.4,top4433
45,0.2,516,535,1,adapt_27.1593_to_23.0262_q0.75,top8443
46,0.05,163,182,1,adapt_62.0008_to_52.5656_q0.6,top1799
46,0.1,324,356,1,adapt_37.7842_to_32.0342_q0.75,top3897
46,0.2,682,711,1,adapt_23.0262_to_19.5221_q0.6,top9604
47,0.05,165,148,0,adapt_62.0008_to_52.5656_q0.75,top1582
47,0.1,342,344,1,adapt_37.7842_to_32.0342_q0.75,top4433
