repeat,rule,cutoff,fdp,correct,total,units,supp_units
16,cutoff0.5,0.5,0.8493622852275035,24254.0,236780.0,2370,2099
16,cutoff1,1.0,0.8227881289984709,20099.0,157846.0,2370,2024
16,cutoff1.30103,1.30103,0.8099129986477097,17930.0,122129.0,2370,1975
16,cutoff2,2.0,0.785204807827346,15019.0,83562.0,2366,1909
17,cutoff0.30103,0.30103,0.870940870231506,26305.0,313706.0,2385,2165
17,cutoff0.5,0.5,0.8604337034008755,23404.0,236230.0,2384,2118
17,cutoff1,1.0,0.8352130566903798,19230.0,155944.0,2382,2031
17,cutoff1.30103,1.30103,0.821661332935707,17182.0,120591.0,2382,1984
17,cutoff2,2.0,0.7988724045883505,14284.0,82330.0,2380,1907
18,cutoff0.30103,0.30103,0.8645013859524815,27006.0,314858.0,2377,2117
18,cutoff0.5,0.5,0.8547699178296738,24203.0,238196.0,2377,2087
18,cutoff1,1.0,0.8282510110876852,20013.0,157222.0,2374,2008
18,cutoff1.30103,1.30103,0.8148915091327544,17878.0,121711.0,2374,1961
18,cutoff2,2.0,0.7897398376877861,14871.0,83025.0,2367,1887
19,cutoff0.30103,0.30103,0.862908852782172,25721.0,308152.0,2368,2086
19,cutoff0.5,0.5,0.8525293392630904,23060.0,232107.0,2367,2047
19,cutoff1,1.0,0.8266231215616026,19088.0,153014.0,2366,1960
19,cutoff1.30103,1.30103,0.8131221355352453,17075.0,118683.0,2366,1919
19,cutoff2,2.0,0.7878986414547313,14352.0,81510.0,2360,1856
20,cutoff0.30103,0.30103,0.8639844082660544,27267.0,317619.0,2379,2151
20,cutoff0.5,0.5,0.8526432162400076,24390.0,239588.0,2376,2105
20,cutoff1,1.0,0.8261055161257261,20315.0,159854.0,2376,2013
20,cutoff1.30103,1.30103,0.8129360673610857,18153.0,124106.0,2376,1968
20,cutoff2,2.0,0.7912401655531074,15070.0,85239.0,2374,1892
21,cutoff0.30103,0.30103,0.8670429631258553,26583.0,314568.0,2386,2146
21,cutoff0.5,0.5,0.8560881040505011,23750.0,235792.0,2384,2105
21,cutoff1,1.0,0.8287872029603451,19676.0,155787.0,2380,2016
21,cutoff1.30103,1.30103,0.8153556645926193,17519.0,120634.0,2380,1972
21,cutoff2,2.0,0.7932246756413902,14612.0,82492.0,2375,1891
22,cutoff0.30103,0.30103,0.8676767129891197,26646.0,315679.0,2385,2121
22,cutoff0.5,0.5,0.8558695561875287,23809.0,236992.0,2381,2082
22,cutoff1,1.0,0.8304686894703105,19643.0,156535.0,2379,1999
22,cutoff1.30103,1.30103,0.8171185033046695,17504.0,121256.0,2379,1951
22,cutoff2,2.0,0.7933882314020236,14603.0,83075.0,2375,1886
23,cutoff0.30103,0.30103,0.8649405905030879,27681.0,321380.0,2383,2157
23,cutoff0.5,0.5,0.8547313373587802,24533.0,241606.0,2382,2122
23,cutoff1,1.0,0.8277622342577322,20210.0,159963.0,2379,2035
23,cutoff1.30103,1.30103,0.8134873886229685,18015.0,123382.0,2379,1992
23,cutoff2,2.0,0.7885223765657332,14990.0,83947.0,2373,1913
24,cutoff0.30103,0.30103,0.8625867325916853,27768.0,331396.0,2371,2124
24,cutoff0.5,0.5,0.8511507931110811,24598.0,245118.0,2369,2090
24,cutoff1,1.0,0.8253697446685649,20273.0,162935.0,2368,2011
24,cutoff1.30103,1.30103,0.8118737653258581,18048.0,125679.0,2368,1966
24,cutoff2,2.0,0.7871029380880664,14879.0,85054.0,2361,1890
25,cutoff0.30103,0.30103,0.8686530172274484,26687.0,311700.0,2385,2146
25,cutoff0.5,0.5,0.858254764471947,23919.0,235156.0,2384,2113
25,cutoff1,1.0,0.8336669912425437,19668.0,155728.0,2383,2028
25,cutoff1.30103,1.30103,0.821261324825595,17494.0,120793.0,2383,1970
25,cutoff2,2.0,0.7980940033783437,14542.0,83242.0,2379,1896
26,cutoff0.30103,0.30103,0.8670020407129565,27517.0,323865.0,2380,2145
26,cutoff0.5,0.5,0.8549922009833513,24625.0,242159.0,2377,2094
26,cutoff1,1.0,0.8272130568585657,20395.0,160458.0,2375,2014
26,cutoff1.30103,1.30103,0.8136250585020663,18231.0,124301.0,2375,1963
26,cutoff2,2.0,0.789848044214482,15171.0,84530.0,2371,1884
27,cutoff0.30103,0.30103,0.8691494446833776,26593.0,309950.0,2391,2146
27,cutoff0.5,0.5,0.8578569360082984,23735.0,234281.0,2388,2096
27,cutoff1,1.0,0.8315040292794665,19613.0,155296.0,2386,2019
27,cutoff1.30103,1.30103,0.8185220864264638,17485.0,120505.0,2386,1975
27,cutoff2,2.0,0.7972243909864701,14499.0,82783.0,2384,1885
28,cutoff0.30103,0.30103,0.8675422028699933,26681.0,316401.0,2384,2125
28,cutoff0.5,0.5,0.8567766829191136,23794.0,237231.0,2383,2078
