repeat,alpha,yield_M_T,yield_N_T,choose_N,label_M,label_N
28,0.1,526,474,0,adapt_27.1593_to_23.0262_q0.75,top6383
28,0.2,718,758,1,adapt_19.5221_to_16.5512_q0.75,top12156
29,0.05,272,292,1,adapt_37.7842_to_32.0342_q0.75,top2946
29,0.1,446,418,0,adapt_27.1593_to_23.0262_q0.6,top4933
29,0.2,745,753,1,adapt_16.5512_to_14.0325_q0.4,top10687
30,0.05,341,278,0,adapt_37.7842_to_32.0342_q0.75,top2946
30,0.1,514,476,0,adapt_27.1593_to_23.0262_q0.4,top5612
30,0.2,739,768,1,adapt_19.5221_to_16.5512_q0.75,top12156
31,0.05,362,368,1,adapt_37.7842_to_32.0342_q0.75,top3813
31,0.1,566,529,0,adapt_27.1593_to_23.0262_q0.75,top6383
31,0.2,894,845,0,adapt_16.5512_to_14.0325_q0.6,top12156
32,0.05,305,310,1,adapt_37.7842_to_32.0342_q0.75,top3813
32,0.1,462,461,0,adapt_27.1593_to_23.0262_q0.6,top6383
32,0.2,644,781,1,adapt_19.5221_to_16.5512_q0.75,top13828
33,0.05,325,374,1,adapt_37.7842_to_32.0342_q0.75,top4337
33,0.1,512,594,1,adapt_27.1593_to_23.0262_q0.75,top7261
33,0.2,716,895,1,adapt_19.5221_to_16.5512_q0.75,top12156
34,0.05,293,267,0,adapt_37.7842_to_32.0342_q0.6,top2946
34,0.1,400,407,1,adapt_32.0342_to_27.1593_q0.75,top4933
34,0.2,739,659,0,adapt_19.5221_to_16.5512_q0.75,top9395
35,0.05,391,369,0,adapt_32.0342_to_27.1593_q0.35,top3813
35,0.1,535,512,0,adapt_27.1593_to_23.0262_q0.75,top6383
35,0.2,848,819,0,adapt_16.5512_to_14.0325_q0.4,top12156
36,0.05,328,338,1,adapt_37.7842_to_32.0342_q0.75,top3813
36,0.1,497,563,1,adapt_27.1593_to_23.0262_q0.75,top7261
36,0.2,826,847,1,adapt_16.5512_to_14.0325_q0.75,top12156
37,0.05,387,394,1,adapt_37.7842_to_32.0342_q0.75,top3813
37,0.1,616,632,1,adapt_27.1593_to_23.0262_q0.75,top7261
37,0.2,976,971,0,adapt_16.5512_to_14.0325_q0.6,top13828
38,0.05,347,421,1,adapt_37.7842_to_32.0342_q0.75,top4337
38,0.1,529,629,1,adapt_27.1593_to_23.0262_q0.75,top7261
38,0.2,872,962,1,adapt_16.5512_to_14.0325_q0.75,top13828
39,0.05,274,261,0,adapt_37.7842_to_32.0342_q0.75,top2590
39,0.1,470,493,1,adapt_27.1593_to_23.0262_q0.6,top5612
39,0.2,778,826,1,adapt_16.5512_to_14.0325_q0.5,top12156
40,0.05,334,335,1,adapt_37.7842_to_32.0342_q0.75,top3813
40,0.1,521,518,0,adapt_27.1593_to_23.0262_q0.5,top6383
40,0.2,767,868,1,adapt_19.5221_to_16.5512_q0.75,top12156
41,0.05,324,337,1,adapt_37.7842_to_32.0342_q0.75,top3813
41,0.1,525,575,1,adapt_27.1593_to_23.0262_q0.75,top7261
41,0.2,856,925,1,adapt_16.5512_to_14.0325_q0.4,top13828
42,0.05,298,312,1,adapt_37.7842_to_32.0342_q0.75,top3352
42,0.1,488,522,1,adapt_27.1593_to_23.0262_q0.75,top6383
42,0.2,736,806,1,adapt_19.5221_to_16.5512_q0.75,top12156
43,0.05,340,321,0,adapt_37.7842_to_32.0342_q0.75,top3813
43,0.1,508,519,1,adapt_27.1593_to_23.0262_q0.6,top7261
43,0.2,819,827,1,adapt_16.5512_to_14.0325_q0.4,top13828
44,0.05,323,339,1,adapt_37.7842_to_32.0342_q0.75,top4337
44,0.1,519,507,0,adapt_27.1593_to_23.0262_q0.75,top7261
44,0.2,796,781,0,adapt_16.5512_to_14.0325_q0.5,top12156
45,0.05,327,316,0,adapt_37.7842_to_32.0342_q0.75,top3813
45,0.1,512,497,0,adapt_27.1593_to_23.0262_q0.6,top6383
45,0.2,823,724,0,adapt_16.5512_to_14.0325_q0.25,top10687
46,0.05,314,303,0,adapt_37.7842_to_32.0342_q0.75,top3352
46,0.1,512,524,1,adapt_27.1593_to_23.0262_q0.75,top6383
46,0.2,767,815,1,adapt_19.5221_to_16.5512_q0.75,top12156
47,0.05,300,324,1,adapt_37.7842_to_32.0342_q0.75,top4337
47,0.1,468,444,0,adapt_27.1593_to_23.0262_q0.6,top6383
47,0.2,689,769,1,adapt_19.5221_to_16.5512_q0.75,top13828
48,0.05,286,365,1,adapt_37.7842_to_32.0342_q0.75,top3813
48,0.1,463,586,1,adapt_27.1593_to_23.0262_q0.6,top7261
48,0.2,692,904,1,adapt_19.5221_to_16.5512_q0.75,top13828
49,0.05,338,352,1,adapt_37.7842_to_32.0342_q0.75,top3813
49,0.1,531,571,1,adapt_27.1593_to_23.0262_q0.6,top7261
49,0.2,739,896,1,adapt_19.5221_to_16.5512_q0.75,top13828
50,0.05,334,356,1,adapt_37.7842_to_32.0342_q0.75,top4337
50,0.1,526,481,0,adapt_27.1593_to_23.0262_q0.75,top6383
50,0.2,829,787,0,adapt_16.5512_to_14.0325_q0.6,top12156
51,0.05,288,296,1,adapt_37.7842_to_32.0342_q0.75,top3813
51,0.1,461,521,1,adapt_27.1593_to_23.0262_q0.75,top7261
51,0.2,792,855,1,adapt_16.5512_to_14.0325_q0.75,top13828
52,0.05,279,227,0,adapt_37.7842_to_32.0342_q0.75,top2946
52,0.1,439,389,0,adapt_27.1593_to_23.0262_q0.6,top5612
52,0.2,676,744,1,adapt_19.5221_to_16.5512_q0.75,top12156
53,0.05,283,304,1,adapt_37.7842_to_32.0342_q0.75,top3352
53,0.1,511,473,0,adapt_23.0262_to_19.5221_q0.3,top6383
53,0.2,766,771,1,adapt_16.5512_to_14.0325_q0.75,top12156
54,0.05,267,306,1,adapt_37.7842_to_32.0342_q0.75,top3813
54,0.1,437,412,0,adapt_27.1593_to_23.0262_q0.75,top5612
54,0.2,789,762,0,adapt_16.5512_to_14.0325_q0.75,top12156
55,0.05,290,289,0,adapt_37.7842_to_32.0342_q0.75,top3352
55,0.1,476,462,0,adapt_27.1593_to_23.0262_q0.75,top6383
55,0.2,751,753,1,adapt_16.5512_to_14.0325_q0.4,top12156
56,0.05,390,277,0,adapt_32.0342_to_27.1593_q0.6,top2590
56,0.1,534,488,0,adapt_23.0262_to_19.5221_q0.3,top5612
56,0.2,780,877,1,adapt_16.5512_to_14.0325_q0.6,top13828
57,0.05,293,371,1,adapt_37.7842_to_32.0342_q0.75,top3813
57,0.1,451,571,1,adapt_27.1593_to_23.0262_q0.6,top7261
57,0.2,670,922,1,adapt_19.5221_to_16.5512_q0.75,top13828
58,0.05,241,241,0,adapt_37.7842_to_32.0342_q0.75,top3352
58,0.1,403,373,0,adapt_27.1593_to_23.0262_q0.6,top5612
58,0.2,632,597,0,adapt_19.5221_to_16.5512_q0.75,top10687
59,0.05,310,310,0,adapt_37.7842_to_32.0342_q0.75,top3352
59,0.1,492,501,1,adapt_27.1593_to_23.0262_q0.5,top6383
59,0.2,737,781,1,adapt_19.5221_to_16.5512_q0.75,top12156
60,0.05,358,416,1,adapt_37.7842_to_32.0342_q0.75,top4337
60,0.1,545,575,1,adapt_27.1593_to_23.0262_q0.75,top6383
60,0.2,776,891,1,adapt_16.5512_to_14.0325_q0.03,top12156
61,0.05,298,286,0,adapt_37.7842_to_32.0342_q0.75,top2946
61,0.1,455,458,1,adapt_27.1593_to_23.0262_q0.75,top5612
61,0.2,651,703,1,adapt_19.5221_to_16.5512_q0.75,top10687
62,0.05,277,351,1,adapt_37.7842_to_32.0342_q0.75,top4337
62,0.1,484,531,1,adapt_27.1593_to_23.0262_q0.75,top7261
62,0.2,820,754,0,adapt_16.5512_to_14.0325_q0.6,top12156
63,0.05,264,301,1,adapt_37.7842_to_32.0342_q0.75,top3813
63,0.1,454,490,1,adapt_27.1593_to_23.0262_q0.75,top6383
63,0.2,670,774,1,adapt_19.5221_to_16.5512_q0.75,top12156
64,0.05,352,384,1,adapt_37.7842_to_32.0342_q0.75,top3813
64,0.1,523,504,0,adapt_27.1593_to_23.0262_q0.75,top5612
64,0.2,837,890,1,adapt_16.5512_to_14.0325_q0.6,top13828
65,0.05,297,322,1,adapt_37.7842_to_32.0342_q0.75,top3813
65,0.1,463,503,1,adapt_27.1593_to_23.0262_q0.6,top6383
65,0.2,797,760,0,adapt_16.5512_to_14.0325_q0.6,top12156
66,0.05,374,291,0,adapt_37.7842_to_32.0342_q0.75,top2590
66,0.1,552,538,0,adapt_27.1593_to_23.0262_q0.6,top5612
66,0.2,788,904,1,adapt_19.5221_to_16.5512_q0.75,top12156
67,0.05,328,334,1,adapt_37.7842_to_32.0342_q0.75,top4337
67,0.1,479,545,1,adapt_27.1593_to_23.0262_q0.75,top8259
