repeat,alpha,K,yield_M_T,yield_N_T,choose_N,label_M,label_N
51,0.1,10,386,387,1,adapt_32.0342_to_27.1593_q0.4,top5736
51,0.2,10,548,704,1,adapt_27.1593_to_23.0262_q0.75,top10925
52,0.05,10,143,222,1,adapt_62.0008_to_52.5656_q0.75,top3012
52,0.1,10,317,389,1,adapt_37.7842_to_32.0342_q0.75,top5736
52,0.2,10,572,719,1,adapt_27.1593_to_23.0262_q0.75,top10925
53,0.05,10,134,257,1,adapt_62.0008_to_52.5656_q0.75,top3426
53,0.1,10,287,449,1,adapt_37.7842_to_32.0342_q0.75,top6525
53,0.2,10,623,885,1,adapt_23.0262_to_19.5221_q0.4,top14135
54,0.05,10,256,259,1,adapt_52.5656_to_44.5662_q0.35,top3012
54,0.1,10,436,458,1,adapt_37.7842_to_32.0342_q0.75,top5736
54,0.2,10,832,847,1,adapt_23.0262_to_19.5221_q0.6,top12426
55,0.05,10,187,206,1,adapt_62.0008_to_52.5656_q0.75,top2648
55,0.1,10,460,404,0,adapt_32.0342_to_27.1593_q0.5,top5736
55,0.2,10,756,794,1,adapt_23.0262_to_19.5221_q0.75,top12426
56,0.05,10,189,286,1,adapt_62.0008_to_52.5656_q0.75,top3012
56,0.1,10,365,485,1,adapt_37.7842_to_32.0342_q0.75,top5736
56,0.2,10,728,884,1,adapt_23.0262_to_19.5221_q0.5,top12426
57,0.05,10,180,204,1,adapt_62.0008_to_52.5656_q0.75,top2648
57,0.1,10,360,349,0,adapt_37.7842_to_32.0342_q0.6,top5043
57,0.2,10,622,764,1,adapt_27.1593_to_23.0262_q0.75,top12426
58,0.05,10,151,198,1,adapt_62.0008_to_52.5656_q0.75,top3426
58,0.1,10,321,381,1,adapt_37.7842_to_32.0342_q0.6,top6525
58,0.2,10,600,693,1,adapt_27.1593_to_23.0262_q0.75,top12426
59,0.05,10,144,211,1,adapt_62.0008_to_52.5656_q0.75,top2328
59,0.1,10,356,340,0,adapt_37.7842_to_32.0342_q0.75,top4433
59,0.2,10,757,812,1,adapt_23.0262_to_19.5221_q0.6,top12426
60,0.05,10,106,230,1,adapt_73.1297_to_62.0008_q0.75,top2328
60,0.1,10,310,455,1,adapt_37.7842_to_32.0342_q0.75,top5043
