repeat,rule,cutoff,fdp,correct,total,units,supp_units
14,cutoff0.5,0.5,0.8161236687063904,14479.0,119423.0,2939,2305
14,cutoff1,1.0,0.7823564327155504,11890.0,80026.0,2902,2147
14,cutoff1.30103,1.30103,0.76286286716399,10803.0,65251.0,2870,2073
14,cutoff2,2.0,0.7200449116333726,9112.0,48843.0,2772,1930
15,cutoff0.30103,0.30103,0.8365742078988956,15807.0,139657.0,2970,2337
15,cutoff0.5,0.5,0.8236980768227561,14503.0,119937.0,2952,2257
15,cutoff1,1.0,0.7905200077726539,11844.0,80070.0,2913,2103
15,cutoff1.30103,1.30103,0.7700430589614291,10739.0,64927.0,2880,2033
15,cutoff2,2.0,0.7279938494714385,9002.0,48445.0,2781,1873
16,cutoff0.30103,0.30103,0.8331622042685627,15580.0,139645.0,2972,2400
16,cutoff0.5,0.5,0.8222562178585204,14214.0,119526.0,2961,2314
16,cutoff1,1.0,0.7908702002390492,11546.0,79224.0,2929,2161
16,cutoff1.30103,1.30103,0.7701979287941584,10480.0,64590.0,2895,2074
16,cutoff2,2.0,0.7245885601044244,8815.0,48128.0,2788,1924
17,cutoff0.30103,0.30103,0.8326888028541047,16015.0,141029.0,2978,2384
17,cutoff0.5,0.5,0.8191674759637922,14668.0,121155.0,2958,2313
17,cutoff1,1.0,0.7893033397653627,11917.0,80409.0,2929,2146
17,cutoff1.30103,1.30103,0.7693894134371092,10798.0,65354.0,2893,2072
17,cutoff2,2.0,0.722850170943148,9125.0,48616.0,2790,1915
18,cutoff0.30103,0.30103,0.8335591686723687,15813.0,141494.0,2974,2384
18,cutoff0.5,0.5,0.8212579261883622,14485.0,121105.0,2956,2314
18,cutoff1,1.0,0.787523926782554,11958.0,81032.0,2918,2167
18,cutoff1.30103,1.30103,0.7718697440554644,10803.0,65711.0,2898,2101
18,cutoff2,2.0,0.730653241137004,9087.0,48706.0,2806,1949
19,cutoff0.30103,0.30103,0.8304329860354053,16055.0,140611.0,2974,2398
19,cutoff0.5,0.5,0.817853480601191,14712.0,120688.0,2954,2320
19,cutoff1,1.0,0.7873927142959736,12090.0,80866.0,2916,2140
19,cutoff1.30103,1.30103,0.769649781904531,10971.0,66039.0,2887,2080
19,cutoff2,2.0,0.7250895539389809,9267.0,49207.0,2780,1917
20,cutoff0.30103,0.30103,0.8304576738920708,15630.0,139683.0,2958,2380
20,cutoff0.5,0.5,0.8179166458469328,14238.0,119797.0,2940,2313
20,cutoff1,1.0,0.78302857668223,11645.0,79808.0,2898,2147
20,cutoff1.30103,1.30103,0.764217766223278,10489.0,64919.0,2866,2077
20,cutoff2,2.0,0.7246745752740734,8776.0,48344.0,2778,1927
