gene,community
CAPN2,60
CAPN3,977
CAPN5,978
CAPN7,56
CAPN9,70
CAPNS1,14
CAPNS2,979
CAPRIN1,10
CAPRIN2,14
CAPS,980
CAPS2,981
CAPSL,982
CAPZA1,983
CAPZA2,984
CAPZA3,985
CAPZB,27
CARD10,3
CARD11,986
CARD14,14
CARD17,987
CARD18,988
CARD6,73
CARD8,29
CARD9,14
CARF,60
CARHSP1,989
CARM1,990
CARNS1,991
CARS,27
CARS2,0
CARTPT,992
CASC3,993
CASC4,14
CASD1,41
CASKIN1,994
CASKIN2,10
CASP1,995
CASP10,996
CASP14,997
CASP2,60
CASP3,21
CASP4,998
CASP5,999
CASP6,1000
CASP7,4
CASP8,14
CASP9,65
CASQ1,1001
CASQ2,1002
CASR,1003
CASS4,1004
CAST,60
CASZ1,1005
CAT,41
CATSPER1,60
CATSPER2,14
CATSPER3,1006
CATSPER4,1007
CATSPERD,1008
CATSPERG,4
CAV1,14
CAV2,29
CAV3,1009
CBFA2T2,1010
CBFA2T3,70
CBFB,70
CBL,70
CBLB,1011
CBLC,60
CBLL1,47
CBLN1,1012
CBLN2,1013
CBLN3,1014
CBLN4,1015
CBR1,1016
CBR3,52
CBR4,29
CBS,60
CBWD1,37
CBWD2,65
CBWD3,14
CBWD5,29
CBWD6,1017
CBX2,73
CBX3,1018
CBX4,1019
CBX5,29
CBX6,1020
CBX7,14
CBX8,54
CBY1,71
CC2D1A,1021
CC2D1B,37
CC2D2A,1022
CCAR1,60
CCAR2,60
CCBE1,1023
CCDC102A,29
CCDC102B,1024
CCDC103,1025
CCDC105,1026
CCDC106,54
CCDC107,11
CCDC110,1027
CCDC113,63
CCDC114,1028
CCDC115,50
CCDC116,1029
CCDC117,47
CCDC12,10
CCDC121,50
CCDC124,30
CCDC125,14
CCDC126,1030
CCDC13,1031
CCDC130,8
CCDC134,73
CCDC136,1032
CCDC137,47
CCDC14,1033
CCDC146,73
CCDC148,1034
CCDC15,1035
CCDC150,1036
CCDC151,1037
CCDC153,1038
CCDC155,1039
CCDC167,73
CCDC17,1040
CCDC172,1041
CCDC174,4
CCDC180,1042
CCDC181,1043
CCDC182,60
CCDC184,60
CCDC185,1044
CCDC186,1045
CCDC24,73
CCDC25,73
CCDC28A,14
CCDC28B,60
CCDC3,4
CCDC33,1046
CCDC36,1047
CCDC38,1048
CCDC39,1049
CCDC40,1050
CCDC42,1051
CCDC43,65
CCDC47,50
CCDC50,3
CCDC59,47
CCDC6,43
CCDC60,1052
CCDC61,29
CCDC62,1053
CCDC63,1054
CCDC65,14
CCDC66,1055
CCDC68,14
CCDC69,1056
CCDC70,1057
CCDC71L,70
CCDC77,48
CCDC8,1058
CCDC80,1059
CCDC81,1060
CCDC84,47
CCDC85A,1061
CCDC85B,56
CCDC85C,1062
CCDC86,47
CCDC87,71
CCDC88A,1063
CCDC88B,1064
CCDC88C,1065
CCDC89,1066
CCDC9,14
CCDC90B,60
CCDC91,60
CCDC92,38
CCDC93,71
CCDC96,1067
CCER1,1068
CCER2,29
CCHCR1,70
CCIN,1069
CCK,1070
CCKAR,1071
CCKBR,1072
CCL1,1073
CCL11,1074
CCL13,1075
CCL14,54
CCL15,1076
CCL17,1077
CCL18,1078
CCL19,1079
CCL2,1080
CCL20,1081
CCL21,1082
CCL22,1083
CCL23,1084
CCL24,1085
CCL25,1086
CCL26,1087
CCL27,1088
CCL28,1089
CCL3,1090
CCL4,1091
CCL5,1092
CCL7,1093
CCL8,1094
CCM2,5
CCM2L,1095
CCNA1,3
CCNA2,45
CCNB1,45
CCNB1IP1,73
CCNB2,47
CCNC,50
CCND1,46
CCND2,3
CCND3,73
CCNDBP1,38
CCNE1,45
CCNE2,45
CCNF,60
CCNG2,54
CCNH,54
CCNI,4
CCNI2,1096
CCNJ,60
CCNK,47
CCNL1,60
CCNL2,27
CCNO,1097
CCNT1,60
CCNT2,65
CCNY,1098
CCNYL1,60
CCP110,48
CCPG1,1099
CCR1,1100
CCR10,1101
CCR2,1102
CCR3,1103
CCR4,1104
CCR5,1105
CCR6,1106
CCR7,1107
CCR8,1108
CCR9,1109
CCRL2,1110
CCS,21
CCSAP,1111
CCSER2,1112
CCT2,27
CCT3,27
CCT4,21
CCT5,14
CCT6A,21
CCT6B,60
CCT7,1113
CCT8,27
CCT8L2,1114
CCZ1B,41
CD101,1115
CD109,1116
CD14,34
CD151,41
CD160,1117
CD163,1118
CD163L1,1119
CD164,30
CD164L2,1120
CD180,1121
CD19,60
CD1B,1122
CD1C,1123
CD1D,1124
CD1E,1125
CD2,1126
CD200,1127
CD200R1,1128
CD200R1L,1129
CD209,1130
CD22,1131
CD226,1132
CD244,1133
CD247,1134
CD248,1135
CD27,14
CD274,1136
CD276,21
CD28,1137
CD2AP,1138
CD2BP2,65
CD300A,1139
CD300C,1140
CD300E,1141
CD300LD,1142
CD300LF,1143
CD300LG,1144
CD302,29
CD320,73
CD33,1145
CD34,1146
CD36,1147
CD37,0
CD38,1148
CD3D,1149
CD3E,1150
CD3EAP,27
CD3G,73
CD4,1151
CD40,1152
CD44,10
CD46,60
CD47,10
CD48,1153
CD5,1154
CD52,1155
CD53,1156
CD58,10
CD59,1157
CD5L,1158
CD6,1159
CD63,1160
CD68,29
CD69,1161
CD7,1162
CD70,1163
CD72,52
CD74,1164
CD79A,1165
CD79B,1166
CD80,1167
CD81,1168
CD82,70
CD83,30
CD84,1169
CD86,1170
CD8A,1171
CD8B,1172
CD9,63
CD93,1173
CD96,1174
CD97,14
CDA,4
CDADC1,60
CDAN1,19
CDC123,27
CDC14A,71
CDC14B,4
CDC16,21
CDC20,27
CDC20B,1175
CDC23,27
CDC25A,4
CDC25B,45
CDC25C,60
CDC26,27
CDC27,27
CDC37,27
CDC37L1,1176
CDC40,47
CDC42,41
CDC42BPB,1177
CDC42BPG,49
CDC42EP1,14
CDC42EP2,1178
CDC42EP3,14
CDC42EP4,60
CDC42EP5,1179
CDC42SE1,14
CDC42SE2,4
CDC45,27
CDC5L,27
CDC6,21
CDC7,45
CDC73,50
CDCA2,54
CDCA3,8
CDCA4,1180
CDCA5,45
CDCA7,1181
CDCA7L,14
CDCA8,27
CDCP2,1182
CDH1,41
CDH10,1183
CDH11,1184
CDH12,1185
CDH13,0
CDH15,1186
CDH16,1187
CDH17,1188
CDH18,1189
CDH19,1190
CDH2,41
CDH20,1191
CDH22,1192
CDH23,65
CDH24,3
CDH26,1193
CDH3,29
CDH4,14
CDH5,1194
CDH6,65
CDH7,1195
CDH8,1196
CDH9,1197
CDHR1,1198
CDHR2,60
CDHR3,1199
CDHR4,1200
CDHR5,1201
CDIP1,52
CDIPT,47
CDK1,27
CDK10,63
CDK11A,60
CDK12,21
CDK13,47
CDK14,1202
CDK15,1203
CDK17,1204
CDK18,60
CDK19,10
CDK2,45
CDK20,52
CDK2AP1,54
CDK2AP2,30
CDK3,4
CDK4,46
CDK5,60
CDK5R1,1205
CDK5R2,3
CDK5RAP1,47
CDK5RAP2,21
CDK5RAP3,73
CDK6,73
CDK7,27
CDK8,45
CDK9,1206
CDKAL1,1207
CDKL1,1208
CDKL2,1209
CDKL3,1210
CDKL4,1211
CDKN1A,45
CDKN1B,60
CDKN2A,1212
CDKN2AIP,47
CDKN2AIPNL,1213
CDKN2C,60
CDKN2D,1214
CDKN3,1215
CDNF,1216
CDO1,1217
CDON,38
CDPF1,41
CDR2,4
CDR2L,54
CDRT15L2,1218
CDS1,1219
CDS2,3
CDSN,1220
CDT1,21
CDV3,1221
CDX1,1222
CDX2,1223
CDYL,1224
CDYL2,60
CEACAM1,14
CEACAM16,1225
CEACAM19,63
CEACAM21,1226
CEACAM3,1227
CEACAM4,1228
CEACAM5,1229
CEACAM6,1230
CEACAM7,1231
CEACAM8,1232
CEBPA,52
CEBPB,14
CEBPD,14
CEBPE,14
CEBPG,1233
CEBPZ,60
CEL,1234
CELA1,1235
CELA2A,1236
CELA2B,1237
CELA3A,1238
CELA3B,1239
CELF1,14
CELF2,73
CELF3,1240
CELF4,10
CELF5,1241
CELF6,1242
CELSR1,1243
CELSR2,1244
CELSR3,1245
CEMIP,1246
CEMP1,29
CEND1,1247
CENPA,21
CENPB,14
CENPBD1,1248
CENPC,47
CENPE,60
CENPF,21
CENPH,21
CENPJ,48
CENPK,21
CENPL,21
CENPM,14
CENPN,21
CENPO,35
CENPP,35
CENPQ,35
CENPT,21
CENPU,35
CENPV,60
CENPW,21
CEP104,1249
CEP112,1250
CEP120,48
CEP128,1251
CEP135,48
CEP152,48
CEP162,1252
CEP164,54
CEP170,1253
CEP170B,38
CEP19,1254
CEP192,21
CEP250,3
CEP290,60
CEP350,48
CEP41,60
CEP44,48
CEP55,52
CEP57,48
CEP57L1,1255
CEP63,48
CEP68,60
CEP70,60
CEP72,48
CEP76,1256
CEP78,14
CEP83,1257
CEP85,21
CEP89,73
CEP95,11
CEP97,48
CEPT1,1258
CER1,1259
CERCAM,38
CERK,60
CERKL,1260
CERS1,1261
CERS2,37
CERS3,1262
CERS4,14
CERS5,60
CERS6,11
CES1,1263
CES2,52
CES3,73
CES4A,1264
CES5A,1265
CETN1,1266
CETN3,63
CETP,1267
CFAP20,8
CFAP221,38
CFAP43,1268
CFAP44,60
CFB,1269
CFC1,1270
CFC1B,1271
CFD,65
CFDP1,50
CFHR1,1272
CFHR3,1273
CFHR5,1274
CFI,1275
CFL1,27
CFL2,52
CFLAR,3
CFTR,1276
CGA,1277
CGB2,1278
CGB7,1279
CGGBP1,1280
CGN,10
CGNL1,1281
CGREF1,1282
CGRRF1,73
CH25H,1283
CHAC1,14
CHAC2,1284
CHAD,1285
CHADL,4
CHAF1A,70
CHAF1B,27
CHAMP1,3
CHAT,1286
CHCHD1,0
CHCHD10,1287
CHCHD2,11
CHCHD3,54
CHCHD4,47
CHCHD5,7
CHCHD6,1288
CHCHD7,1289
CHD1,14
CHD1L,1290
CHD2,47
CHD3,30
CHD4,48
CHD5,1291
CHD6,1292
CHD7,60
CHD8,63
CHD9,1293
CHDH,1294
CHEK1,27
CHEK2,45
CHERP,27
CHFR,14
CHGA,1295
CHI3L1,63
CHI3L2,1296
CHIA,1297
CHIC2,3
CHID1,1298
CHIT1,1299
CHKA,73
CHKB,63
CHL1,1300
CHMP1A,52
CHMP1B,52
CHMP2A,52
CHMP2B,1301
CHMP3,52
CHMP4A,29
CHMP4B,1302
CHMP4C,21
CHMP5,52
CHMP6,52
CHMP7,10
CHN1,1303
CHN2,4
CHODL,1304
CHORDC1,1305
CHP1,11
CHP2,1306
CHPF,73
CHPF2,60
CHPT1,14
CHRAC1,14
CHRD,1307
CHRDL2,1308
CHRFAM7A,1309
CHRM1,1310
CHRM2,1311
CHRM3,4
CHRM4,10
CHRM5,1312
CHRNA1,1313
CHRNA10,1314
CHRNA2,1315
CHRNA3,1316
CHRNA4,1317
CHRNA5,60
CHRNA6,1318
CHRNA7,1319
CHRNA9,1320
CHRNB1,29
CHRNB2,1321
CHRNB3,1322
CHRNB4,1323
CHRND,1324
CHRNE,1325
CHRNG,1326
CHST1,1327
CHST10,21
CHST11,29
CHST12,60
CHST13,1328
CHST14,73
CHST15,1329
CHST2,1330
CHST3,60
CHST4,1331
CHST5,1332
CHST6,1333
CHST8,1334
CHST9,1335
CHSY3,1336
CHTF18,45
CHTF8,45
CHTOP,52
CHUK,3
CHURC1,1337
CIAO1,47
CIAPIN1,47
CIART,60
CIB1,1338
CIB2,1339
CIB3,1340
CIB4,1341
CIC,14
CIDEA,1342
CIDEB,60
CIDEC,1343
CIITA,1344
CILP,1345
CILP2,1346
CINP,47
CIPC,1347
CIR1,63
CIRBP,10
CISD1,1348
CISD2,1349
CISD3,14
CISH,1350
CIT,52
CITED2,3
CITED4,30
CIZ1,63
CKAP2,8
CKAP2L,73
CKAP4,14
CKAP5,21
CKB,29
CKLF,1351
CKM,1352
CKMT2,1353
CKS1B,45
CKS2,63
CLASRP,8
CLC,1354
CLCA1,1355
CLCA2,1356
CLCA4,1357
CLCC1,60
CLCF1,1358
CLCN1,1359
CLCN2,4
CLCN3,14
CLCN6,73
CLCN7,29
CLCNKA,1360
CLCNKB,29
CLDN1,11
CLDN10,1361
CLDN11,1362
CLDN14,1363
CLDN15,1364
CLDN16,1365
CLDN17,1366
CLDN18,1367
CLDN19,1368
CLDN20,1369
CLDN22,1370
CLDN23,1371
CLDN24,1372
CLDN25,1373
CLDN3,1374
CLDN4,1375
CLDN5,1376
CLDN6,1377
CLDN7,1378
CLDN8,1379
CLDN9,1380
CLDND1,27
CLDND2,1381
CLEC10A,1382
CLEC11A,1383
CLEC12A,1384
CLEC12B,1385
CLEC14A,1386
CLEC16A,30
CLEC17A,1387
CLEC18A,1388
CLEC18B,54
CLEC18C,1389
CLEC1A,1390
CLEC1B,1391
CLEC2A,1392
CLEC2B,1393
CLEC2D,1394
CLEC2L,1395
CLEC3B,1396
CLEC4A,1397
CLEC4C,1398
CLEC4D,1399
CLEC4E,1400
CLEC4F,1401
CLEC4G,1402
CLEC4M,1403
CLEC5A,1404
CLEC6A,1405
CLEC7A,1406
CLEC9A,1407
CLECL1,1408
CLGN,1409
CLHC1,1410
CLIC1,14
CLIC3,1411
CLIC4,60
CLIC5,1412
CLIC6,1413
CLINT1,14
CLIP1,1414
CLIP2,30
CLIP3,3
CLIP4,73
CLK1,14
CLK2,10
CLK3,14
CLK4,60
CLMN,1415
CLMP,54
CLN3,71
CLN5,1416
CLN6,29
CLNK,1417
CLNS1A,27
CLOCK,1418
CLP1,14
CLPB,54
CLPP,0
CLPS,1419
CLPSL1,1420
CLPSL2,1421
CLPTM1,60
CLPTM1L,1422
CLPX,0
CLRN1,1423
CLRN2,1424
CLSTN1,45
CLSTN2,14
CLSTN3,14
CLTA,60
CLTB,1425
CLTC,52
CLTCL1,14
CLU,1426
CLUAP1,29
CLUH,54
CLUL1,1427
CLVS1,1428
CLVS2,1429
CLYBL,73
CMA1,1430
CMAS,11
CMBL,29
CMC2,60
CMIP,63
CMKLR1,1431
CMPK1,11
CMPK2,60
CMSS1,11
CMTM1,1432
CMTM2,1433
CMTM3,1434
CMTM4,14
CMTM5,1435
CMTM6,5
CMTM7,1436
CMTM8,4
CMTR1,47
CMTR2,38
CMYA5,1437
CNBD2,1438
CNBP,17
CNDP1,1439
CNDP2,50
CNEP1R1,8
CNFN,1440
CNGA1,1441
CNGA3,1442
CNGA4,1443
CNGB1,1444
CNGB3,14
CNIH1,30
CNIH2,1445
CNIH4,27
CNKSR1,1446
CNKSR3,71
CNN1,1447
CNN2,54
CNN3,10
CNNM1,60
CNNM2,45
CNNM3,1448
CNNM4,73
CNOT1,63
CNOT10,63
CNOT11,63
CNOT2,53
CNOT3,53
CNOT4,4
CNOT6,1449
CNOT6L,14
CNOT7,14
CNOT8,1450
CNP,14
CNPPD1,1451
CNPY1,1452
CNPY2,73
CNPY3,1453
CNPY4,4
CNR1,1454
CNR2,1455
CNRIP1,1456
CNST,1457
CNTD1,1458
CNTD2,1459
CNTF,14
CNTFR,1460
CNTLN,1461
CNTN1,1462
CNTN2,1463
CNTN3,1464
CNTN4,1465
CNTN5,1466
CNTN6,41
CNTNAP1,65
CNTNAP2,1467
CNTNAP3,65
CNTNAP3B,54
CNTNAP4,1468
CNTNAP5,1469
CNTRL,65
CNTROB,48
COA1,4
COA3,0
COA4,0
COA5,0
COA6,0
COA7,0
COASY,11
COBL,12
COBLL1,1470
COCH,1471
COG1,30
COG2,30
COG3,30
COG4,30
COG5,30
COG6,30
COG7,30
COG8,30
COIL,47
COL10A1,1472
COL11A2,14
COL12A1,60
COL13A1,60
COL14A1,1473
COL15A1,1474
COL16A1,1475
COL17A1,1476
COL18A1,1477
COL19A1,1478
COL1A1,1479
COL1A2,1480
COL20A1,1481
COL21A1,1482
COL22A1,1483
COL23A1,1484
COL24A1,1485
COL25A1,1486
COL27A1,1487
COL28A1,1488
COL2A1,1489
COL3A1,1490
COL4A1,60
COL4A2,60
COL4A3,1491
COL4A4,1492
COL5A1,14
COL5A2,14
COL5A3,1493
COL6A1,1494
COL6A2,1495
COL6A3,1496
COL6A6,1497
COL7A1,1498
COL8A1,1499
COL8A2,1500
COL9A1,1501
COL9A2,1502
COL9A3,14
COLCA2,1503
COLEC10,1504
COLEC11,1505
COLEC12,1506
COLGALT1,1507
COLGALT2,1508
COLQ,1509
COMMD1,14
COMMD10,71
COMMD2,71
COMMD3,71
COMMD4,71
COMMD5,71
COMMD6,71
COMMD7,71
COMMD8,71
COMMD9,71
COMP,1510
COMT,8
COMTD1,73
COPA,27
COPB1,27
COPB2,27
COPE,30
COPG1,27
COPRS,14
COPS2,52
COPS3,52
COPS4,52
COPS5,52
COPS6,52
COPS7A,52
COPS7B,1511
COPS8,52
COPZ1,27
COQ10A,65
COQ10B,60
COQ2,0
COQ3,0
COQ4,0
COQ5,0
COQ6,0
COQ7,0
COQ9,73
CORIN,1512
CORO1A,14
CORO1B,73
CORO1C,14
CORO2A,1513
CORO2B,1514
CORO6,1515
CORO7,1516
CORT,1517
COTL1,1518
COX10,0
COX11,0
COX14,0
COX15,0
COX16,0
COX17,0
COX18,0
COX19,0
COX20,0
COX4I1,0
COX4I2,1519
COX5A,0
COX5B,0
COX6A1,0
COX6A2,1520
COX6B1,0
COX6B2,1521
COX6C,0
COX7A1,1522
COX7A2,60
COX7A2L,29
COX7B2,1523
COX7C,0
COX8A,0
COX8C,1524
CP,1525
CPA1,1526
CPA2,1527
CPA3,1528
CPA4,1529
CPA5,1530
CPA6,1531
CPAMD8,1532
CPB1,1533
CPB2,1534
CPD,73
CPE,60
CPEB1,1535
CPEB2,1536
CPEB3,1537
CPED1,52
CPLX1,1538
CPLX2,1539
CPLX3,1540
CPLX4,1541
CPM,29
CPN1,1542
CPN2,1543
CPNE1,37
CPNE2,52
CPNE3,54
CPNE4,1544
CPNE5,1545
CPNE6,1546
CPNE7,60
CPNE8,47
CPNE9,1547
CPO,1548
CPOX,0
CPPED1,1549
CPQ,1550
CPS1,1551
CPSF1,1552
CPSF2,1553
CPSF3,47
CPSF4,27
CPSF4L,1554
CPSF6,47
CPSF7,3
CPT1A,1555
CPT1B,14
CPT1C,1556
CPT2,60
CPTP,1557
CPVL,1558
CPXM1,1559
CPXM2,1560
CPZ,1561
CR1,1562
CR1L,1563
CR2,1564
CRABP1,1565
CRABP2,37
CRACR2A,1566
CRACR2B,1567
CRADD,60
CRAT,73
CRB1,1568
CRB2,1569
CRB3,41
CRBN,1570
CRCP,27
CRCT1,1571
CREB1,1572
CREB3,29
CREB3L1,1573
CREB3L2,1574
CREB3L3,1575
CREB3L4,1576
CREB5,14
CREBBP,48
CREBL2,48
CREBRF,1577
CREBZF,0
CREG1,52
CREG2,65
CRELD1,1578
CRELD2,60
CREM,54
CRH,50
CRHBP,1579
CRHR1,1580
CRHR2,1581
CRIM1,62
CRIP1,1582
CRIP2,30
CRIP3,1583
CRIPAK,60
CRIPT,47
CRISP1,1584
CRISP2,1585
CRISP3,1586
CRISPLD1,14
CRISPLD2,1587
CRK,41
CRKL,41
CRLF1,47
CRLF3,1588
CRLS1,54
CRMP1,52
CRNKL1,10
CRNN,1589
CROCC,30
CROT,1590
CRP,1591
CRTAC1,1592
CRTAM,1593
CRTAP,1594
CRTC1,21
CRTC2,21
CRTC3,21
CRX,1595
CRY1,1596
CRY2,56
CRYAA,1597
CRYAB,29
CRYBA1,1598
CRYBA2,1599
CRYBA4,1600
CRYBB1,1601
CRYBB2,1602
CRYBB3,1603
CRYGA,60
CRYGB,1604
CRYGC,1605
CRYGD,1606
CRYGN,1607
CRYGS,60
CRYL1,60
CRYM,1608
CRYZ,73
CRYZL1,50
CS,0
CSAD,30
CSDC2,1609
CSDE1,63
CSE1L,27
CSF1,1610
CSF1R,1611
CSF2,1612
CSF2RB,70
CSF3,1613
CSF3R,1614
CSGALNACT1,47
CSGALNACT2,1615
CSH2,1616
CSHL1,1617
CSK,71
CSMD1,1618
CSMD2,1619
CSMD3,1620
CSN1S1,1621
CSN2,1622
CSN3,1623
CSNK1A1,11
CSNK1A1L,1624
CSNK1D,47
CSNK1E,63
CSNK1G1,10
CSNK1G2,4
CSNK1G3,14
CSNK2A1,4
CSNK2A2,4
CSNK2A3,4
CSNK2B,4
CSPG4,1625
CSPG5,52
CSPP1,60
CSRNP1,30
CSRNP2,1626
CSRNP3,1627
CSRP1,1628
CSRP2,14
CSRP3,1629
CST1,1630
CST11,1631
CST2,1632
CST3,52
CST4,1633
CST5,1634
CST6,1635
CST7,1636
CST8,1637
CST9,1638
CST9L,1639
CSTA,1640
CSTB,14
CSTF1,27
CSTF2T,60
CSTF3,27
CSTL1,1641
CTAGE1,1642
CTAGE15,14
CTAGE4,1643
CTAGE5,1644
CTAGE9,73
CTBP1,41
CTBP2,41
CTBS,14
CTC1,3
CTCF,1645
CTCFL,1646
CTDNEP1,8
CTDP1,11
CTDSP1,60
CTDSP2,41
CTDSPL,14
CTDSPL2,1647
CTF1,1648
CTH,14
CTHRC1,1649
CTIF,14
CTLA4,14
CTNNA1,41
CTNNA2,4
CTNNA3,1650
CTNNAL1,1651
CTNNB1,41
CTNNBIP1,11
CTNNBL1,27
CTNND1,41
CTNND2,1652
CTNS,1653
CTPS1,11
CTR9,50
CTRB1,1654
CTRB2,1655
CTRC,1656
CTRL,1657
CTSA,1658
CTSB,41
CTSC,4
CTSD,71
CTSE,1659
CTSF,41
CTSG,1660
CTSH,60
CTSK,14
CTSL,1661
CTSO,1662
CTSS,14
CTSV,1663
CTSW,14
CTSZ,63
CTTN,60
CTTNBP2,1664
CTTNBP2NL,1665
CTU1,47
CTU2,47
CTXN1,54
CTXN2,1666
CTXN3,1667
CUBN,1668
CUEDC1,58
CUEDC2,60
CUL1,45
CUL2,71
CUL3,52
CUL4A,38
CUL5,11
CUL7,10
CUL9,54
CUTA,14
CUTC,1669
CUX1,1670
CUX2,1671
CUZD1,1672
CWC22,27
CWC25,63
CWC27,1673
CWF19L1,47
CWF19L2,47
CWH43,1674
CX3CL1,1675
CXADR,1676
CXCL1,1677
CXCL10,1678
CXCL11,60
CXCL12,71
CXCL13,1679
CXCL14,1680
CXCL16,14
CXCL17,1681
CXCL2,73
CXCL3,1682
CXCL5,1683
CXCL6,1684
CXCL8,60
CXCL9,1685
CXCR1,1686
CXCR2,1687
CXCR4,3
CXCR5,1688
CXCR6,1689
CXXC1,50
CXXC4,30
CXXC5,21
CYB561,60
CYB561A3,60
CYB561D1,47
CYB561D2,52
CYB5A,11
CYB5B,37
CYB5D1,1690
CYB5D2,60
CYB5R1,60
CYB5R2,1691
CYB5R3,11
CYB5R4,21
CYB5RL,1692
CYBA,60
CYBRD1,60
CYC1,0
CYCS,0
CYFIP1,41
CYGB,14
CYHR1,70
CYLC2,1693
CYLD,3
CYP11A1,1694
CYP11B1,1695
CYP11B2,1696
CYP17A1,1697
CYP19A1,1698
CYP1A1,1699
CYP1A2,1700
CYP1B1,1701
CYP20A1,29
CYP21A2,1702
CYP24A1,1703
CYP26A1,1704
CYP26B1,1705
CYP26C1,1706
CYP27A1,70
CYP27B1,60
CYP27C1,1707
CYP2A13,1708
CYP2A6,1709
CYP2A7,1710
CYP2B6,1711
CYP2C18,1712
CYP2C19,1713
CYP2C8,1714
CYP2C9,1715
CYP2D6,1716
CYP2E1,1717
CYP2F1,1718
CYP2J2,5
CYP2R1,1719
CYP2S1,54
CYP2U1,60
CYP2W1,1720
CYP39A1,14
CYP3A4,1721
CYP3A43,1722
CYP3A5,1723
CYP3A7,1724
CYP46A1,1725
CYP4A11,1726
CYP4A22,1727
CYP4F11,1728
CYP4F12,1729
CYP4F2,1730
CYP4F22,60
CYP4F3,1731
CYP4V2,1732
CYP4X1,1733
CYP4Z1,1734
CYP51A1,73
CYP7A1,1735
CYP8B1,1736
CYS1,1737
CYSLTR2,1738
CYSRT1,48
CYSTM1,73
CYTH1,4
CYTH2,14
CYTH3,41
CYTH4,1739
CYTIP,1740
CYTL1,1741
CYYR1,1742
D2HGDH,14
DAAM1,1743
DAAM2,30
DAB1,1744
DAB2,60
DAB2IP,1745
DACH1,14
DACT1,1746
DACT2,1747
DACT3,1748
DAD1,27
DAG1,10
DAGLA,1749
DAGLB,60
DALRD3,14
DAND5,1750
DAO,1751
DAOA,1752
DAP,11
DAP3,55
DAPK1,73
DAPK2,1753
DAPK3,5
DAPL1,1754
DAPP1,56
DARS,0
DARS2,0
DAW1,60
DAZAP1,63
DAZAP2,1755
DAZL,1756
DBF4,45
DBF4B,14
DBH,1757
DBI,1758
DBN1,60
DBNDD1,10
DBNDD2,14
DBNL,14
DBP,60
DBR1,27
DBT,4
DBX2,1759
DCAF10,30
DCAF11,1760
DCAF12,60
DCAF13,29
DCAF16,1761
DCAF17,1762
DCAF4,14
DCAF5,3
DCAF6,60
DCAF8,14
DCAKD,14
DCBLD1,1763
DCBLD2,14
DCC,1764
DCD,1765
DCDC1,1766
DCDC2,1767
DCDC2B,1768
DCHS2,1769
DCK,1770
DCLK1,1771
DCLK2,1772
DCLK3,1773
DCLRE1A,1774
DCLRE1B,3
DCLRE1C,1775
DCN,1776
DCP1B,1777
DCP2,17
DCPS,11
DCST1,1778
DCST2,54
DCSTAMP,1779
DCT,1780
DCTD,1781
DCTN1,14
DCTN2,14
DCTN3,14
DCTN4,47
DCTN5,47
DCTN6,47
DCTPP1,52
DCUN1D1,11
DCUN1D2,41
DCUN1D3,1782
DCUN1D4,1783
DCUN1D5,14
DCXR,73
DDA1,21
DDAH1,1784
DDAH2,14
DDB1,52
DDB2,50
DDC,1785
DDHD1,73
DDHD2,60
DDI1,47
DDI2,56
DDIT3,73
DDIT4,41
DDIT4L,1786
DDN,4
DDO,1787
DDOST,27
DDR1,1788
DDR2,1789
DDRGK1,73
DDTL,65
DDX1,47
DDX10,50
DDX11,45
DDX17,47
DDX18,27
DDX19A,14
DDX19B,71
DDX20,27
DDX21,47
DDX23,65
DDX24,14
DDX25,1790
DDX27,54
DDX28,55
DDX31,47
DDX39A,52
DDX39B,21
DDX4,1791
DDX41,27
DDX42,47
DDX43,1792
DDX46,1793
DDX47,1794
DDX49,27
DDX5,38
DDX50,14
DDX51,29
DDX52,47
DDX54,47
DDX55,47
DDX56,47
DDX58,14
DDX59,47
DDX6,17
DDX60,1795
DDX60L,1796
DEAF1,4
DEC1,1797
DECR1,14
DECR2,1798
DEDD,4
DEDD2,1799
DEF6,71
DEF8,10
DEFA1,1800
DEFA4,1801
DEFA5,1802
DEFA6,1803
DEFB1,60
DEFB104A,1804
DEFB105A,1805
DEFB106A,1806
DEFB108B,1807
DEFB112,1808
DEFB113,1809
DEFB114,1810
DEFB115,1811
DEFB116,1812
DEFB118,1813
DEFB119,1814
DEFB121,1815
DEFB123,1816
DEFB124,1817
DEFB125,1818
DEFB126,1819
DEFB128,1820
DEFB129,1821
DEFB132,1822
DEFB134,1823
DEFB135,1824
DEFB136,1825
DEFB4A,1826
DEGS2,1827
DEK,1828
DENND1A,1829
DENND1B,60
DENND1C,1830
DENND2A,1831
DENND2C,1832
DENND2D,1833
DENND3,54
DENND4A,5
DENND4B,30
DENND4C,5
DENND5A,1834
DENND5B,1835
DENND6A,1836
DENND6B,1837
DENR,55
DEPDC1,14
DEPDC1B,1838
DEPDC4,1839
DEPDC5,41
DEPDC7,1840
DEPTOR,1841
DERA,1842
DERL1,73
DERL2,73
DERL3,73
DES,1843
DESI1,60
DESI2,1844
DET1,21
DFFA,1845
DFFB,29
DGAT1,41
DGAT2,1846
DGCR2,14
DGCR6,10
DGCR6L,14
DGCR8,10
DGKA,29
DGKB,1847
DGKD,60
DGKE,73
DGKG,65
DGKH,1848
DGKI,1849
DGKQ,30
DGKZ,70
DGUOK,14
DHCR24,60
DHCR7,1850
