gene,community
AIF1L,56
AIFM2,73
AIFM3,304
AIG1,11
AIM2,73
AIMP2,52
AIP,63
AIPL1,305
AIRE,306
AJAP1,307
AJUBA,5
AK1,14
AK2,60
AK3,52
AK4,71
AK5,308
AK6,47
AK7,60
AK8,309
AK9,60
AKAP1,310
AKAP10,60
AKAP11,311
AKAP12,29
AKAP13,10
AKAP3,312
AKAP5,313
AKAP6,314
AKAP7,60
AKAP8,315
AKAP8L,73
AKIP1,48
AKIRIN1,63
AKIRIN2,27
AKNA,60
AKNAD1,316
AKR1A1,29
AKR1B1,317
AKR1B15,318
AKR1C1,3
AKR1C2,319
AKR1C3,320
AKR1C4,3
AKR1D1,321
AKR1E2,322
AKR7A2,4
AKR7A3,30
AKT1,71
AKT1S1,41
AKT2,71
AKT3,323
AKTIP,11
ALAD,11
ALAS1,11
ALB,324
ALCAM,47
ALDH16A1,325
ALDH18A1,52
ALDH1A1,326
ALDH1A2,327
ALDH1B1,14
ALDH1L1,328
ALDH1L2,14
ALDH2,30
ALDH3A1,60
ALDH3A2,329
ALDH3B2,29
ALDH4A1,60
ALDH5A1,330
ALDH6A1,331
ALDH7A1,60
ALDH8A1,332
ALDH9A1,7
ALDOA,11
ALDOB,333
ALDOC,29
ALG1,27
ALG10,73
ALG10B,334
ALG11,27
ALG12,73
ALG14,27
ALG1L,335
ALG2,27
ALG3,73
ALG5,73
ALG6,73
ALG8,73
ALG9,73
ALK,29
ALKBH1,5
ALKBH2,336
ALKBH3,56
ALKBH4,14
ALKBH5,14
ALKBH6,27
ALKBH7,337
ALKBH8,47
ALLC,338
ALMS1,339
ALOX12B,340
ALOX15,341
ALOX15B,342
ALOX5,29
ALOX5AP,343
ALOXE3,344
ALPI,345
ALPK1,346
ALPK2,347
ALPK3,60
ALPL,348
ALPP,349
ALS2,350
ALS2CL,351
ALX1,352
ALX3,353
ALX4,354
ALYREF,21
AMACR,14
AMBN,355
AMBP,56
AMBRA1,60
AMD1,47
AMDHD1,356
AMDHD2,54
AMER2,357
AMER3,358
AMFR,37
AMH,359
AMHR2,360
AMIGO1,361
AMIGO2,362
AMIGO3,363
AMN,364
AMN1,60
AMOTL1,60
AMOTL2,5
AMPD1,365
AMPD2,366
AMPD3,367
AMPH,5
AMT,368
AMTN,369
AMY1A,370
AMY2A,371
AMY2B,372
AMZ1,29
AMZ2,373
ANAPC1,50
ANAPC10,50
ANAPC11,71
ANAPC13,21
ANAPC15,21
ANAPC16,374
ANAPC2,27
ANAPC4,27
ANAPC5,21
ANAPC7,29
ANG,375
ANGEL1,60
ANGEL2,54
ANGPT1,376
ANGPT2,377
ANGPT4,378
ANGPTL1,379
ANGPTL2,380
ANGPTL3,381
ANGPTL4,382
ANGPTL5,383
ANGPTL6,384
ANGPTL7,385
ANHX,386
ANK1,387
ANK2,388
ANK3,389
ANKAR,390
ANKDD1A,391
ANKEF1,392
ANKFY1,52
ANKH,52
ANKHD1,393
ANKIB1,41
ANKK1,394
ANKLE1,395
ANKLE2,27
ANKMY1,14
ANKMY2,21
ANKRA2,60
ANKRD1,396
ANKRD10,397
ANKRD11,70
ANKRD12,398
ANKRD13A,399
ANKRD13B,400
ANKRD13C,14
ANKRD16,14
ANKRD17,14
ANKRD2,401
ANKRD23,402
ANKRD26,403
ANKRD27,404
ANKRD28,405
ANKRD30A,406
ANKRD31,407
ANKRD33,408
ANKRD34B,409
ANKRD37,410
ANKRD40,411
ANKRD44,47
ANKRD45,412
ANKRD46,413
ANKRD49,11
ANKRD50,414
ANKRD52,10
ANKRD53,415
ANKRD54,60
ANKRD6,416
ANKRD61,417
ANKRD7,14
ANKRD9,418
ANKS1A,419
ANKS1B,420
ANKS3,421
ANKS4B,422
ANKS6,5
ANKZF1,52
ANLN,5
ANO1,60
ANO10,423
ANO3,424
ANO4,11
ANO5,425
ANO6,426
ANO7,427
ANO8,60
ANO9,428
ANP32A,54
ANP32B,54
ANP32E,14
ANPEP,60
ANTXR1,55
ANTXR2,429
ANTXRL,430
ANXA1,73
ANXA10,431
ANXA11,23
ANXA13,432
ANXA2,60
ANXA2R,10
ANXA3,433
ANXA4,30
ANXA5,434
ANXA6,60
ANXA7,48
ANXA8,60
ANXA8L1,14
ANXA9,60
AOAH,435
AOC1,14
AOC2,30
AOC3,436
AOX1,437
AP1AR,438
AP1B1,52
AP1G1,52
AP1G2,60
AP1M1,52
AP1M2,52
AP1S1,52
AP1S3,73
AP2A1,52
AP2A2,52
AP2B1,52
AP2M1,52
AP2S1,52
AP3B1,71
AP3B2,60
AP3D1,71
AP3M1,27
AP3M2,14
AP3S1,439
AP3S2,54
AP4B1,60
AP4E1,41
AP4M1,14
AP4S1,60
AP5B1,14
AP5M1,14
AP5S1,440
AP5Z1,441
APAF1,442
APBA1,443
APBA2,444
APBA3,445
APBB1,446
APBB1IP,447
APBB2,448
APBB3,4
APC,11
APC2,60
APCDD1,449
APCDD1L,450
APCS,451
APEH,38
APEX1,65
APH1A,4
APH1B,60
API5,52
APIP,452
APLF,453
APLNR,454
APLP1,71
APLP2,455
APMAP,30
APOA1,456
APOA2,457
APOA4,458
APOA5,459
APOB,460
APOBEC1,461
APOBEC2,462
APOBEC3A,463
APOBEC3B,464
APOBEC3C,14
APOBEC3D,465
APOBEC3F,466
APOBEC3G,47
APOBEC3H,467
APOBEC4,468
APOBR,469
APOC1,5
APOC2,14
APOC3,470
APOC4,73
APOD,471
APOE,29
APOF,472
APOH,473
APOL1,474
APOL2,475
APOL3,476
APOL5,477
APOL6,65
APOLD1,14
APOM,14
APP,11
APPBP2,60
APPL1,41
APPL2,478
APRT,47
APTX,14
AQP1,50
AQP10,479
AQP11,480
AQP12B,481
AQP2,482
AQP3,483
AQP4,484
AQP5,485
AQP6,486
AQP7,487
AQP8,488
AQP9,489
AQR,27
ARAP1,490
ARAP2,29
ARAP3,14
ARC,56
ARCN1,27
AREG,491
AREL1,492
ARF1,47
ARF3,60
ARF4,27
ARF5,47
ARF6,5
ARFGAP1,14
ARFGAP2,38
ARFGAP3,14
ARFGEF1,4
ARFGEF2,14
ARFIP1,60
ARFIP2,493
ARFRP1,30
ARG1,494
ARG2,495
ARGFX,496
ARGLU1,14
ARHGAP1,4
ARHGAP10,497
ARHGAP11A,70
ARHGAP11B,70
ARHGAP12,60
ARHGAP15,14
ARHGAP17,69
ARHGAP18,498
ARHGAP19,54
ARHGAP20,499
ARHGAP21,5
ARHGAP22,500
ARHGAP23,501
ARHGAP24,502
ARHGAP25,503
ARHGAP26,504
ARHGAP28,47
ARHGAP29,41
ARHGAP30,505
ARHGAP31,506
ARHGAP32,507
ARHGAP33,14
ARHGAP35,5
ARHGAP39,508
ARHGAP44,509
ARHGAP5,14
ARHGAP8,510
ARHGAP9,10
ARHGDIA,73
ARHGDIB,511
ARHGDIG,512
ARHGEF1,5
ARHGEF10,60
ARHGEF10L,60
ARHGEF11,64
ARHGEF12,50
ARHGEF15,513
ARHGEF16,11
ARHGEF17,514
ARHGEF18,515
ARHGEF19,60
ARHGEF2,60
ARHGEF25,516
ARHGEF26,41
ARHGEF28,60
ARHGEF3,5
ARHGEF33,517
ARHGEF37,518
ARHGEF38,519
ARHGEF39,29
ARHGEF4,520
ARHGEF40,521
ARHGEF5,73
ARHGEF7,41
ARID1A,63
ARID1B,63
ARID2,63
ARID3C,522
ARID4A,3
ARID4B,70
ARID5A,60
ARID5B,523
ARIH1,52
ARIH2,11
ARIH2OS,30
ARL1,30
ARL10,60
ARL11,524
ARL13B,60
ARL14,525
ARL14EP,63
ARL15,47
ARL16,73
ARL17A,526
ARL2,27
ARL2BP,29
ARL3,527
ARL4A,528
ARL4C,54
ARL4D,14
ARL5A,73
ARL5B,30
ARL5C,529
ARL6,530
ARL6IP1,531
ARL6IP5,60
ARL6IP6,532
ARL8A,60
ARL8B,71
ARL9,10
ARMC1,533
ARMC10,27
ARMC12,534
ARMC2,535
ARMC3,536
ARMC4,537
ARMC5,538
ARMC6,3
ARMC7,47
ARMC8,539
ARMC9,54
ARMS2,540
ARNT,63
ARNT2,11
ARNTL,14
ARNTL2,73
ARPC1A,60
ARPC1B,29
ARPC2,41
ARPC3,41
ARPC4,41
ARPC5,14
ARPC5L,541
ARPIN,542
ARPP19,4
ARPP21,543
ARRB1,29
ARRB2,544
ARRDC1,60
ARRDC2,38
ARRDC4,4
ARSA,14
ARSB,14
ARSI,545
ARSJ,546
ARSK,60
ART1,547
ART3,548
ART4,549
ART5,550
ARTN,551
ARV1,14
ARVCF,54
AS3MT,552
ASAH1,553
ASAH2,554
ASAH2B,555
ASAP1,73
ASAP2,56
ASAP3,60
ASB1,556
ASB10,557
ASB13,558
ASB14,559
ASB15,560
ASB16,55
ASB17,561
ASB18,562
ASB2,563
ASB3,564
ASB4,565
ASB5,566
ASB6,60
ASB7,567
ASB8,14
ASCC1,65
ASCC2,60
ASCL1,29
ASCL2,4
ASCL3,568
ASCL4,569
ASCL5,30
ASF1A,70
ASF1B,70
ASGR1,570
ASGR2,571
ASH1L,70
ASH2L,63
ASIC1,29
ASIC2,572
ASIC3,573
ASIC4,574
ASIC5,575
ASIP,576
ASL,10
ASNA1,30
ASNS,52
ASNSD1,60
ASPA,577
ASPDH,578
ASPG,579
ASPH,71
ASPHD1,41
ASPHD2,580
ASPM,21
ASPRV1,0
ASPSCR1,71
ASRGL1,73
ASS1,581
ASTE1,582
ASTL,583
ASTN1,584
ASTN2,585
ASXL1,29
ASXL3,586
ASZ1,587
ATAD1,588
ATAD2,60
ATAD2B,589
ATAD3C,590
ATAD5,4
ATAT1,73
ATCAY,591
ATE1,60
ATF1,592
ATF3,593
ATF4,52
ATF5,594
ATF6,0
ATF6B,595
ATF7,596
ATF7IP,71
ATF7IP2,597
ATG10,52
ATG101,52
ATG12,52
ATG13,52
ATG14,52
ATG16L1,52
ATG16L2,60
ATG2A,54
ATG2B,60
ATG3,52
ATG4B,52
ATG4C,60
ATG4D,14
ATG5,598
ATG7,52
ATG9A,52
ATIC,11
ATL1,599
ATL2,60
ATM,45
ATMIN,45
ATN1,54
ATOH1,60
ATOH7,600
ATOH8,38
ATOX1,27
ATP10A,601
ATP10B,602
ATP10D,603
ATP11A,14
ATP11B,73
ATP12A,604
ATP13A1,73
ATP13A2,14
ATP13A4,605
ATP13A5,606
ATP1A1,11
ATP1A2,607
ATP1A3,29
ATP1A4,27
ATP1B1,608
ATP1B2,609
ATP1B3,11
ATP2A1,610
ATP2A3,4
ATP2B1,611
ATP2B2,73
ATP2B4,14
ATP2C1,73
ATP2C2,612
ATP4A,613
ATP4B,614
ATP6AP1L,615
ATP6V0A1,45
ATP6V0A2,4
ATP6V0A4,616
ATP6V0B,50
ATP6V0C,617
ATP6V0D1,50
ATP6V0D2,618
ATP6V0E2,4
ATP6V1A,50
ATP6V1B1,10
ATP6V1B2,50
ATP6V1C1,50
ATP6V1C2,65
ATP6V1D,50
ATP6V1E1,50
ATP6V1E2,14
ATP6V1F,50
ATP6V1G1,50
ATP6V1G2,29
ATP6V1G3,619
ATP6V1H,50
ATP7B,14
ATP8A1,620
ATP8A2,621
ATP8B1,622
