dataset,block,affected_genes,frac_affected_with_source_mass,mean_delta,sd_delta,n_fit_mean,spearman_dhat_vs_delta_oos,spearman_u_vs_delta_oos,spearman_score_vs_delta_oos,frac_splits_positive
Wainberg,800->789.65,1257,1.0,0.5944671881049516,0.48231493003780124,125.82,0.3266433364038577,0.23863634314205534,0.009473222385955826,1.0
Sanger,400->375,1164,1.0,0.1626902829433225,0.3634971299540009,116.78,0.17096820687478417,0.20659028105595978,0.020286947317450066,1.0
Sanger,425->400,211,1.0,0.09681105225289602,0.3161169855549147,21.14,0.1015681949048626,0.11087820121935517,0.14551226779520385,0.82
Sanger,450->425,454,1.0,0.2031686971300499,0.40821524532341363,45.49,0.23507392214793654,0.17110332829285346,0.04082072217686796,1.0
DRIVE,250->225,503,1.0,0.10271384838087184,0.30529318647627407,50.5,0.1669324911164779,0.11463979196169533,0.04778465434284317,1.0
DRIVE,275->250,419,1.0,0.06574777398160647,0.23714822905928393,40.74,0.12801272095712815,0.08082250249657118,0.12002503254525275,0.94
HAP1,475->450,1021,1.0,0.7615194905195367,0.4207781570557385,102.17,0.5455633952961815,0.17477297913936934,0.4326504355375137,1.0
