dataset,delta,method,diff_vs_GoDag,ci_lo,ci_hi,P_gt_GoDag,diff_vs_GoCo_source,P_source_better
DRIVE,0.5,GoCo-dense-random1,27.36,23.767636538601934,30.952363461398065,0.89,-2.09,0.53
DRIVE,0.5,GoCo-dense-source,28.26,24.542244725481233,31.97775527451877,0.89,-1.19,0.49
DRIVE,0.1,GoDag-dense,15.83,13.919718700285111,17.740281299714887,1.0,-2.56,0.54
DRIVE,0.1,GoCo-random1,11.55,8.884857867606573,14.215142132393428,0.87,-6.84,0.72
DRIVE,0.1,GoCo-random2,8.38,5.9364380507963475,10.823561949203654,0.81,-10.01,0.81
DRIVE,0.1,GoCo-random3,13.2,10.624808646905922,15.775191353094076,0.89,-5.19,0.62
DRIVE,0.1,GoCo-score,13.02,10.370687012324389,15.66931298767561,0.85,-5.37,0.63
DRIVE,0.1,GoCo-source,18.39,15.23993845716685,21.54006154283315,0.88,0.0,0.0
DRIVE,0.1,GoCo-exp0,6.88,4.373490186725692,9.386509813274309,0.88,-11.51,0.84
DRIVE,0.1,GoCo-exp1,19.38,16.170159183027444,22.589840816972554,0.87,0.99,0.28
DRIVE,0.1,GoCo-oracle,33.09,29.5370006822518,36.642999317748206,0.91,14.7,0.04
DRIVE,0.1,GoCo-dense-random1,15.24,12.857654080702822,17.622345919297178,0.92,-3.15,0.64
DRIVE,0.1,GoCo-dense-source,15.75,13.261186636246912,18.23881336375309,0.92,-2.64,0.58
HAP1,0.5,GoDag-dense,2.66,2.38390824537901,2.9360917546209904,0.95,-3.54,0.9
HAP1,0.5,GoCo-random1,5.74,5.277503089390608,6.202496910609392,1.0,-0.46,0.5
HAP1,0.5,GoCo-random2,6.31,5.817377844303742,6.802622155696257,1.0,0.11,0.47
HAP1,0.5,GoCo-random3,4.97,4.574594689980118,5.365405310019882,1.0,-1.23,0.6
HAP1,0.5,GoCo-score,8.47,7.941093384729623,8.998906615270378,1.0,2.27,0.08
HAP1,0.5,GoCo-source,6.2,5.673634301568911,6.726365698431089,1.0,0.0,0.0
HAP1,0.5,GoCo-exp0,5.76,4.985401010623281,6.534598989376718,0.97,-0.44,0.48
HAP1,0.5,GoCo-exp1,5.6,5.147357388955333,6.052642611044666,1.0,-0.6,0.42
HAP1,0.5,GoCo-oracle,10.26,9.69686401305015,10.823135986949849,1.0,4.06,0.0
HAP1,0.5,GoCo-dense-random1,6.81,6.335841029087321,7.284158970912678,1.0,0.61,0.3
HAP1,0.5,GoCo-dense-source,7.32,6.804901459265641,7.83509854073436,1.0,1.12,0.05
HAP1,0.1,GoDag-dense,2.66,2.38390824537901,2.9360917546209904,0.95,-2.24,0.75
HAP1,0.1,GoCo-random1,5.03,4.590885940589786,5.469114059410215,1.0,0.13,0.43
HAP1,0.1,GoCo-random2,5.45,5.024420561368552,5.875579438631449,1.0,0.55,0.31
HAP1,0.1,GoCo-random3,4.15,3.7831853191310225,4.516814680868978,1.0,-0.75,0.59
HAP1,0.1,GoCo-score,8.33,7.822356904186344,8.837643095813656,1.0,3.43,0.02
HAP1,0.1,GoCo-source,4.9,4.446928952881148,5.353071047118853,0.99,0.0,0.0
HAP1,0.1,GoCo-exp0,3.96,3.4539915216105364,4.466008478389464,0.96,-0.94,0.56
HAP1,0.1,GoCo-exp1,4.53,4.107091377923951,4.952908622076049,0.99,-0.37,0.38
HAP1,0.1,GoCo-oracle,10.26,9.69686401305015,10.823135986949849,1.0,5.36,0.0
HAP1,0.1,GoCo-dense-random1,6.38,5.924980398246627,6.835019601753372,1.0,1.48,0.21
HAP1,0.1,GoCo-dense-source,6.65,6.145177719040121,7.15482228095988,1.0,1.75,0.02
