dataset,seed,alpha,delta,method,policy,p_selected,cal_mean,cal_sd,unit_fdp,unit_yield,go_yield,total_calls,genes_with_calls,term_fdp,unit_fdp_direct,go_yield_direct,n_relaxed_eval
Wainberg,2,0.1,0.1,GoCo-random1 (paper path),adapt_800_to_789.65_q0.125,0.09311350233696025,0.09610233563130649,0.2870559036875851,0.0957000812255365,192,347.0,1663.0,578,0.7913409500901984,0.09859452800138835,313.0,27
Wainberg,2,0.1,0.1,GoCo-knap (paper path),adapt_800_to_789.65_q0.2,0.07957261880585259,0.09585887842195577,0.28632912374665936,0.09627133047734196,195,360.0,1831.0,580,0.803386127799017,0.0987392192609756,326.0,42
Wainberg,2,0.1,0.1,GoCo-exp1 (paper path),adapt_800_to_789.65_q0.175,0.07928368528684748,0.09585234632019228,0.286383303800856,0.09632995811795424,193,357.0,1827.0,579,0.8045977011494253,0.0988682000703226,322.0,40
Wainberg,2,0.1,0.1,GoCo-dense-knap (tie-level path),adapt_797.626_to_789.65_q0.2,0.08513083068275124,0.09596439704599292,0.286478000554111,0.09627133047734196,195,360.0,1832.0,580,0.8034934497816594,0.0987392192609756,326.0,42
Wainberg,2,0.1,0.5,GoDag (global grid),global_800,0.0020579807349311247,0.09230765712807325,0.2819075279168699,0.09247187563717843,190,345.0,1617.0,563,0.7866419294990723,0.09519420840308454,312.0,0
Wainberg,2,0.1,0.5,GoCo-source (paper path),adapt_800_to_789.65_q0.275,0.2276916830658593,0.09778387991026935,0.28901221465133065,0.09975967529819907,195,359.0,1891.0,595,0.810153358011634,0.10226274065990999,324.0,64
Wainberg,2,0.1,0.5,GoCo-random1 (paper path),adapt_800_to_789.65_q0.275,0.483136402277188,0.09987311903495408,0.29212071152499924,0.09889059762264818,195,351.0,1699.0,596,0.7934078869923484,0.10178504439850003,317.0,51
Wainberg,2,0.1,0.5,GoCo-knap (paper path),adapt_800_to_789.65_q0.2,0.07957261880585259,0.09585887842195577,0.28632912374665936,0.09627133047734196,195,360.0,1831.0,580,0.803386127799017,0.0987392192609756,326.0,42
Wainberg,2,0.1,0.5,GoCo-exp1 (paper path),adapt_800_to_789.65_q0.225,0.23462671414203884,0.09785114232105986,0.28905995854064787,0.09921443821219968,195,359.0,1910.0,593,0.8120418848167539,0.10175268016456802,324.0,62
Wainberg,2,0.1,0.5,GoCo-dense-knap (tie-level path),adapt_797.626_to_789.65_q0.2,0.08513083068275124,0.09596439704599292,0.286478000554111,0.09627133047734196,195,360.0,1832.0,580,0.8034934497816594,0.0987392192609756,326.0,42
Wainberg,3,0.1,0.1,GoDag (global grid),global_800,0.00025878773997574974,0.09077549591194164,0.2793996907434913,0.09604713405962481,192,330.0,1581.0,582,0.7912713472485768,0.09765127776430448,311.0,0
Wainberg,3,0.1,0.1,GoCo-source (paper path),adapt_800_to_789.65_q0.4,0.08274074104312873,0.09592445794022435,0.2860784491607591,0.10377505234194587,198,341.0,1941.0,614,0.824317362184441,0.10511537164814516,320.0,97
Wainberg,3,0.1,0.1,GoCo-random1 (paper path),adapt_800_to_789.65_q0.175,0.012056028228993248,0.0934369426609419,0.28328905969020446,0.10109924565907921,196,334.0,1666.0,606,0.7995198079231692,0.10277374253249359,314.0,43
Wainberg,3,0.1,0.1,GoCo-knap (paper path),adapt_800_to_789.65_q0.225,0.031496402815247286,0.09457174339358711,0.28422339658488993,0.10323342895736771,201,345.0,1925.0,615,0.8207792207792208,0.10467927802295915,323.0,88
Wainberg,3,0.1,0.1,GoCo-exp1 (paper path),adapt_800_to_789.65_q0.3,0.09732623836085846,0.09618173001187252,0.286604375689565,0.10381487814521628,198,341.0,1932.0,615,0.8234989648033126,0.10515519745141558,320.0,89
Wainberg,3,0.1,0.1,GoCo-dense-knap (tie-level path),adapt_797.626_to_789.65_q0.225,0.031496402815247286,0.09457174339358711,0.28422339658488993,0.10344448847615201,201,345.0,1927.0,616,0.820965230928905,0.10489033754174344,323.0,88
Wainberg,3,0.1,0.5,GoDag (global grid),global_800,0.00025878773997574974,0.09077549591194164,0.2793996907434913,0.09604713405962481,192,330.0,1581.0,582,0.7912713472485768,0.09765127776430448,311.0,0
Wainberg,3,0.1,0.5,GoCo-source (paper path),adapt_800_to_789.65_q0.4,0.08274074104312873,0.09592445794022435,0.2860784491607591,0.10377505234194587,198,341.0,1941.0,614,0.824317362184441,0.10511537164814516,320.0,97
Wainberg,3,0.1,0.5,GoCo-random1 (paper path),adapt_800_to_789.65_q0.25,0.2517519847318194,0.09801167748507611,0.2893375464689627,0.10521875893631884,197,340.0,1733.0,624,0.8038084246970572,0.10699175025854195,319.0,78
Wainberg,3,0.1,0.5,GoCo-knap (paper path),adapt_800_to_789.65_q0.225,0.031496402815247286,0.09457174339358711,0.28422339658488993,0.10323342895736771,201,345.0,1925.0,615,0.8207792207792208,0.10467927802295915,323.0,88
Wainberg,3,0.1,0.5,GoCo-exp1 (paper path),adapt_800_to_789.65_q0.4,0.28736909012870426,0.09833159046443163,0.28947285250666244,0.10481222866456083,200,347.0,1972.0,620,0.8240365111561866,0.10629325430822956,324.0,107
Wainberg,3,0.1,0.5,GoCo-dense-knap (tie-level path),adapt_797.626_to_789.65_q0.225,0.031496402815247286,0.09457174339358711,0.28422339658488993,0.10344448847615201,201,345.0,1927.0,616,0.820965230928905,0.10489033754174344,323.0,88
Wainberg,4,0.1,0.1,GoDag (global grid),global_800,0.00023819214301684812,0.09070250756537215,0.279820684939351,0.09621745047154383,221,425.0,1780.0,606,0.7612359550561798,0.09872966470749582,394.0,0
Wainberg,4,0.1,0.1,GoCo-source (paper path),adapt_800_to_789.65_q0.3,0.034329073258626844,0.09466845360507414,0.285075004523108,0.09981656414659126,224,436.0,2026.0,618,0.7847976307996052,0.10202724507661146,403.0,55
Wainberg,4,0.1,0.1,GoCo-random1 (paper path),adapt_800_to_789.65_q0.1,0.017936956355392865,0.09387269458420307,0.28426688798307514,0.09930191174111773,222,426.0,1819.0,619,0.765805387575591,0.1018103570588886,395.0,25
Wainberg,4,0.1,0.1,GoCo-knap (paper path),adapt_800_to_789.65_q0.2,0.03085363628886415,0.0945316600459304,0.28491981173794834,0.10021722252740543,229,443.0,2045.0,621,0.7833740831295843,0.10260564867216809,408.0,61
Wainberg,4,0.1,0.1,GoCo-exp1 (paper path),adapt_800_to_789.65_q0.225,0.05818502447783325,0.0953842216014384,0.28617200955577776,0.10124121589838528,225,437.0,2057.0,625,0.7875546912980068,0.10345189682840546,404.0,59
Wainberg,4,0.1,0.1,GoCo-dense-knap (tie-level path),adapt_797.626_to_789.65_q0.2,0.05815402172121028,0.09538401603868545,0.28613616057538593,0.10185814624178154,230,445.0,2081.0,629,0.7861604997597309,0.10430920050145705,409.0,73
