dataset,delta,method,go_fdp,go_yield,unit_fdp,unit_yield,mean_calls,none_rate
DRIVE,0.1,Binary-incidence McDiarmid,0.8117312814972305,150.13,0.06821404408957972,67.49,801.94,0.0
DRIVE,0.5,Binary-incidence McDiarmid,0.8283594719474776,183.32,0.07816834051800338,78.39,1077.38,0.0
DRIVE,0.1,Janson dependency-graph,0.8017395589285922,135.34,0.06288393657948985,61.92,694.91,0.0
DRIVE,0.5,Janson dependency-graph,0.8213557306743822,175.65,0.0745723316811756,76.01,988.48,0.0
DRIVE,0.1,Network-HAC (b=1),0.8384831028707087,194.98,0.0830613270856499,81.64,1218.06,0.0
DRIVE,0.5,Network-HAC (b=1),0.8642362876211354,248.14,0.09454694333522323,96.12,1834.22,0.0
DRIVE,0.1,Platt calibration,0.857826280513115,233.55,0.09141772880059333,91.68,1662.86,0.0
DRIVE,0.5,Platt calibration,0.857826280513115,233.55,0.09141772880059333,91.68,1662.86,0.0
DRIVE,0.1,Isotonic calibration,0.858414806410417,235.26,0.09170837696572509,92.03,1681.28,0.0
DRIVE,0.5,Isotonic calibration,0.858414806410417,235.26,0.09170837696572509,92.03,1681.28,0.0
DRIVE,0.1,GoDag,0.8609040336239971,237.23,0.09290384266721155,92.91,1717.7,0.0
DRIVE,0.5,GoDag,0.8664922119841113,258.6,0.09647140532131215,98.68,1954.11,0.0
DRIVE,0.1,GoCo,0.8686477426589925,255.67,0.09408274213878794,98.0,1965.15,0.0
DRIVE,0.5,GoCo,0.8747447856144557,288.05,0.0984177513935205,105.55,2311.73,0.0
HAP1,0.1,Boger et al.,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Boger et al.,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,Hoeffding/LTT,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Hoeffding/LTT,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,Hoeffding-Bentkus,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Hoeffding-Bentkus,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,IID-normal,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,IID-normal,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,Empirical Bernstein,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Empirical Bernstein,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,Binary-incidence McDiarmid,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Binary-incidence McDiarmid,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,Janson dependency-graph,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Janson dependency-graph,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,Network-HAC (b=1),0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Network-HAC (b=1),0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,Platt calibration,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Platt calibration,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,Isotonic calibration,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,Isotonic calibration,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,GoDag,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.5,GoDag,0.847294040602194,129.45,0.07190802384926853,77.03,847.17,0.0
HAP1,0.1,GoCo,0.8883856213068132,134.35,0.08874036988469156,79.18,1203.87,0.0
HAP1,0.5,GoCo,0.8939511458588515,135.65,0.09580428914978428,79.85,1281.82,0.0
