dataset,block,affected_genes,affected_ranking_genes_mean,mean_delta,sd_delta,frac_affected_full_source_mass,frac_affected_zero_source_mass,spearman_u_delta,spearman_negscore_delta,frac_splits_u_positive
Wainberg,800->775,1267,126.91,0.5910380864376239,0.48358184714804325,1.0,0.0,0.7251567266772464,-0.07747805845405652,1.0
Sanger,450->425,454,45.49,0.20316869706440602,0.4082152454525688,1.0,0.0,0.55974994654021,0.04082072217686796,1.0
Sanger,425->400,211,21.14,0.09681105225289602,0.3161169855549147,1.0,0.0,0.3252241306437867,0.14551226779520385,1.0
Sanger,400->375,1164,116.78,0.1626902829433225,0.3634971299540009,1.0,0.0,0.49645427431018113,0.020286947317450066,1.0
DRIVE,275->250,419,40.74,0.06574777401717011,0.23714822912654837,1.0,0.0,0.22169510503767342,0.12002503254525275,1.0
DRIVE,250->225,503,50.5,0.10271384838087184,0.30529318647627407,1.0,0.0,0.3175257242549183,0.04778465434284317,1.0
HAP1,475->450,1021,102.17,0.7615194905195367,0.4207781570557385,1.0,0.0,0.7026196087352328,0.4326504355375137,1.0
