dataset,alpha,delta,group,unit_fdp,exceed,genes,terms,calls,term_fdp,genes_with_calls
Wainberg,0.1,0.5,GoDag-cert60,0.0923,0.01,185.71,339.61,1614.12,0.7897,561.06
Wainberg,0.1,0.5,GoDag-dense,0.0924,0.01,185.71,339.61,1614.77,0.7898,561.41
Wainberg,0.2,0.1,Boger,0.1699,0.0,265.42,518.94,3946.65,0.8685,945.08
Wainberg,0.2,0.1,GoCo-dense-random1,0.1926,0.09,268.62,527.65,4291.76,0.877,1050.25
Wainberg,0.2,0.1,GoCo-dense-source,0.1866,0.01,269.69,531.3,4438.68,0.8803,1021.5
Wainberg,0.2,0.1,GoCo-exp0,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.1,GoCo-exp1,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.1,GoCo-oracle,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.1,GoCo-random,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.1,GoCo-score,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.1,GoCo-source,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.1,GoDag,0.1699,0.0,265.42,518.94,3946.65,0.8685,945.08
Wainberg,0.2,0.1,GoDag-cert60,0.1699,0.0,265.42,518.94,3946.65,0.8685,945.08
Wainberg,0.2,0.1,GoDag-dense,0.171,0.0,266.06,521.87,3981.98,0.869,949.96
Wainberg,0.2,0.5,Boger,0.1699,0.0,265.42,518.94,3946.65,0.8685,945.08
Wainberg,0.2,0.5,GoCo-dense-random1,0.1968,0.3,269.31,528.91,4357.67,0.8786,1070.2
Wainberg,0.2,0.5,GoCo-dense-source,0.1932,0.29,270.37,533.39,4531.1,0.8822,1052.03
Wainberg,0.2,0.5,GoCo-exp0,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.5,GoCo-exp1,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.5,GoCo-oracle,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.5,GoCo-random,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.5,GoCo-score,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.5,GoCo-source,0.1394,0.0,208.19,381.87,2355.11,0.8379,785.51
Wainberg,0.2,0.5,GoDag,0.1699,0.0,265.42,518.94,3946.65,0.8685,945.08
Wainberg,0.2,0.5,GoDag-cert60,0.1699,0.0,265.42,518.94,3946.65,0.8685,945.08
Wainberg,0.2,0.5,GoDag-dense,0.171,0.0,266.06,521.87,3981.98,0.869,949.96
