dataset,alpha,delta,group,unit_fdp,exceed,genes,terms,calls,term_fdp,genes_with_calls
DRIVE,0.2,0.5,Boger,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoCo-dense-random1,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoCo-dense-source,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoCo-exp0,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoCo-exp1,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoCo-oracle,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoCo-random,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoCo-score,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoCo-source,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoDag,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoDag-cert60,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
DRIVE,0.2,0.5,GoDag-dense,0.1844,0.01,172.78,702.43,8371.71,0.9161,377.87
HAP1,0.05,0.1,Boger,0.0436,0.0,61.75,96.01,468.57,0.7953,242.59
HAP1,0.05,0.1,GoCo-dense-random1,0.0469,0.2,62.5,100.24,511.43,0.8039,257.37
HAP1,0.05,0.1,GoCo-dense-source,0.0457,0.09,62.67,100.82,562.63,0.8205,251.82
HAP1,0.05,0.1,GoCo-exp0,0.0441,0.0,62.83,98.35,506.03,0.8058,245.06
HAP1,0.05,0.1,GoCo-exp1,0.0461,0.11,61.81,96.66,556.95,0.826,253.32
HAP1,0.05,0.1,GoCo-oracle,0.0457,0.1,65.46,104.96,593.78,0.823,252.7
HAP1,0.05,0.1,GoCo-random,0.0469,0.1733,62.02,96.7933,507.43,0.8091,256.9567
HAP1,0.05,0.1,GoCo-score,0.0467,0.2,63.1,101.42,509.38,0.8008,257.03
HAP1,0.05,0.1,GoCo-source,0.0457,0.08,62.1,96.97,556.45,0.8254,251.84
HAP1,0.05,0.1,GoDag,0.0436,0.0,61.78,96.07,469.02,0.7954,242.79
HAP1,0.05,0.1,GoDag-cert60,0.0436,0.0,61.78,96.07,469.02,0.7954,242.79
HAP1,0.05,0.1,GoDag-dense,0.0436,0.0,62.37,99.95,475.06,0.7899,242.79
HAP1,0.05,0.5,Boger,0.0436,0.0,61.78,96.07,469.02,0.7954,242.79
HAP1,0.05,0.5,GoCo-dense-random1,0.0497,0.45,63.17,101.2,543.98,0.8139,270.18
HAP1,0.05,0.5,GoCo-dense-source,0.0479,0.33,62.89,101.14,591.93,0.8286,261.73
HAP1,0.05,0.5,GoCo-exp0,0.0441,0.0,62.84,98.44,506.46,0.8058,245.06
HAP1,0.05,0.5,GoCo-exp1,0.0489,0.4,61.98,96.85,594.09,0.8366,266.07
HAP1,0.05,0.5,GoCo-oracle,0.0483,0.33,65.46,104.97,622.21,0.8311,263.63
HAP1,0.05,0.5,GoCo-random,0.0496,0.46,62.5733,97.9933,540.0233,0.8185,269.2967
HAP1,0.05,0.5,GoCo-score,0.0491,0.42,63.21,101.71,537.35,0.8107,267.88
HAP1,0.05,0.5,GoCo-source,0.0482,0.37,62.34,97.56,590.28,0.8341,263.06
HAP1,0.05,0.5,GoDag,0.0436,0.0,61.78,96.07,469.02,0.7954,242.79
HAP1,0.05,0.5,GoDag-cert60,0.0436,0.0,61.78,96.07,469.02,0.7954,242.79
HAP1,0.05,0.5,GoDag-dense,0.0436,0.0,62.37,99.95,475.06,0.7899,242.79
HAP1,0.1,0.1,Boger,0.0719,0.0,77.03,129.45,847.17,0.8473,377.44
HAP1,0.1,0.1,GoCo-dense-random1,0.0932,0.09,79.75,135.83,1110.32,0.8775,472.32
HAP1,0.1,0.1,GoCo-dense-source,0.089,0.04,79.37,136.1,1211.06,0.8875,451.24
HAP1,0.1,0.1,GoCo-exp0,0.0743,0.02,79.49,133.41,926.8,0.8552,387.66
HAP1,0.1,0.1,GoCo-exp1,0.0912,0.09,78.85,133.98,1227.11,0.8908,461.62
HAP1,0.1,0.1,GoCo-oracle,0.0922,0.07,82.83,139.71,1286.12,0.8913,467.55
HAP1,0.1,0.1,GoCo-random,0.0933,0.1033,79.9133,134.3267,1107.1633,0.8786,473.3067
HAP1,0.1,0.1,GoCo-score,0.0925,0.11,81.24,137.78,1161.27,0.8813,469.68
HAP1,0.1,0.1,GoCo-source,0.0887,0.04,79.18,134.35,1203.86,0.8884,450.34
HAP1,0.1,0.1,GoDag,0.0719,0.0,77.03,129.45,847.17,0.8473,377.44
HAP1,0.1,0.1,GoDag-cert60,0.0719,0.0,77.03,129.45,847.17,0.8473,377.44
HAP1,0.1,0.1,GoDag-dense,0.072,0.0,77.24,132.11,855.25,0.8456,377.44
HAP1,0.1,0.5,Boger,0.0719,0.0,77.03,129.45,847.17,0.8473,377.44
