dataset,seed,alpha,method,selected_calls,supported_calls,pooled_fdr,genes_with_calls
Wainberg,76,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,77,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,78,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,79,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,80,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,81,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,82,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,83,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,84,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,85,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,86,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,87,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,88,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,89,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,90,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,91,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,92,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,93,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,94,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,95,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,96,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,97,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,98,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Wainberg,99,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,0,0.1,Conformal selection (BH over pairs),16,14,0.125,15
Sanger,1,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,2,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,3,0.1,Conformal selection (BH over pairs),5,5,0.0,5
Sanger,4,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,5,0.1,Conformal selection (BH over pairs),18,15,0.16666666666666666,17
Sanger,6,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,7,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,8,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,9,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,10,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,11,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,12,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,13,0.1,Conformal selection (BH over pairs),20,18,0.1,20
Sanger,14,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,15,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,16,0.1,Conformal selection (BH over pairs),17,13,0.23529411764705882,17
Sanger,17,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,18,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,19,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,20,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,21,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,22,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,23,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,24,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,25,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,26,0.1,Conformal selection (BH over pairs),6,6,0.0,6
Sanger,27,0.1,Conformal selection (BH over pairs),20,18,0.1,20
Sanger,28,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,29,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,30,0.1,Conformal selection (BH over pairs),19,17,0.10526315789473684,17
Sanger,31,0.1,Conformal selection (BH over pairs),6,6,0.0,6
Sanger,32,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,33,0.1,Conformal selection (BH over pairs),16,14,0.125,15
Sanger,34,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,35,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,36,0.1,Conformal selection (BH over pairs),15,12,0.2,15
Sanger,37,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,38,0.1,Conformal selection (BH over pairs),23,18,0.21739130434782608,21
Sanger,39,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,40,0.1,Conformal selection (BH over pairs),24,16,0.3333333333333333,22
Sanger,41,0.1,Conformal selection (BH over pairs),16,14,0.125,15
Sanger,42,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,43,0.1,Conformal selection (BH over pairs),14,12,0.14285714285714285,14
Sanger,44,0.1,Conformal selection (BH over pairs),18,16,0.1111111111111111,17
Sanger,45,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,46,0.1,Conformal selection (BH over pairs),5,5,0.0,5
Sanger,47,0.1,Conformal selection (BH over pairs),5,5,0.0,5
Sanger,48,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,49,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,50,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,51,0.1,Conformal selection (BH over pairs),5,5,0.0,5
Sanger,52,0.1,Conformal selection (BH over pairs),12,9,0.25,11
Sanger,53,0.1,Conformal selection (BH over pairs),7,7,0.0,7
Sanger,54,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,55,0.1,Conformal selection (BH over pairs),18,17,0.05555555555555555,18
Sanger,56,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,57,0.1,Conformal selection (BH over pairs),19,17,0.10526315789473684,19
Sanger,58,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,59,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,60,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,61,0.1,Conformal selection (BH over pairs),5,5,0.0,5
Sanger,62,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,63,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,64,0.1,Conformal selection (BH over pairs),15,13,0.13333333333333333,15
Sanger,65,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,66,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,67,0.1,Conformal selection (BH over pairs),16,14,0.125,15
Sanger,68,0.1,Conformal selection (BH over pairs),14,12,0.14285714285714285,14
Sanger,69,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,70,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,71,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,72,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,73,0.1,Conformal selection (BH over pairs),13,11,0.15384615384615385,12
Sanger,74,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,75,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,76,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,77,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,78,0.1,Conformal selection (BH over pairs),14,12,0.14285714285714285,14
Sanger,79,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,80,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,81,0.1,Conformal selection (BH over pairs),5,5,0.0,5
Sanger,82,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,83,0.1,Conformal selection (BH over pairs),5,5,0.0,5
Sanger,84,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,85,0.1,Conformal selection (BH over pairs),21,19,0.09523809523809523,21
Sanger,86,0.1,Conformal selection (BH over pairs),20,18,0.1,18
Sanger,87,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,88,0.1,Conformal selection (BH over pairs),12,9,0.25,12
Sanger,89,0.1,Conformal selection (BH over pairs),15,13,0.13333333333333333,15
Sanger,90,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,91,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,92,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,93,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,94,0.1,Conformal selection (BH over pairs),0,0,0.0,0
Sanger,95,0.1,Conformal selection (BH over pairs),19,16,0.15789473684210525,18
Sanger,96,0.1,Conformal selection (BH over pairs),20,15,0.25,19
Sanger,97,0.1,Conformal selection (BH over pairs),23,18,0.21739130434782608,22
Sanger,98,0.1,Conformal selection (BH over pairs),17,15,0.11764705882352941,16
Sanger,99,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,0,0.1,Conformal selection (BH over pairs),11,8,0.2727272727272727,7
DRIVE,1,0.1,Conformal selection (BH over pairs),5,5,0.0,5
DRIVE,2,0.1,Conformal selection (BH over pairs),7,3,0.5714285714285714,5
DRIVE,3,0.1,Conformal selection (BH over pairs),5,5,0.0,4
DRIVE,4,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,5,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,6,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,7,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,8,0.1,Conformal selection (BH over pairs),5,5,0.0,5
DRIVE,9,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,10,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,11,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,12,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,13,0.1,Conformal selection (BH over pairs),6,6,0.0,4
DRIVE,14,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,15,0.1,Conformal selection (BH over pairs),11,8,0.2727272727272727,5
DRIVE,16,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,17,0.1,Conformal selection (BH over pairs),10,9,0.1,6
DRIVE,18,0.1,Conformal selection (BH over pairs),5,4,0.2,4
DRIVE,19,0.1,Conformal selection (BH over pairs),5,4,0.2,5
DRIVE,20,0.1,Conformal selection (BH over pairs),5,5,0.0,4
DRIVE,21,0.1,Conformal selection (BH over pairs),5,5,0.0,4
DRIVE,22,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,23,0.1,Conformal selection (BH over pairs),5,5,0.0,4
DRIVE,24,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,25,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,26,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,27,0.1,Conformal selection (BH over pairs),9,9,0.0,6
DRIVE,28,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,29,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,30,0.1,Conformal selection (BH over pairs),8,8,0.0,6
DRIVE,31,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,32,0.1,Conformal selection (BH over pairs),11,5,0.5454545454545454,8
DRIVE,33,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,34,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,35,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,36,0.1,Conformal selection (BH over pairs),11,10,0.09090909090909091,7
DRIVE,37,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,38,0.1,Conformal selection (BH over pairs),5,4,0.2,4
DRIVE,39,0.1,Conformal selection (BH over pairs),5,1,0.8,3
DRIVE,40,0.1,Conformal selection (BH over pairs),6,5,0.16666666666666666,6
DRIVE,41,0.1,Conformal selection (BH over pairs),5,4,0.2,4
DRIVE,42,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,43,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,44,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,45,0.1,Conformal selection (BH over pairs),8,8,0.0,6
DRIVE,46,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,47,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,48,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,49,0.1,Conformal selection (BH over pairs),15,12,0.2,7
DRIVE,50,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,51,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,52,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,53,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,54,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,55,0.1,Conformal selection (BH over pairs),5,5,0.0,5
DRIVE,56,0.1,Conformal selection (BH over pairs),10,9,0.1,6
DRIVE,57,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,58,0.1,Conformal selection (BH over pairs),5,5,0.0,3
DRIVE,59,0.1,Conformal selection (BH over pairs),6,6,0.0,4
DRIVE,60,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,61,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,62,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,63,0.1,Conformal selection (BH over pairs),24,15,0.375,17
DRIVE,64,0.1,Conformal selection (BH over pairs),5,4,0.2,4
DRIVE,65,0.1,Conformal selection (BH over pairs),22,14,0.36363636363636365,15
DRIVE,66,0.1,Conformal selection (BH over pairs),9,5,0.4444444444444444,5
DRIVE,67,0.1,Conformal selection (BH over pairs),6,6,0.0,5
DRIVE,68,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,69,0.1,Conformal selection (BH over pairs),8,4,0.5,6
DRIVE,70,0.1,Conformal selection (BH over pairs),9,6,0.3333333333333333,5
DRIVE,71,0.1,Conformal selection (BH over pairs),9,5,0.4444444444444444,5
DRIVE,72,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,73,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,74,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,75,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,76,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,77,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,78,0.1,Conformal selection (BH over pairs),19,10,0.47368421052631576,15
DRIVE,79,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,80,0.1,Conformal selection (BH over pairs),8,8,0.0,6
DRIVE,81,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,82,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,83,0.1,Conformal selection (BH over pairs),6,6,0.0,3
DRIVE,84,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,85,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,86,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,87,0.1,Conformal selection (BH over pairs),6,6,0.0,4
DRIVE,88,0.1,Conformal selection (BH over pairs),5,4,0.2,4
DRIVE,89,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,90,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,91,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,92,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,93,0.1,Conformal selection (BH over pairs),9,8,0.1111111111111111,7
DRIVE,94,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,95,0.1,Conformal selection (BH over pairs),6,5,0.16666666666666666,5
DRIVE,96,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,97,0.1,Conformal selection (BH over pairs),0,0,0.0,0
DRIVE,98,0.1,Conformal selection (BH over pairs),17,12,0.29411764705882354,11
DRIVE,99,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,0,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,1,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,2,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,3,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,4,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,5,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,6,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,7,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,8,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,9,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,10,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,11,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,12,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,13,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,14,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,15,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,16,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,17,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,18,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,19,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,20,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,21,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,22,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,23,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,24,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,25,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,26,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,27,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,28,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,29,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,30,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,31,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,32,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,33,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,34,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,35,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,36,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,37,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,38,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,39,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,40,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,41,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,42,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,43,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,44,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,45,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,46,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,47,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,48,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,49,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,50,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,51,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,52,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,53,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,54,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,55,0.1,Conformal selection (BH over pairs),5,4,0.2,5
HAP1,56,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,57,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,58,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,59,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,60,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,61,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,62,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,63,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,64,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,65,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,66,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,67,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,68,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,69,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,70,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,71,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,72,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,73,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,74,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,75,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,76,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,77,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,78,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,79,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,80,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,81,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,82,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,83,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,84,0.1,Conformal selection (BH over pairs),0,0,0.0,0
HAP1,85,0.1,Conformal selection (BH over pairs),15,9,0.4,9
HAP1,86,0.1,Conformal selection (BH over pairs),0,0,0.0,0
