dataset,delta,method,unit_fdp,heldout_exceed,pool_exceed,genes_with_calls,supported_genes,calls,supported_terms,supported_fraction,dterms_vs_godag,ci95,p_gt
Wainberg,0.5,Boger,0.09232070943077259,0.01,0.0,561.06,185.71,1614.12,339.61,0.2103075207054419,0.0,0.0,0.0
Wainberg,0.5,GoDag,0.09232070943077259,0.01,0.0,561.06,185.71,1614.12,339.61,0.2103075207054419,0.0,0.0,0.0
Wainberg,0.5,GoCo,0.09643724079667233,0.2,0.08,575.04,197.06,1955.11,369.06,0.18890778372814476,29.45,1.0983262748658098,1.0
Sanger,0.5,Boger,0.09532114990427669,0.2,0.13,515.86,155.41,1918.55,332.99,0.17402632681882702,-20.8,2.7391876993965294,0.0
Sanger,0.5,GoDag,0.09799481876436428,0.36,0.0,530.48,160.9,2040.05,353.79,0.17353237418701223,0.0,0.0,0.0
Sanger,0.5,GoCo,0.09800060843657135,0.42,0.2,529.04,166.94,2380.25,380.67,0.161439301118925,26.88,4.418079413802639,0.81
DRIVE,0.5,Boger,0.09454694333522323,0.13,0.06,211.27,96.12,1834.22,248.14,0.13576371237886467,-10.46,3.7233664107480564,0.0
DRIVE,0.5,GoDag,0.09647140532131215,0.28,0.28,214.63,98.68,1954.11,258.6,0.13350778801588872,0.0,0.0,0.0
DRIVE,0.5,GoCo,0.09706128873116769,0.33,0.26,215.11,105.69,2295.83,291.69,0.1278405364850525,33.09,4.3118285640851495,0.89
HAP1,0.5,Boger,0.07190802384926853,0.0,0.0,377.44,77.03,847.17,129.45,0.1527059593978059,0.0,0.0,0.0
HAP1,0.5,GoDag,0.07190802384926853,0.0,0.0,377.44,77.03,847.17,129.45,0.1527059593978059,0.0,0.0,0.0
HAP1,0.5,GoCo,0.09434881564340508,0.19,0.05,475.26,80.79,1285.23,137.66,0.10740400630044311,8.21,0.553878021797492,1.0
