dataset,repeat,rule,label,fdp,correct,total,units,supp_units,fmax,prec,rec
Wainberg,18,Top-1,top1,0.2228788518362178,184.0,1240.0,1240,184,,,
Wainberg,18,Top-3,top3,0.228682988602786,385.0,2766.0,1240,243,,,
Wainberg,19,Fmax,score>=911.135,0.07614262402057648,267.0,1096.0,475,152,0.3310423428377199,0.2652652107708827,0.44019681485434914
Wainberg,19,Fmax-full,score>=601.638,0.22961334884166718,536.0,5035.0,1222,274,0.00203341379117594,0.1128214715139453,0.0010259524131208282
Wainberg,19,Floor,score>=600.821,0.22961334884166718,536.0,5036.0,1222,274,,,
Wainberg,19,Top-1,top1,0.22055719712959054,177.0,1222.0,1222,177,,,
Wainberg,19,Top-3,top3,0.22604474461798227,352.0,2723.0,1222,239,,,
Wainberg,20,Fmax,score>=911.135,0.07139521092176437,227.0,969.0,439,137,0.33928331909366155,0.26889236687958296,0.4595972017004953
Wainberg,20,Fmax-full,score>=601.638,0.2299194633960724,515.0,4829.0,1220,263,0.0021011607109644812,0.11393536977817358,0.0010603577496641297
Wainberg,20,Floor,score>=600.821,0.2299194633960724,515.0,4830.0,1220,263,,,
Wainberg,20,Top-1,top1,0.22330097087378642,162.0,1220.0,1220,162,,,
Wainberg,20,Top-3,top3,0.22713521879836782,348.0,2693.0,1220,227,,,
Wainberg,21,Fmax,score>=911.135,0.07255920767784119,279.0,1034.0,460,155,0.3255566205146368,0.25969774477949764,0.43616804288276223
Wainberg,21,Fmax-full,score>=601.638,0.2313530296087265,551.0,4878.0,1231,272,0.002033456536514886,0.11291092278722586,0.001025966784839271
Wainberg,21,Floor,score>=600.821,0.2313530296087265,551.0,4881.0,1231,272,,,
Wainberg,21,Top-1,top1,0.2235120303925707,172.0,1231.0,1231,172,,,
Wainberg,21,Top-3,top3,0.22766286759532856,362.0,2753.0,1231,236,,,
Wainberg,22,Fmax,score>=911.135,0.0747596025466919,265.0,1034.0,473,164,0.3261290187683267,0.26045600941639074,0.43608663361368133
Wainberg,22,Fmax-full,score>=601.638,0.23640936613082886,547.0,4956.0,1256,284,0.002036771178752169,0.11353335358872202,0.0010276031115163823
Wainberg,22,Floor,score>=600.821,0.23640936613082886,547.0,4958.0,1256,284,,,
Wainberg,22,Top-1,top1,0.22773322076825664,177.0,1256.0,1256,177,,,
Wainberg,22,Top-3,top3,0.23269311945968763,369.0,2792.0,1256,247,,,
Wainberg,23,Fmax,score>=913.645,0.07368050515651703,271.0,1056.0,464,153,0.32782024298734364,0.26290500612187206,0.4353032144698811
Wainberg,23,Fmax-full,score>=601.638,0.22941608726978302,545.0,5013.0,1221,265,0.002036213603093924,0.11280508509321549,0.001027379272054678
Wainberg,23,Floor,score>=600.821,0.22941608726978302,545.0,5015.0,1221,265,,,
Wainberg,23,Top-1,top1,0.22266779231743353,166.0,1221.0,1221,166,,,
Wainberg,23,Top-3,top3,0.22625580413676658,354.0,2751.0,1221,232,,,
Wainberg,24,Fmax,score>=911.135,0.07031096518039703,259.0,967.0,453,157,0.32386643312818275,0.2546187801945508,0.44485070230483087
Wainberg,24,Fmax-full,score>=601.638,0.2283022403717041,548.0,4714.0,1222,277,0.0020597598416247135,0.11067418593912029,0.0010395534979438072
Wainberg,24,Floor,score>=600.821,0.2283022403717041,548.0,4715.0,1222,277,,,
Wainberg,24,Top-1,top1,0.22161249472351202,172.0,1222.0,1222,172,,,
Wainberg,24,Top-3,top3,0.22425073870831574,377.0,2725.0,1222,251,,,
Wainberg,25,Fmax,score>=911.135,0.06937375664710999,250.0,961.0,437,141,0.3333456379007154,0.26146746161653706,0.4597255463569662
Wainberg,25,Fmax-full,score>=601.638,0.2289768010377884,545.0,4761.0,1221,269,0.00205970368328209,0.11208598170514426,0.001039401920659961
Wainberg,25,Floor,score>=600.821,0.2289768010377884,545.0,4762.0,1221,269,,,
Wainberg,25,Top-1,top1,0.2222456732798649,168.0,1221.0,1221,168,,,
Wainberg,25,Top-3,top3,0.22646686365555085,357.0,2724.0,1221,230,,,
Wainberg,26,Fmax,score>=929,0.07226600497961044,295.0,1064.0,461,161,0.3197213720155067,0.2582431560390992,0.41961670679811613
Wainberg,26,Fmax-full,score>=601.638,0.23491887748241425,551.0,4984.0,1243,264,0.001969927588371844,0.11508716381359897,0.000993466291733665
Wainberg,26,Floor,score>=600.821,0.23491887748241425,551.0,4984.0,1243,264,,,
Wainberg,26,Top-1,top1,0.22583368509919796,173.0,1243.0,1243,173,,,
Wainberg,26,Top-3,top3,0.23065287744477278,372.0,2796.0,1243,232,,,
Wainberg,27,Fmax,score>=929,0.06876541674137115,239.0,948.0,444,154,0.3267546345159263,0.2545686111873267,0.45608231840735747
Wainberg,27,Fmax-full,score>=601.638,0.22430483996868134,553.0,4914.0,1204,288,0.00203140493525271,0.10966702942502576,0.001025197533463395
Wainberg,27,Floor,score>=600.821,0.22430483996868134,553.0,4916.0,1204,288,,,
Wainberg,27,Top-1,top1,0.21422541156606162,189.0,1204.0,1204,189,,,
Wainberg,27,Top-3,top3,0.22126072885887157,363.0,2735.0,1204,249,,,
Wainberg,28,Fmax,score>=913.645,0.07730323076248169,286.0,1114.0,488,161,0.3300564897814143,0.2623994387113131,0.44472412354947133
Wainberg,28,Fmax-full,score>=601.638,0.2342991977930069,587.0,5006.0,1253,284,0.0019304268661576656,0.11096928221291383,0.0009736825468282562
Wainberg,28,Floor,score>=600.821,0.2342991977930069,587.0,5006.0,1253,284,,,
Wainberg,28,Top-1,top1,0.22667792317433516,179.0,1253.0,1253,179,,,
Wainberg,28,Top-3,top3,0.2308991135500211,381.0,2775.0,1253,245,,,
Wainberg,29,Fmax,score>=911.135,0.07343849539756775,272.0,993.0,462,157,0.32999433460929334,0.2622121460875322,0.44503698791046364
Wainberg,29,Fmax-full,score>=601.638,0.23387347161769867,561.0,4870.0,1246,275,0.0020307739256973972,0.11243532060454971,0.0010246403401450682
Wainberg,29,Floor,score>=600.821,0.23387347161769867,561.0,4871.0,1246,275,,,
Wainberg,29,Top-1,top1,0.22604474461798227,175.0,1246.0,1246,175,,,
Wainberg,29,Top-3,top3,0.23037146475306036,367.0,2755.0,1246,241,,,
Wainberg,30,Fmax,score>=929,0.07132887095212936,244.0,987.0,439,130,0.3363364328761541,0.2691710471229588,0.44816580490365465
