dataset,repeat,alpha,K,yield_M_T,yield_N_T,choose_N
DRIVE,36,0.05,10,54,56,1
DRIVE,36,0.1,10,128,79,0
DRIVE,36,0.2,10,237,237,0
DRIVE,37,0.05,10,66,85,1
DRIVE,37,0.1,10,165,136,0
DRIVE,37,0.2,10,309,309,0
DRIVE,38,0.05,10,29,22,0
DRIVE,38,0.1,10,65,66,1
DRIVE,38,0.2,10,245,206,0
DRIVE,39,0.05,10,50,36,0
DRIVE,39,0.1,10,115,50,0
DRIVE,39,0.2,10,243,243,0
DRIVE,40,0.05,10,30,28,0
DRIVE,40,0.1,10,66,41,0
DRIVE,40,0.2,10,201,201,0
DRIVE,41,0.05,10,19,18,0
DRIVE,41,0.1,10,65,27,0
DRIVE,41,0.2,10,173,173,0
DRIVE,42,0.05,10,23,27,1
DRIVE,42,0.1,10,72,49,0
DRIVE,42,0.2,10,232,232,0
DRIVE,43,0.05,10,20,9,0
DRIVE,43,0.1,10,68,39,0
DRIVE,43,0.2,10,204,204,0
DRIVE,44,0.05,10,57,69,1
DRIVE,44,0.1,10,139,120,0
DRIVE,44,0.2,10,228,228,0
DRIVE,45,0.05,10,57,57,0
DRIVE,45,0.1,10,131,100,0
DRIVE,45,0.2,10,234,234,0
DRIVE,46,0.05,10,50,11,0
DRIVE,46,0.1,10,108,39,0
DRIVE,46,0.2,10,229,229,0
DRIVE,47,0.05,10,40,20,0
DRIVE,47,0.1,10,80,48,0
DRIVE,47,0.2,10,178,178,0
DRIVE,48,0.05,10,22,41,1
DRIVE,48,0.1,10,69,88,1
DRIVE,48,0.2,10,187,187,0
DRIVE,49,0.05,10,19,32,1
DRIVE,49,0.1,10,66,49,0
DRIVE,49,0.2,10,225,182,0
DRIVE,50,0.05,10,53,99,1
DRIVE,50,0.1,10,123,119,0
DRIVE,50,0.2,10,285,285,0
DRIVE,51,0.05,10,23,39,1
DRIVE,51,0.1,10,73,59,0
DRIVE,51,0.2,10,220,186,0
DRIVE,52,0.05,10,16,19,1
DRIVE,52,0.1,10,61,28,0
DRIVE,52,0.2,10,159,129,0
DRIVE,53,0.05,10,30,42,1
DRIVE,53,0.1,10,96,81,0
DRIVE,53,0.2,10,201,201,0
DRIVE,54,0.05,10,38,36,0
DRIVE,54,0.1,10,93,67,0
DRIVE,54,0.2,10,248,248,0
DRIVE,55,0.05,10,40,35,0
DRIVE,55,0.1,10,95,72,0
DRIVE,55,0.2,10,259,259,0
DRIVE,56,0.05,10,42,20,0
DRIVE,56,0.1,10,94,31,0
DRIVE,56,0.2,10,284,284,0
DRIVE,57,0.05,10,27,18,0
DRIVE,57,0.1,10,86,55,0
DRIVE,57,0.2,10,217,217,0
DRIVE,58,0.05,10,50,60,1
DRIVE,58,0.1,10,113,122,1
DRIVE,58,0.2,10,227,227,0
DRIVE,59,0.05,10,30,29,0
DRIVE,59,0.1,10,112,51,0
DRIVE,59,0.2,10,190,190,0
DRIVE,60,0.05,10,34,44,1
DRIVE,60,0.1,10,81,102,1
DRIVE,60,0.2,10,256,256,0
DRIVE,61,0.05,10,58,55,0
DRIVE,61,0.1,10,100,109,1
DRIVE,61,0.2,10,261,222,0
DRIVE,62,0.05,10,26,39,1
DRIVE,62,0.1,10,82,66,0
DRIVE,62,0.2,10,278,278,0
DRIVE,63,0.05,10,37,38,1
DRIVE,63,0.1,10,109,85,0
DRIVE,63,0.2,10,197,197,0
DRIVE,64,0.05,10,35,44,1
DRIVE,64,0.1,10,94,95,1
DRIVE,64,0.2,10,198,198,0
DRIVE,65,0.05,10,39,60,1
DRIVE,65,0.1,10,108,123,1
DRIVE,65,0.2,10,266,266,0
DRIVE,66,0.05,10,38,23,0
DRIVE,66,0.1,10,93,52,0
DRIVE,66,0.2,10,230,230,0
DRIVE,67,0.05,10,47,20,0
DRIVE,67,0.1,10,91,41,0
DRIVE,67,0.2,10,191,191,0
DRIVE,68,0.05,10,43,63,1
DRIVE,68,0.1,10,106,98,0
DRIVE,68,0.2,10,244,244,0
DRIVE,69,0.05,10,37,58,1
DRIVE,69,0.1,10,96,78,0
DRIVE,69,0.2,10,281,281,0
DRIVE,70,0.05,10,58,35,0
DRIVE,70,0.1,10,124,75,0
DRIVE,70,0.2,10,264,264,0
DRIVE,71,0.05,10,44,33,0
DRIVE,71,0.1,10,112,69,0
DRIVE,71,0.2,10,239,239,0
DRIVE,72,0.05,10,27,29,1
DRIVE,72,0.1,10,69,35,0
DRIVE,72,0.2,10,220,220,0
DRIVE,73,0.05,10,47,26,0
DRIVE,73,0.1,10,119,62,0
DRIVE,73,0.2,10,191,191,0
DRIVE,74,0.05,10,40,35,0
DRIVE,74,0.1,10,100,92,0
DRIVE,74,0.2,10,217,217,0
DRIVE,75,0.05,10,37,51,1
DRIVE,75,0.1,10,69,86,1
DRIVE,75,0.2,10,240,240,0
DRIVE,76,0.05,10,62,36,0
DRIVE,76,0.1,10,109,101,0
DRIVE,76,0.2,10,260,260,0
DRIVE,77,0.05,10,43,94,1
DRIVE,77,0.1,10,106,159,1
DRIVE,77,0.2,10,299,279,0
DRIVE,78,0.05,10,39,29,0
DRIVE,78,0.1,10,87,54,0
DRIVE,78,0.2,10,209,209,0
DRIVE,79,0.05,10,26,33,1
DRIVE,79,0.1,10,59,43,0
DRIVE,79,0.2,10,265,265,0
DRIVE,80,0.05,10,41,51,1
DRIVE,80,0.1,10,97,93,0
DRIVE,80,0.2,10,205,205,0
DRIVE,81,0.05,10,40,55,1
DRIVE,81,0.1,10,127,80,0
DRIVE,81,0.2,10,224,224,0
DRIVE,82,0.05,10,55,43,0
DRIVE,82,0.1,10,100,67,0
DRIVE,82,0.2,10,226,226,0
DRIVE,83,0.05,10,50,26,0
DRIVE,83,0.1,10,115,58,0
DRIVE,83,0.2,10,231,231,0
DRIVE,84,0.05,10,36,21,0
DRIVE,84,0.1,10,125,40,0
DRIVE,84,0.2,10,259,259,0
DRIVE,85,0.05,10,28,16,0
DRIVE,85,0.1,10,75,50,0
DRIVE,85,0.2,10,184,184,0
DRIVE,86,0.05,10,23,32,1
DRIVE,86,0.1,10,94,67,0
DRIVE,86,0.2,10,201,201,0
DRIVE,87,0.05,10,23,45,1
DRIVE,87,0.1,10,61,71,1
DRIVE,87,0.2,10,209,172,0
DRIVE,88,0.05,10,44,51,1
DRIVE,88,0.1,10,115,96,0
DRIVE,88,0.2,10,276,276,0
DRIVE,89,0.05,10,41,39,0
DRIVE,89,0.1,10,146,83,0
DRIVE,89,0.2,10,253,253,0
DRIVE,90,0.05,10,59,53,0
DRIVE,90,0.1,10,131,81,0
DRIVE,90,0.2,10,233,233,0
DRIVE,91,0.05,10,68,56,0
DRIVE,91,0.1,10,157,82,0
DRIVE,91,0.2,10,226,226,0
DRIVE,92,0.05,10,15,33,1
DRIVE,92,0.1,10,93,66,0
DRIVE,92,0.2,10,194,194,0
DRIVE,93,0.05,10,33,4,0
DRIVE,93,0.1,10,92,48,0
DRIVE,93,0.2,10,229,229,0
DRIVE,94,0.05,10,21,11,0
DRIVE,94,0.1,10,52,33,0
DRIVE,94,0.2,10,220,100,0
DRIVE,95,0.05,10,33,36,1
DRIVE,95,0.1,10,128,85,0
DRIVE,95,0.2,10,234,234,0
DRIVE,96,0.05,10,24,53,1
DRIVE,96,0.1,10,81,75,0
DRIVE,96,0.2,10,229,194,0
DRIVE,97,0.05,10,51,39,0
DRIVE,97,0.1,10,98,64,0
DRIVE,97,0.2,10,193,193,0
DRIVE,98,0.05,10,34,41,1
DRIVE,98,0.1,10,108,69,0
DRIVE,98,0.2,10,228,228,0
DRIVE,99,0.05,10,42,25,0
DRIVE,99,0.1,10,148,59,0
DRIVE,99,0.2,10,265,265,0
HAP1,0,0.05,10,32,33,1
HAP1,0,0.1,10,42,44,1
HAP1,0,0.2,10,51,70,1
HAP1,1,0.05,10,19,48,1
HAP1,1,0.1,10,28,66,1
HAP1,1,0.2,10,40,79,1
HAP1,2,0.05,10,45,100,1
HAP1,2,0.1,10,60,118,1
HAP1,2,0.2,10,84,162,1
HAP1,3,0.05,10,25,54,1
HAP1,3,0.1,10,33,71,1
HAP1,3,0.2,10,42,98,1
HAP1,4,0.05,10,36,50,1
HAP1,4,0.1,10,49,76,1
HAP1,4,0.2,10,66,100,1
HAP1,5,0.05,10,49,102,1
HAP1,5,0.1,10,60,110,1
HAP1,5,0.2,10,75,136,1
HAP1,6,0.05,10,17,61,1
HAP1,6,0.1,10,25,76,1
HAP1,6,0.2,10,45,97,1
HAP1,7,0.05,10,47,52,1
HAP1,7,0.1,10,57,67,1
HAP1,7,0.2,10,64,92,1
HAP1,8,0.05,10,44,69,1
HAP1,8,0.1,10,61,101,1
HAP1,8,0.2,10,83,125,1
HAP1,9,0.05,10,17,34,1
HAP1,9,0.1,10,32,52,1
HAP1,9,0.2,10,57,77,1
HAP1,10,0.05,10,43,47,1
HAP1,10,0.1,10,57,57,0
HAP1,10,0.2,10,76,86,1
HAP1,11,0.05,10,34,75,1
HAP1,11,0.1,10,43,88,1
HAP1,11,0.2,10,56,104,1
HAP1,12,0.05,10,27,43,1
HAP1,12,0.1,10,40,66,1
HAP1,12,0.2,10,51,78,1
HAP1,13,0.05,10,50,77,1
HAP1,13,0.1,10,60,96,1
HAP1,13,0.2,10,75,136,1
HAP1,14,0.05,10,33,40,1
HAP1,14,0.1,10,39,75,1
HAP1,14,0.2,10,52,100,1
HAP1,15,0.05,10,34,32,0
HAP1,15,0.1,10,40,46,1
HAP1,15,0.2,10,56,59,1
HAP1,16,0.05,10,29,61,1
HAP1,16,0.1,10,39,81,1
HAP1,16,0.2,10,47,111,1
HAP1,17,0.05,10,35,42,1
HAP1,17,0.1,10,53,71,1
HAP1,17,0.2,10,75,109,1
HAP1,18,0.05,10,35,40,1
HAP1,18,0.1,10,42,44,1
HAP1,18,0.2,10,53,57,1
HAP1,19,0.05,10,42,21,0
HAP1,19,0.1,10,53,39,0
HAP1,19,0.2,10,63,62,0
HAP1,20,0.05,10,35,60,1
HAP1,20,0.1,10,52,72,1
HAP1,20,0.2,10,70,95,1
HAP1,21,0.05,10,42,44,1
HAP1,21,0.1,10,44,64,1
HAP1,21,0.2,10,65,89,1
HAP1,22,0.05,10,20,24,1
HAP1,22,0.1,10,28,35,1
HAP1,22,0.2,10,42,54,1
HAP1,23,0.05,10,29,60,1
HAP1,23,0.1,10,39,78,1
HAP1,23,0.2,10,54,89,1
HAP1,24,0.05,10,26,32,1
HAP1,24,0.1,10,42,56,1
HAP1,24,0.2,10,56,79,1
HAP1,25,0.05,10,34,35,1
HAP1,25,0.1,10,47,43,0
HAP1,25,0.2,10,58,58,0
HAP1,26,0.05,10,19,8,0
HAP1,26,0.1,10,32,31,0
HAP1,26,0.2,10,51,43,0
HAP1,27,0.05,10,36,61,1
HAP1,27,0.1,10,48,78,1
HAP1,27,0.2,10,64,96,1
HAP1,28,0.05,10,39,108,1
HAP1,28,0.1,10,59,123,1
HAP1,28,0.2,10,73,141,1
HAP1,29,0.05,10,33,38,1
HAP1,29,0.1,10,40,58,1
HAP1,29,0.2,10,55,79,1
HAP1,30,0.05,10,38,47,1
HAP1,30,0.1,10,43,67,1
HAP1,30,0.2,10,60,81,1
HAP1,31,0.05,10,31,27,0
HAP1,31,0.1,10,45,52,1
HAP1,31,0.2,10,70,89,1
HAP1,32,0.05,10,26,75,1
HAP1,32,0.1,10,30,82,1
HAP1,32,0.2,10,41,100,1
HAP1,33,0.05,10,27,64,1
HAP1,33,0.1,10,35,85,1
HAP1,33,0.2,10,47,108,1
HAP1,34,0.05,10,28,59,1
HAP1,34,0.1,10,38,78,1
HAP1,34,0.2,10,55,99,1
HAP1,35,0.05,10,22,37,1
HAP1,35,0.1,10,32,44,1
HAP1,35,0.2,10,52,74,1
HAP1,36,0.05,10,35,77,1
HAP1,36,0.1,10,43,101,1
HAP1,36,0.2,10,58,125,1
HAP1,37,0.05,10,28,43,1
HAP1,37,0.1,10,43,73,1
HAP1,37,0.2,10,63,105,1
HAP1,38,0.05,10,42,62,1
HAP1,38,0.1,10,52,91,1
HAP1,38,0.2,10,74,122,1
HAP1,39,0.05,10,37,59,1
HAP1,39,0.1,10,49,78,1
HAP1,39,0.2,10,69,102,1
HAP1,40,0.05,10,40,57,1
HAP1,40,0.1,10,50,83,1
HAP1,40,0.2,10,81,111,1
HAP1,41,0.05,10,32,16,0
HAP1,41,0.1,10,44,27,0
HAP1,41,0.2,10,71,45,0
HAP1,42,0.05,10,41,45,1
HAP1,42,0.1,10,54,67,1
HAP1,42,0.2,10,72,95,1
HAP1,43,0.05,10,30,43,1
HAP1,43,0.1,10,49,54,1
HAP1,43,0.2,10,69,87,1
HAP1,44,0.05,10,28,36,1
HAP1,44,0.1,10,35,52,1
HAP1,44,0.2,10,51,83,1
HAP1,45,0.05,10,34,31,0
HAP1,45,0.1,10,48,49,1
HAP1,45,0.2,10,68,65,0
HAP1,46,0.05,10,18,36,1
HAP1,46,0.1,10,30,65,1
HAP1,46,0.2,10,50,85,1
HAP1,47,0.05,10,38,64,1
HAP1,47,0.1,10,52,87,1
HAP1,47,0.2,10,63,106,1
HAP1,48,0.05,10,45,68,1
HAP1,48,0.1,10,57,87,1
HAP1,48,0.2,10,71,106,1
HAP1,49,0.05,10,37,20,0
HAP1,49,0.1,10,52,30,0
HAP1,49,0.2,10,77,62,0
HAP1,50,0.05,10,39,40,1
HAP1,50,0.1,10,48,58,1
HAP1,50,0.2,10,65,79,1
HAP1,51,0.05,10,43,58,1
HAP1,51,0.1,10,50,85,1
HAP1,51,0.2,10,72,116,1
HAP1,52,0.05,10,30,39,1
HAP1,52,0.1,10,41,54,1
HAP1,52,0.2,10,65,72,1
HAP1,53,0.05,10,32,34,1
HAP1,53,0.1,10,51,47,0
HAP1,53,0.2,10,69,61,0
HAP1,54,0.05,10,29,53,1
HAP1,54,0.1,10,43,71,1
HAP1,54,0.2,10,68,105,1
HAP1,55,0.05,10,35,34,0
HAP1,55,0.1,10,50,65,1
HAP1,55,0.2,10,66,103,1
HAP1,56,0.05,10,38,21,0
HAP1,56,0.1,10,49,51,1
HAP1,56,0.2,10,64,70,1
HAP1,57,0.05,10,36,32,0
HAP1,57,0.1,10,46,44,0
HAP1,57,0.2,10,63,62,0
HAP1,58,0.05,10,26,34,1
HAP1,58,0.1,10,45,48,1
HAP1,58,0.2,10,57,64,1
HAP1,59,0.05,10,32,42,1
HAP1,59,0.1,10,45,59,1
HAP1,59,0.2,10,65,81,1
HAP1,60,0.05,10,45,59,1
HAP1,60,0.1,10,62,83,1
HAP1,60,0.2,10,86,105,1
HAP1,61,0.05,10,32,44,1
HAP1,61,0.1,10,45,65,1
HAP1,61,0.2,10,59,77,1
HAP1,62,0.05,10,31,96,1
HAP1,62,0.1,10,43,109,1
HAP1,62,0.2,10,63,142,1
HAP1,63,0.05,10,33,45,1
HAP1,63,0.1,10,45,68,1
HAP1,63,0.2,10,53,85,1
HAP1,64,0.05,10,39,50,1
HAP1,64,0.1,10,52,63,1
HAP1,64,0.2,10,70,85,1
HAP1,65,0.05,10,30,73,1
HAP1,65,0.1,10,40,88,1
HAP1,65,0.2,10,55,102,1
HAP1,66,0.05,10,30,80,1
HAP1,66,0.1,10,44,98,1
HAP1,66,0.2,10,61,113,1
HAP1,67,0.05,10,42,44,1
HAP1,67,0.1,10,63,68,1
HAP1,67,0.2,10,83,96,1
HAP1,68,0.05,10,23,26,1
HAP1,68,0.1,10,34,39,1
HAP1,68,0.2,10,39,52,1
HAP1,69,0.05,10,19,54,1
HAP1,69,0.1,10,28,69,1
HAP1,69,0.2,10,42,86,1
HAP1,70,0.05,10,31,16,0
HAP1,70,0.1,10,46,31,0
HAP1,70,0.2,10,62,40,0
HAP1,71,0.05,10,35,97,1
HAP1,71,0.1,10,42,114,1
HAP1,71,0.2,10,53,127,1
HAP1,72,0.05,10,15,41,1
HAP1,72,0.1,10,28,57,1
HAP1,72,0.2,10,44,64,1
HAP1,73,0.05,10,29,32,1
HAP1,73,0.1,10,36,50,1
HAP1,73,0.2,10,54,93,1
HAP1,74,0.05,10,30,61,1
HAP1,74,0.1,10,38,80,1
HAP1,74,0.2,10,57,95,1
HAP1,75,0.05,10,39,66,1
HAP1,75,0.1,10,51,76,1
HAP1,75,0.2,10,67,105,1
HAP1,76,0.05,10,29,79,1
HAP1,76,0.1,10,48,107,1
HAP1,76,0.2,10,75,147,1
HAP1,77,0.05,10,34,49,1
HAP1,77,0.1,10,52,67,1
HAP1,77,0.2,10,69,88,1
HAP1,78,0.05,10,30,35,1
HAP1,78,0.1,10,40,48,1
HAP1,78,0.2,10,60,80,1
HAP1,79,0.05,10,28,63,1
HAP1,79,0.1,10,44,80,1
HAP1,79,0.2,10,65,94,1
HAP1,80,0.05,10,33,33,0
HAP1,80,0.1,10,43,68,1
HAP1,80,0.2,10,65,95,1
HAP1,81,0.05,10,17,48,1
HAP1,81,0.1,10,23,66,1
HAP1,81,0.2,10,32,90,1
HAP1,82,0.05,10,42,51,1
HAP1,82,0.1,10,54,80,1
HAP1,82,0.2,10,80,107,1
HAP1,83,0.05,10,38,61,1
HAP1,83,0.1,10,48,77,1
HAP1,83,0.2,10,78,109,1
HAP1,84,0.05,10,41,57,1
HAP1,84,0.1,10,56,80,1
HAP1,84,0.2,10,70,105,1
HAP1,85,0.05,10,40,45,1
HAP1,85,0.1,10,57,55,0
HAP1,85,0.2,10,82,73,0
HAP1,86,0.05,10,36,54,1
HAP1,86,0.1,10,44,75,1
HAP1,86,0.2,10,63,92,1
HAP1,87,0.05,10,31,45,1
HAP1,87,0.1,10,45,61,1
HAP1,87,0.2,10,61,88,1
HAP1,88,0.05,10,28,42,1
HAP1,88,0.1,10,46,53,1
HAP1,88,0.2,10,62,71,1
HAP1,89,0.05,10,30,34,1
HAP1,89,0.1,10,45,50,1
HAP1,89,0.2,10,61,92,1
HAP1,90,0.05,10,42,73,1
HAP1,90,0.1,10,53,103,1
HAP1,90,0.2,10,82,144,1
HAP1,91,0.05,10,24,65,1
HAP1,91,0.1,10,33,79,1
HAP1,91,0.2,10,48,86,1
HAP1,92,0.05,10,24,39,1
HAP1,92,0.1,10,32,62,1
HAP1,92,0.2,10,42,82,1
HAP1,93,0.05,10,37,51,1
HAP1,93,0.1,10,51,68,1
HAP1,93,0.2,10,69,91,1
HAP1,94,0.05,10,30,40,1
HAP1,94,0.1,10,39,52,1
HAP1,94,0.2,10,55,74,1
HAP1,95,0.05,10,33,23,0
HAP1,95,0.1,10,37,40,1
HAP1,95,0.2,10,48,61,1
HAP1,96,0.05,10,36,39,1
HAP1,96,0.1,10,50,67,1
HAP1,96,0.2,10,68,93,1
HAP1,97,0.05,10,28,27,0
HAP1,97,0.1,10,35,37,1
HAP1,97,0.2,10,50,52,1
HAP1,98,0.05,10,38,40,1
HAP1,98,0.1,10,49,48,0
HAP1,98,0.2,10,64,69,1
HAP1,99,0.05,10,37,49,1
HAP1,99,0.1,10,45,65,1
HAP1,99,0.2,10,66,86,1
