dataset,repeat,alpha,K,yield_M_T,yield_N_T,choose_N
Wainberg,46,0.05,10,89,65,0
Wainberg,46,0.1,10,143,111,0
Wainberg,46,0.2,10,201,172,0
Wainberg,47,0.05,10,70,66,0
Wainberg,47,0.1,10,109,92,0
Wainberg,47,0.2,10,157,143,0
Wainberg,48,0.05,10,86,74,0
Wainberg,48,0.1,10,130,91,0
Wainberg,48,0.2,10,238,176,0
Wainberg,49,0.05,10,47,38,0
Wainberg,49,0.1,10,79,49,0
Wainberg,49,0.2,10,110,81,0
Wainberg,50,0.05,10,70,81,1
Wainberg,50,0.1,10,145,86,0
Wainberg,50,0.2,10,205,160,0
Wainberg,51,0.05,10,50,42,0
Wainberg,51,0.1,10,109,63,0
Wainberg,51,0.2,10,161,126,0
Wainberg,52,0.05,10,59,28,0
Wainberg,52,0.1,10,104,44,0
Wainberg,52,0.2,10,164,111,0
Wainberg,53,0.05,10,77,72,0
Wainberg,53,0.1,10,120,89,0
Wainberg,53,0.2,10,170,155,0
Wainberg,54,0.05,10,77,45,0
Wainberg,54,0.1,10,133,74,0
Wainberg,54,0.2,10,184,126,0
Wainberg,55,0.05,10,70,49,0
Wainberg,55,0.1,10,126,60,0
Wainberg,55,0.2,10,178,106,0
Wainberg,56,0.05,10,67,55,0
Wainberg,56,0.1,10,114,62,0
Wainberg,56,0.2,10,166,112,0
Wainberg,57,0.05,10,76,52,0
Wainberg,57,0.1,10,123,80,0
Wainberg,57,0.2,10,167,135,0
Wainberg,58,0.05,10,65,40,0
Wainberg,58,0.1,10,110,65,0
Wainberg,58,0.2,10,164,112,0
Wainberg,59,0.05,10,72,91,1
Wainberg,59,0.1,10,128,98,0
Wainberg,59,0.2,10,194,156,0
Wainberg,60,0.05,10,59,39,0
Wainberg,60,0.1,10,102,50,0
Wainberg,60,0.2,10,169,93,0
Wainberg,61,0.05,10,81,79,0
Wainberg,61,0.1,10,135,87,0
Wainberg,61,0.2,10,199,154,0
Wainberg,62,0.05,10,90,54,0
Wainberg,62,0.1,10,146,75,0
Wainberg,62,0.2,10,199,133,0
Wainberg,63,0.05,10,53,44,0
Wainberg,63,0.1,10,108,55,0
Wainberg,63,0.2,10,170,115,0
Wainberg,64,0.05,10,78,67,0
Wainberg,64,0.1,10,125,89,0
Wainberg,64,0.2,10,179,144,0
Wainberg,65,0.05,10,55,63,1
Wainberg,65,0.1,10,109,78,0
Wainberg,65,0.2,10,152,141,0
Wainberg,66,0.05,10,58,59,1
Wainberg,66,0.1,10,102,73,0
Wainberg,66,0.2,10,140,119,0
Wainberg,67,0.05,10,72,56,0
Wainberg,67,0.1,10,122,89,0
Wainberg,67,0.2,10,192,146,0
Wainberg,68,0.05,10,56,43,0
Wainberg,68,0.1,10,101,70,0
Wainberg,68,0.2,10,153,120,0
Wainberg,69,0.05,10,57,43,0
Wainberg,69,0.1,10,92,53,0
Wainberg,69,0.2,10,146,118,0
Wainberg,70,0.05,10,76,62,0
Wainberg,70,0.1,10,127,81,0
Wainberg,70,0.2,10,174,129,0
Wainberg,71,0.05,10,75,51,0
Wainberg,71,0.1,10,136,116,0
Wainberg,71,0.2,10,207,186,0
Wainberg,72,0.05,10,77,96,1
Wainberg,72,0.1,10,131,112,0
Wainberg,72,0.2,10,202,175,0
Wainberg,73,0.05,10,92,81,0
Wainberg,73,0.1,10,144,92,0
Wainberg,73,0.2,10,208,133,0
Wainberg,74,0.05,10,58,42,0
Wainberg,74,0.1,10,101,54,0
Wainberg,74,0.2,10,166,105,0
Wainberg,75,0.05,10,77,45,0
Wainberg,75,0.1,10,125,55,0
Wainberg,75,0.2,10,179,108,0
Wainberg,76,0.05,10,83,67,0
Wainberg,76,0.1,10,136,79,0
Wainberg,76,0.2,10,186,129,0
Wainberg,77,0.05,10,63,40,0
Wainberg,77,0.1,10,125,63,0
Wainberg,77,0.2,10,175,130,0
Wainberg,78,0.05,10,51,27,0
Wainberg,78,0.1,10,102,43,0
Wainberg,78,0.2,10,150,86,0
Wainberg,79,0.05,10,68,34,0
Wainberg,79,0.1,10,117,53,0
Wainberg,79,0.2,10,183,118,0
Wainberg,80,0.05,10,78,71,0
Wainberg,80,0.1,10,148,87,0
Wainberg,80,0.2,10,206,134,0
Wainberg,81,0.05,10,114,121,1
Wainberg,81,0.1,10,182,140,0
Wainberg,81,0.2,10,250,208,0
Wainberg,82,0.05,10,61,55,0
Wainberg,82,0.1,10,105,67,0
Wainberg,82,0.2,10,196,148,0
Wainberg,83,0.05,10,85,61,0
Wainberg,83,0.1,10,151,79,0
Wainberg,83,0.2,10,215,132,0
Wainberg,84,0.05,10,57,46,0
Wainberg,84,0.1,10,103,49,0
Wainberg,84,0.2,10,161,123,0
Wainberg,85,0.05,10,55,43,0
Wainberg,85,0.1,10,93,61,0
Wainberg,85,0.2,10,146,107,0
Wainberg,86,0.05,10,81,71,0
Wainberg,86,0.1,10,126,90,0
