repeat,alpha,arm,label,fdp,correct,total,units
5,0.05,goco-rank,top4337,0.04569710490550555,1095,1340,845
5,0.1,global-coarse,global_27.1593,0.09112867656486398,1256,2010,760
5,0.1,global-dense,global_26.6395,0.0972583788496551,1284,2081,787
5,0.1,goco-score,adapt_27.1593_to_23.0262_q0.175,0.09816024309562274,1332,2177,800
5,0.1,goco,adapt_27.1593_to_23.0262_q0.25,0.09551478318845039,1380,2183,821
5,0.1,goco-rank,top7261,0.08639234486568899,1675,2219,1143
5,0.2,global-coarse,global_19.5221,0.15539138208766642,1900,3390,1099
5,0.2,global-dense,global_17.0145,0.18467021221463872,2198,4135,1222
5,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.18203347092684735,2200,4168,1208
5,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18719704994341504,2217,4134,1229
5,0.2,goco-rank,top13828,0.1938084398100553,2725,4246,1652
6,0.05,global-coarse,global_37.7842,0.03115162704823448,685,951,401
6,0.05,global-dense,global_33.8713,0.050187193886709225,838,1234,513
6,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.049116726927712386,857,1273,501
6,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.049809087878554766,901,1315,519
6,0.05,goco-rank,top4337,0.048271405492730214,1030,1253,848
6,0.1,global-coarse,global_27.1593,0.08869413031771675,1192,1932,722
6,0.1,global-dense,global_27.0694,0.0899649973074852,1195,1943,727
6,0.1,goco-score,adapt_27.1593_to_23.0262_q0.075,0.09331987075928917,1209,1983,740
6,0.1,goco,adapt_27.1593_to_23.0262_q0.1,0.09004038772213248,1254,2019,752
6,0.1,goco-rank,top7261,0.09945149626894377,1573,2134,1148
6,0.2,global-coarse,global_19.5221,0.15432849146904074,1804,3290,1059
6,0.2,global-dense,global_16.7443,0.19696608812117697,2128,4130,1229
6,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.18392943262087041,2083,4032,1175
6,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18995624820342108,2099,4019,1201
6,0.2,goco-rank,top13828,0.20038233710285405,2574,4104,1643
7,0.05,global-coarse,global_37.7842,0.029939995384260325,707,956,415
7,0.05,global-dense,global_34.418,0.04402684821909378,859,1220,510
7,0.05,goco-score,adapt_37.7842_to_32.0342_q0.6,0.04398402441213426,890,1272,503
7,0.05,goco,adapt_37.7842_to_32.0342_q0.6,0.040746083032028105,921,1279,505
7,0.05,goco-rank,top3813,0.0456165858912224,924,1137,755
7,0.1,global-coarse,global_27.1593,0.08470946483062798,1235,1944,730
7,0.1,global-dense,global_26.6395,0.0892882785855322,1259,2005,756
7,0.1,goco-score,adapt_27.1593_to_23.0262_q0.1,0.09043913634382131,1309,2090,768
7,0.1,goco,adapt_27.1593_to_23.0262_q0.35,0.09092109649460214,1380,2163,796
7,0.1,goco-rank,top7261,0.0941712182988435,1563,2185,1103
7,0.2,global-coarse,global_19.5221,0.15003607503607505,1848,3298,1068
7,0.2,global-dense,global_16.7443,0.18936422579395118,2155,4127,1220
7,0.2,goco-score,adapt_19.5221_to_16.5512_q0.75,0.17920701090329527,2117,4024,1177
7,0.2,goco,adapt_19.5221_to_16.5512_q0.75,0.18648733782821017,2144,4054,1211
7,0.2,goco-rank,top13828,0.18370096605960906,2607,4106,1553
8,0.05,global-coarse,global_37.7842,0.030532989717157732,721,974,379
8,0.05,global-dense,global_34.9736,0.04099520475934046,829,1154,467
8,0.05,goco-score,adapt_37.7842_to_32.0342_q0.5,0.0439512013744647,894,1286,483
8,0.05,goco,adapt_37.7842_to_32.0342_q0.75,0.04757301843731569,909,1298,504
8,0.05,goco-rank,top4337,0.04596661281637048,1037,1259,784
8,0.1,global-coarse,global_27.1593,0.09012193245634278,1200,1957,711
8,0.1,global-dense,global_27.0694,0.09085429648434495,1203,1966,714
8,0.1,goco-score,adapt_27.1593_to_23.0262_q0.075,0.0918182167859066,1208,1979,717
8,0.1,goco,adapt_27.1593_to_23.0262_q0.25,0.09260712362489422,1283,2075,749
8,0.1,goco-rank,top7261,0.08810408492960997,1573,2083,1065
8,0.2,global-coarse,global_19.5221,0.15567769781824708,1771,3279,1030
8,0.2,global-dense,global_16.7443,0.19832984642354592,2062,4127,1197
