repeat,alpha,delta,arm,label,fdp,correct,total,units
12,0.2,0.1,goco-rank,top11197,0.1967302285440368,393,3554,1047
13,0.05,0.5,goco-rank,top1844,0.044371327396865605,173,591,279
13,0.05,0.1,goco-rank,top1844,0.044371327396865605,173,591,279
13,0.1,0.5,goco-rank,top3512,0.09678157837191184,201,1177,533
13,0.1,0.1,goco-rank,top3512,0.09678157837191184,201,1177,533
13,0.2,0.5,goco-rank,top11197,0.19160576342213073,365,3336,1015
13,0.2,0.1,goco-rank,top11197,0.19160576342213073,365,3336,1015
14,0.05,0.5,goco-rank,top2097,0.05223266953955009,191,717,332
14,0.05,0.1,goco-rank,top1844,0.048804871082203286,183,642,313
14,0.1,0.5,goco-rank,top3512,0.08643270590915415,217,1182,500
14,0.1,0.1,goco-rank,top3512,0.08643270590915415,217,1182,500
14,0.2,0.5,goco-rank,top11197,0.19074856742385235,379,3392,1014
14,0.2,0.1,goco-rank,top11197,0.19074856742385235,379,3392,1014
15,0.05,0.5,goco-rank,top2097,0.04699896510787182,178,640,301
15,0.05,0.1,goco-rank,top1844,0.04299985929365414,164,568,278
15,0.1,0.5,goco-rank,top3994,0.08905089739302488,242,1254,513
15,0.1,0.1,goco-rank,top3994,0.08905089739302488,242,1254,513
15,0.2,0.5,goco-rank,top11197,0.19003154648089604,402,3335,1012
15,0.2,0.1,goco-rank,top11197,0.19003154648089604,402,3335,1012
16,0.05,0.5,goco-rank,top1621,0.03782186576614606,118,451,241
16,0.05,0.1,goco-rank,top1621,0.03782186576614606,118,451,241
16,0.1,0.5,goco-rank,top3087,0.09653510623329112,155,928,537
16,0.1,0.1,goco-rank,top2714,0.08514140987758549,143,809,479
16,0.2,0.5,goco-rank,top8653,0.1907253503496644,281,2643,1012
16,0.2,0.1,goco-rank,top8653,0.1907253503496644,281,2643,1012
17,0.05,0.5,goco-rank,top1844,0.04903925280666522,161,586,296
17,0.05,0.1,goco-rank,top1844,0.04903925280666522,161,586,296
17,0.1,0.5,goco-rank,top3512,0.0901012019732999,208,1164,509
17,0.1,0.1,goco-rank,top3512,0.0901012019732999,208,1164,509
17,0.2,0.5,goco-rank,top11197,0.20100876462202075,403,3570,1064
17,0.2,0.1,goco-rank,top11197,0.20100876462202075,403,3570,1064
18,0.05,0.5,goco-rank,top1844,0.04609577960147821,184,603,296
18,0.05,0.1,goco-rank,top1621,0.04286638622856436,167,519,276
18,0.1,0.5,goco-rank,top3512,0.09957032386358486,224,1153,558
18,0.1,0.1,goco-rank,top3087,0.08332753506380998,219,1010,482
18,0.2,0.5,goco-rank,top9843,0.19150863558841608,404,3068,1024
18,0.2,0.1,goco-rank,top9843,0.19150863558841608,404,3068,1024
19,0.05,0.5,goco-rank,top1844,0.04863146327899388,173,608,312
19,0.05,0.1,goco-rank,top1844,0.04863146327899388,173,608,312
19,0.1,0.5,goco-rank,top3512,0.10116015732309527,235,1130,591
19,0.1,0.1,goco-rank,top3087,0.08979225713079661,219,1004,529
19,0.2,0.5,goco-rank,top9843,0.19477636271378357,384,3108,1044
19,0.2,0.1,goco-rank,top9843,0.19477636271378357,384,3108,1044
20,0.05,0.5,goco-rank,top1844,0.04381401277771055,204,580,296
20,0.05,0.1,goco-rank,top1621,0.03796086658053733,181,499,257
20,0.1,0.5,goco-rank,top3512,0.09270271553407898,257,1109,545
20,0.1,0.1,goco-rank,top3087,0.07784814559297464,250,965,474
20,0.2,0.5,goco-rank,top11197,0.19841065797401472,409,3344,1065
20,0.2,0.1,goco-rank,top9843,0.18146758813034836,391,2971,981
21,0.05,0.5,goco-rank,top1844,0.05083670023518061,136,600,311
21,0.05,0.1,goco-rank,top1844,0.05083670023518061,136,600,311
21,0.1,0.5,goco-rank,top3994,0.1008726306056403,200,1196,567
21,0.1,0.1,goco-rank,top3512,0.09088072122052704,182,1064,516
21,0.2,0.5,goco-rank,top11197,0.19295056253005746,400,3306,1031
21,0.2,0.1,goco-rank,top11197,0.19295056253005746,400,3306,1031
22,0.05,0.5,goco-rank,top1844,0.05262721132813999,187,641,343
22,0.05,0.1,goco-rank,top1844,0.05262721132813999,187,641,343
22,0.1,0.5,goco-rank,top3512,0.10507994069623448,266,1183,622
22,0.1,0.1,goco-rank,top3087,0.09337669037964522,258,1052,568
22,0.2,0.5,goco-rank,top9843,0.20478665439630223,445,3097,1119
22,0.2,0.1,goco-rank,top8653,0.19139361939594104,412,2747,1052
23,0.05,0.5,goco-rank,top2097,0.05141693879030308,209,698,329
23,0.05,0.1,goco-rank,top1844,0.043341567091039444,199,606,290
23,0.1,0.5,goco-rank,top3512,0.08608403579910545,235,1160,501
23,0.1,0.1,goco-rank,top3512,0.08608403579910545,235,1160,501
23,0.2,0.5,goco-rank,top11197,0.18891772294579232,433,3475,1018
23,0.2,0.1,goco-rank,top11197,0.18891772294579232,433,3475,1018
24,0.05,0.5,goco-rank,top1844,0.04661450481416712,190,593,312
24,0.05,0.1,goco-rank,top1844,0.04661450481416712,190,593,312
24,0.1,0.5,goco-rank,top5169,0.0966317080003179,286,1548,565
24,0.1,0.1,goco-rank,top4544,0.08571584221828052,277,1362,514
24,0.2,0.5,goco-rank,top12736,0.1888637271128822,460,3663,1023
24,0.2,0.1,goco-rank,top12736,0.1888637271128822,460,3663,1023
25,0.05,0.5,goco-rank,top1621,0.04363655550865344,134,465,287
25,0.05,0.1,goco-rank,top1621,0.04363655550865344,134,465,287
25,0.1,0.5,goco-rank,top2714,0.08971260728858872,153,816,512
25,0.1,0.1,goco-rank,top2714,0.08971260728858872,153,816,512
25,0.2,0.5,goco-rank,top8653,0.19353493874916416,306,2664,1029
25,0.2,0.1,goco-rank,top8653,0.19353493874916416,306,2664,1029
26,0.05,0.5,goco-rank,top1621,0.046361735914289735,151,538,298
26,0.05,0.1,goco-rank,top1621,0.046361735914289735,151,538,298
26,0.1,0.5,goco-rank,top3087,0.09974854070464033,196,992,568
26,0.1,0.1,goco-rank,top2714,0.08789403106625562,190,876,510
26,0.2,0.5,goco-rank,top8653,0.19292553923727415,347,2654,1034
26,0.2,0.1,goco-rank,top8653,0.19292553923727415,347,2654,1034
27,0.05,0.5,goco-rank,top1844,0.04505768960180104,166,562,294
27,0.05,0.1,goco-rank,top1844,0.04505768960180104,166,562,294
27,0.1,0.5,goco-rank,top3512,0.09881672663437119,231,1085,577
27,0.1,0.1,goco-rank,top3087,0.08693524827969741,215,951,514
27,0.2,0.5,goco-rank,top8653,0.18262656566265684,350,2616,987
27,0.2,0.1,goco-rank,top8653,0.18262656566265684,350,2616,987
28,0.05,0.5,goco-rank,top1844,0.05372804813497089,173,606,333
28,0.05,0.1,goco-rank,top1621,0.04339668469047954,158,523,281
28,0.1,0.5,goco-rank,top2714,0.08926862851514603,186,886,509
28,0.1,0.1,goco-rank,top2714,0.08926862851514603,186,886,509
28,0.2,0.5,goco-rank,top7607,0.20129653131447137,318,2471,1078
28,0.2,0.1,goco-rank,top7607,0.20129653131447137,318,2471,1078
29,0.05,0.5,goco-rank,top1621,0.04165579390357778,169,505,270
29,0.05,0.1,goco-rank,top1621,0.04165579390357778,169,505,270
29,0.1,0.5,goco-rank,top3087,0.09466655946183174,212,963,532
29,0.1,0.1,goco-rank,top2714,0.08201705896935951,203,857,471
29,0.2,0.5,goco-rank,top9843,0.2011631654307889,375,3032,1064
29,0.2,0.1,goco-rank,top8653,0.18813357975451686,338,2679,998
30,0.05,0.5,goco-rank,top1844,0.04809041387766588,176,607,312
30,0.05,0.1,goco-rank,top1621,0.04361011508542112,158,528,283
30,0.1,0.5,goco-rank,top4544,0.0989535278100851,260,1429,565
30,0.1,0.1,goco-rank,top3994,0.09442087156312567,252,1298,547
30,0.2,0.5,goco-rank,top12736,0.20399259295030034,451,3752,1085
30,0.2,0.1,goco-rank,top11197,0.18413616051961162,418,3309,992
31,0.05,0.5,goco-rank,top1844,0.04069366096592775,197,602,263
31,0.05,0.1,goco-rank,top1844,0.04069366096592775,197,602,263
31,0.1,0.5,goco-rank,top3994,0.08994185279801574,249,1300,513
31,0.1,0.1,goco-rank,top3512,0.07739851021826538,242,1148,451
31,0.2,0.5,goco-rank,top11197,0.18068528079913368,402,3377,963
31,0.2,0.1,goco-rank,top11197,0.18068528079913368,402,3377,963
32,0.05,0.5,goco-rank,top2097,0.05162180814354727,196,705,320
32,0.05,0.1,goco-rank,top1844,0.04430398935992012,177,615,278
32,0.1,0.5,goco-rank,top3512,0.10644139641606927,243,1172,601
32,0.1,0.1,goco-rank,top3087,0.09241215142439287,231,1025,530
32,0.2,0.5,goco-rank,top9843,0.2072233298805692,385,3077,1106
32,0.2,0.1,goco-rank,top8653,0.1959619530720206,369,2726,1054
