repeat,alpha,arm,label,fdp,correct,total,units
5,0.1,global-dense,global_35.5381,0.09904528767789007,850,1844,445
5,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.0957968030682139,872,1905,440
5,0.1,goco,adapt_37.7842_to_32.0342_q0.5,0.09540811209201776,884,1844,467
5,0.1,goco-rank,top5736,0.09663117074163827,1122,1664,783
5,0.2,global-coarse,global_27.1593,0.14971207136080947,1284,2816,700
5,0.2,global-dense,global_23.8149,0.18659945848213996,1572,3637,839
5,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.18455503105713622,1610,3738,831
5,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.1829831326296317,1638,3696,851
5,0.2,goco-rank,top12426,0.19538373294062164,2174,3600,1282
6,0.05,global-coarse,global_62.0008,0.04015997793407806,399,651,239
6,0.05,global-dense,global_57.4523,0.046879248182516695,449,773,257
6,0.05,goco-score,adapt_62.0008_to_52.5656_q0.5,0.044345114959512974,456,798,247
6,0.05,goco,adapt_62.0008_to_52.5656_q0.6,0.04498443564434462,466,797,258
6,0.05,goco-rank,top2328,0.03940146186732864,547,699,458
6,0.1,global-coarse,global_37.7842,0.0884158835234549,800,1683,416
6,0.1,global-dense,global_34.9736,0.10173210920004466,908,1969,468
6,0.1,goco-score,adapt_37.7842_to_32.0342_q0.6,0.10339559075595484,941,2094,471
6,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.09904578022079057,980,2025,496
6,0.1,goco-rank,top4433,0.0800203256036934,993,1355,759
6,0.2,global-coarse,global_27.1593,0.14843074339350715,1388,3028,717
6,0.2,global-dense,global_23.8149,0.18770198837887273,1728,3918,866
6,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.18107801451092842,1741,3971,836
6,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.18128687924253645,1787,3935,863
6,0.2,goco-rank,top10925,0.17860728890931624,2163,3317,1299
7,0.05,global-coarse,global_62.0008,0.039038950292570485,408,666,236
7,0.05,global-dense,global_56.5397,0.04750724038063715,462,799,260
7,0.05,goco-score,adapt_62.0008_to_52.5656_q0.6,0.04863762633725398,456,835,256
7,0.05,goco,adapt_62.0008_to_52.5656_q0.6,0.048820359753334513,470,826,268
7,0.05,goco-rank,top2648,0.04071622304969429,631,810,502
7,0.1,global-coarse,global_37.7842,0.08197457165185755,788,1597,395
7,0.1,global-dense,global_36.1117,0.09084674691832326,854,1754,430
7,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.08955612033808144,883,1844,429
7,0.1,goco,adapt_37.7842_to_32.0342_q0.75,0.0928505756184697,965,1927,476
7,0.1,goco-rank,top5736,0.09660720032048124,1264,1719,893
7,0.2,global-coarse,global_27.1593,0.14250082538249687,1311,2793,692
7,0.2,global-dense,global_23.8149,0.18021905471009853,1618,3626,843
7,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.17916040975771072,1650,3730,837
7,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.17977602868114928,1656,3667,853
7,0.2,goco-rank,top12426,0.1878178985543487,2411,3613,1330
8,0.05,global-coarse,global_62.0008,0.036304352109068704,396,638,226
8,0.05,global-dense,global_59.3219,0.03962507634414957,434,702,236
8,0.05,goco-score,adapt_62.0008_to_52.5656_q0.3,0.03980879484603109,448,742,235
8,0.05,goco,adapt_62.0008_to_52.5656_q0.5,0.04071655141162795,464,762,244
8,0.05,goco-rank,top2648,0.03916799653249797,608,764,446
8,0.1,global-coarse,global_37.7842,0.07289208056688404,784,1528,371
8,0.1,global-dense,global_36.6945,0.07905182208036986,829,1637,393
8,0.1,goco-score,adapt_37.7842_to_32.0342_q0.25,0.07861624997537285,850,1693,391
8,0.1,goco,adapt_37.7842_to_32.0342_q0.35,0.07653509203985001,857,1637,402
8,0.1,goco-rank,top5736,0.08847222744616208,1213,1660,793
8,0.2,global-coarse,global_27.1593,0.13194445764780893,1309,2662,662
8,0.2,global-dense,global_24.1993,0.16672797400759873,1575,3335,807
8,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.1670338626697543,1620,3523,799
8,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.16555791967661695,1669,3518,819
8,0.2,goco-rank,top10925,0.17115616994599206,2131,3220,1206
9,0.05,global-coarse,global_62.0008,0.036286620564651186,440,665,231
9,0.05,global-dense,global_59.3219,0.03816222392970428,468,729,236
9,0.05,goco-score,adapt_62.0008_to_52.5656_q0.35,0.03890744133814055,489,804,237
9,0.05,goco,adapt_62.0008_to_52.5656_q0.6,0.041562247571763494,508,843,252
9,0.05,goco-rank,top3012,0.048469027409863155,661,857,508
9,0.1,global-coarse,global_37.7842,0.08274934163432301,809,1618,404
9,0.1,global-dense,global_35.5381,0.09388130372822139,889,1846,442
9,0.1,goco-score,adapt_37.7842_to_32.0342_q0.5,0.09203492457526384,910,1919,438
9,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.09390248307294233,990,1939,488
9,0.1,goco-rank,top5736,0.0937067839529569,1184,1628,815
9,0.2,global-coarse,global_27.1593,0.14806084941583492,1343,2849,714
9,0.2,global-dense,global_23.8149,0.18960787597344828,1688,3751,874
9,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.18705609890203093,1733,3860,864
9,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.18233535878617288,1737,3777,867
9,0.2,goco-rank,top12426,0.19020685254561717,2282,3493,1304
10,0.05,global-coarse,global_62.0008,0.0372697361940225,406,660,229
10,0.05,global-dense,global_57.4523,0.04638769036783103,452,783,249
10,0.05,goco-score,adapt_62.0008_to_52.5656_q0.4,0.0458769233800264,451,809,246
10,0.05,goco,adapt_62.0008_to_52.5656_q0.6,0.04340928344858837,465,814,245
10,0.05,goco-rank,top2648,0.04079437318990484,605,759,494
10,0.1,global-coarse,global_37.7842,0.08078196110881258,775,1598,384
10,0.1,global-dense,global_36.1117,0.08972965962001957,838,1749,415
10,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.09250563140716223,878,1898,427
10,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.08988021356660165,924,1866,457
10,0.1,goco-rank,top5043,0.08146692410242265,1097,1466,785
10,0.2,global-coarse,global_27.1593,0.14485959955550357,1333,2872,716
10,0.2,global-dense,global_23.8149,0.1831646249632207,1645,3684,864
10,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.18066177024048963,1678,3784,856
10,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.17438051988600795,1697,3696,856
10,0.2,goco-rank,top10925,0.16497403093389854,2157,3201,1214
11,0.05,global-coarse,global_62.0008,0.044789881198652404,417,696,243
11,0.05,global-dense,global_54.7578,0.059252418385641374,490,888,285
11,0.05,goco-score,adapt_62.0008_to_52.5656_q0.75,0.05726599286797879,495,917,279
11,0.05,goco,adapt_62.0008_to_52.5656_q0.75,0.05176182595504068,474,844,268
11,0.05,goco-rank,top3012,0.054058553500009855,645,885,532
11,0.1,global-coarse,global_37.7842,0.08516657800894457,843,1704,416
11,0.1,global-dense,global_34.418,0.10011574758161436,990,2025,482
11,0.1,goco-score,adapt_37.7842_to_32.0342_q0.6,0.10133265690775,995,2089,481
11,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.09796875307839312,1026,2058,498
11,0.1,goco-rank,top5736,0.10321199165841284,1166,1696,869
11,0.2,global-coarse,global_27.1593,0.1495628515280977,1403,2948,721
11,0.2,global-dense,global_23.0644,0.2043190734066029,1811,4050,919
11,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.1866100217815397,1771,3921,860
11,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.18416990455035917,1784,3869,870
11,0.2,goco-rank,top12426,0.2012823275734274,2352,3728,1328
12,0.05,global-coarse,global_62.0008,0.03634080028370471,439,689,234
12,0.05,global-dense,global_59.3219,0.039487656874913804,470,749,240
12,0.05,goco-score,adapt_62.0008_to_52.5656_q0.4,0.04136572295446933,493,812,244
12,0.05,goco,adapt_62.0008_to_52.5656_q0.5,0.04383336288590736,507,835,260
12,0.05,goco-rank,top3012,0.045025316705085014,681,886,517
12,0.1,global-coarse,global_37.7842,0.07966421708664158,870,1636,420
12,0.1,global-dense,global_36.1117,0.08845692876516212,947,1792,454
12,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.08700753918999678,976,1883,453
12,0.1,goco,adapt_37.7842_to_32.0342_q0.4,0.0853650727978407,996,1814,479
12,0.1,goco-rank,top5736,0.09139805167939218,1238,1694,838
12,0.2,global-coarse,global_27.1593,0.14488654475208054,1416,2888,724
12,0.2,global-dense,global_23.8149,0.17755984843793912,1750,3733,865
12,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.17874550635771772,1787,3851,864
12,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.17488123864363617,1797,3816,860
12,0.2,goco-rank,top12426,0.18195580859037017,2444,3673,1279
13,0.05,global-coarse,global_62.0008,0.03687077644462832,399,616,228
13,0.05,global-dense,global_58.3796,0.04156668045786788,442,712,243
13,0.05,goco-score,adapt_62.0008_to_52.5656_q0.5,0.042160194652954265,455,763,244
13,0.05,goco,adapt_62.0008_to_52.5656_q0.6,0.04422641212049569,467,767,263
13,0.05,goco-rank,top3012,0.043411253620190327,667,844,508
13,0.1,global-coarse,global_37.7842,0.08003017646170316,813,1604,403
13,0.1,global-dense,global_36.1117,0.08883487335080219,899,1780,437
13,0.1,goco-score,adapt_37.7842_to_32.0342_q0.4,0.08861684102685344,921,1870,433
13,0.1,goco,adapt_37.7842_to_32.0342_q0.6,0.08717795903356515,989,1926,461
13,0.1,goco-rank,top5736,0.09110960064621627,1146,1588,847
13,0.2,global-coarse,global_27.1593,0.1475314358330494,1412,2901,720
13,0.2,global-dense,global_23.8149,0.18923183215688186,1735,3776,883
13,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.1869046969039218,1782,3885,874
13,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.18128540928215178,1787,3829,868
13,0.2,goco-rank,top12426,0.1947216840990114,2254,3540,1322
14,0.05,global-coarse,global_62.0008,0.03624130661780641,372,610,216
14,0.05,global-dense,global_60.2794,0.039258131883287035,389,656,222
14,0.05,goco-score,adapt_62.0008_to_52.5656_q0.4,0.039174892133104794,413,722,222
14,0.05,goco,adapt_62.0008_to_52.5656_q0.5,0.03849764564493567,417,717,225
14,0.05,goco-rank,top3012,0.04264928975313749,637,842,476
14,0.1,global-coarse,global_37.7842,0.07917118164325447,735,1509,390
14,0.1,global-dense,global_36.6945,0.08380699542263464,781,1628,408
14,0.1,goco-score,adapt_37.7842_to_32.0342_q0.35,0.08518135429595917,837,1801,417
14,0.1,goco,adapt_37.7842_to_32.0342_q0.5,0.08602721463706156,895,1817,453
14,0.1,goco-rank,top5736,0.07779666892203094,1171,1646,774
14,0.2,global-coarse,global_27.1593,0.1438729810161337,1260,2765,677
14,0.2,global-dense,global_23.8149,0.181172125247422,1593,3640,844
14,0.2,goco-score,adapt_27.1593_to_23.0262_q0.75,0.17939333105607902,1618,3740,833
14,0.2,goco,adapt_27.1593_to_23.0262_q0.75,0.17382409337058152,1612,3591,837
14,0.2,goco-rank,top12426,0.1788232339535608,2234,3572,1259
15,0.05,global-coarse,global_62.0008,0.038177000216718875,424,655,228
15,0.05,global-dense,global_58.3796,0.04395108063912367,463,745,242
15,0.05,goco-score,adapt_62.0008_to_52.5656_q0.4,0.045672025533423956,482,811,247
15,0.05,goco,adapt_62.0008_to_52.5656_q0.6,0.04415548594282562,472,788,251
